player,target,actual,predicted,error,model
Josh Sargent,assists_p90,0.0573,0.0465,0.0107,lgbm
Thilo Kehrer,assists_p90,0.0,0.0148,0.0148,lgbm
Tyler Adams,assists_p90,0.0666,0.0526,0.014,lgbm
Joško Gvardiol,assists_p90,0.0747,0.0746,0.0001,lgbm
Christopher Nkunku,assists_p90,0.4297,0.3868,0.0429,lgbm
Dominik Szoboszlai,assists_p90,0.4666,0.3857,0.0809,lgbm
Maya Yoshida,assists_p90,0.1481,0.0833,0.0648,lgbm
Nathan Tella,assists_p90,0.1119,0.0777,0.0342,lgbm
Wataru Endo,assists_p90,0.0621,0.0504,0.0116,lgbm
Orel Mangala,assists_p90,0.1457,0.1367,0.009,lgbm
Omar Marmoush,assists_p90,0.2864,0.1796,0.1069,lgbm
Konstantinos Mavropanos,assists_p90,0.0,0.0186,0.0186,lgbm
Eric Dier,assists_p90,0.0,0.0331,0.0331,lgbm
Harry Kane,assists_p90,0.2506,0.2707,0.0201,lgbm
Ryan Sessegnon,assists_p90,0.1719,0.2138,0.0419,lgbm
Taiwo Awoniyi,assists_p90,0.0414,0.0729,0.0315,lgbm
Maxence Lacroix,assists_p90,0.0,0.023,0.023,lgbm
Wout Weghorst,assists_p90,0.058,0.0861,0.0281,lgbm
Nabil Bentaleb,assists_p90,0.1446,0.1075,0.0371,lgbm
Granit Xhaka,assists_p90,0.2105,0.1503,0.0602,lgbm
Leon Bailey,assists_p90,0.183,0.228,0.0449,lgbm
Philippe Coutinho,assists_p90,0.0,0.0407,0.0407,lgbm
João Cancelo,assists_p90,0.3557,0.3142,0.0415,lgbm
Matthijs de Ligt,assists_p90,0.0375,0.0291,0.0083,lgbm
Sadio Mané,assists_p90,0.3158,0.2954,0.0204,lgbm
Eric Maxim Choupo-Moting,assists_p90,0.1619,0.1714,0.0095,lgbm
Noussair Mazraoui,assists_p90,0.3349,0.2805,0.0544,lgbm
Marcel Sabitzer,assists_p90,0.1433,0.1108,0.0325,lgbm
Leroy Sané,assists_p90,0.3134,0.2968,0.0166,lgbm
Frank Onyeka,assists_p90,0.2123,0.1251,0.0872,lgbm
Kevin Schade,assists_p90,0.123,0.1135,0.0094,lgbm
Pascal Groß,assists_p90,0.2223,0.2106,0.0117,lgbm
Deniz Undav,assists_p90,0.0,0.0832,0.0832,lgbm
Kai Havertz,assists_p90,0.035,0.1209,0.0858,lgbm
Christian Pulisic,assists_p90,0.1096,0.0855,0.0242,lgbm
Jean-Philippe Mateta,assists_p90,0.0,0.0435,0.0435,lgbm
Michael Olise,assists_p90,0.3601,0.3143,0.0458,lgbm
Emre Can,assists_p90,0.0474,0.0893,0.0419,lgbm
Sébastien Haller,assists_p90,0.2204,0.1846,0.0358,lgbm
Daichi Kamada,assists_p90,0.2384,0.1998,0.0387,lgbm
Jesper Lindstrøm,assists_p90,0.1072,0.1348,0.0276,lgbm
Nicolás González,assists_p90,0.0665,0.0899,0.0235,lgbm
Mark Flekken,assists_p90,0.0,0.0061,0.0061,lgbm
Bernd Leno,assists_p90,0.0,0.0044,0.0044,lgbm
João Palhinha,assists_p90,0.0,0.0069,0.0069,lgbm
Ondrej Duda,assists_p90,0.0,0.035,0.035,lgbm
Jonjoe Kenny,assists_p90,0.0401,0.0558,0.0157,lgbm
Ozan Kabak,assists_p90,0.0754,0.0271,0.0483,lgbm
Georginio Rutter,assists_p90,0.1784,0.1742,0.0042,lgbm
Weston McKennie,assists_p90,0.0856,0.0771,0.0084,lgbm
Ondrej Duda,assists_p90,0.0,0.0628,0.0628,lgbm
Brenden Aaronson,assists_p90,0.1138,0.1215,0.0077,lgbm
Tyler Adams,assists_p90,0.0,0.0277,0.0277,lgbm
Robin Koch,assists_p90,0.0,0.0117,0.0117,lgbm
Weston McKennie,assists_p90,0.0626,0.0445,0.0181,lgbm
Maximilian Wöber,assists_p90,0.0,0.026,0.026,lgbm
Kevin Danso,assists_p90,0.0557,0.0287,0.027,lgbm
Moussa Diaby,assists_p90,0.2668,0.2778,0.0111,lgbm
Callum Hudson-Odoi,assists_p90,0.1488,0.1717,0.0229,lgbm
Thiago Alcántara,assists_p90,0.0,0.0478,0.0478,lgbm
Ibrahima Konaté,assists_p90,0.0,0.0388,0.0388,lgbm
Edimilson Fernandes,assists_p90,0.1108,0.0648,0.046,lgbm
Manuel Akanji,assists_p90,0.0394,0.0482,0.0089,lgbm
João Cancelo,assists_p90,0.0706,0.0649,0.0057,lgbm
Erling Haaland,assists_p90,0.26,0.1993,0.0607,lgbm
Marcel Sabitzer,assists_p90,0.1435,0.1509,0.0073,lgbm
Jadon Sancho,assists_p90,0.1601,0.1947,0.0346,lgbm
Wout Weghorst,assists_p90,0.1129,0.1433,0.0304,lgbm
Mattéo Guendouzi,assists_p90,0.1708,0.1143,0.0565,lgbm
Sead Kolašinac,assists_p90,0.0407,0.0551,0.0144,lgbm
Divock Origi,assists_p90,0.0876,0.0813,0.0064,lgbm
Joelinton,assists_p90,0.0338,0.0592,0.0254,lgbm
Taiwo Awoniyi,assists_p90,0.0641,0.0435,0.0206,lgbm
Felipe,assists_p90,0.0635,0.0549,0.0086,lgbm
Orel Mangala,assists_p90,0.0581,0.0186,0.0394,lgbm
Moussa Niakhate,assists_p90,0.0,0.012,0.012,lgbm
Joško Gvardiol,assists_p90,0.0,0.0281,0.0281,lgbm
Christopher Nkunku,assists_p90,0.1898,0.2138,0.024,lgbm
Dominik Szoboszlai,assists_p90,0.2946,0.2968,0.0022,lgbm
Timo Werner,assists_p90,0.1394,0.1418,0.0024,lgbm
Sepp van den Berg,assists_p90,0.0,0.016,0.016,lgbm
Maya Yoshida,assists_p90,0.0,0.0129,0.0129,lgbm
Armel Bella Kotchap,assists_p90,0.0958,0.0301,0.0657,lgbm
Wataru Endo,assists_p90,0.1232,0.1321,0.0089,lgbm
Konstantinos Mavropanos,assists_p90,0.0394,0.0353,0.0041,lgbm
Eric Dier,assists_p90,0.0319,0.0202,0.0117,lgbm
Harry Kane,assists_p90,0.0793,0.1211,0.0418,lgbm
Ivan Perišić,assists_p90,0.3416,0.294,0.0476,lgbm
Ryan Sessegnon,assists_p90,0.0,0.0732,0.0732,lgbm
Nicolás González,assists_p90,0.0641,0.0906,0.0265,lgbm
Justin Kluivert,assists_p90,0.0,0.0724,0.0724,lgbm
Niclas Füllkrug,assists_p90,0.1817,0.1411,0.0406,lgbm
Thilo Kehrer,assists_p90,0.0807,0.0287,0.052,lgbm
Maxence Lacroix,assists_p90,0.0,0.0159,0.0159,lgbm
Omar Marmoush,assists_p90,0.061,0.0574,0.0035,lgbm
Micky van de Ven,assists_p90,0.0303,0.0354,0.0051,lgbm
Matheus Cunha,assists_p90,0.0,0.046,0.046,lgbm
Kai Havertz,assists_p90,0.2392,0.2269,0.0123,lgbm
Leon Bailey,assists_p90,0.3917,0.3432,0.0485,lgbm
Moussa Diaby,assists_p90,0.3312,0.2607,0.0705,lgbm
Sead Kolašinac,assists_p90,0.0,0.0387,0.0387,lgbm
João Cancelo,assists_p90,0.1438,0.144,0.0001,lgbm
Eric Dier,assists_p90,0.0,0.0227,0.0227,lgbm
Harry Kane,assists_p90,0.2536,0.2397,0.0139,lgbm
Matthijs de Ligt,assists_p90,0.0,0.0359,0.0359,lgbm
Eric Maxim Choupo-Moting,assists_p90,0.251,0.2727,0.0217,lgbm
Noussair Mazraoui,assists_p90,0.2256,0.2076,0.0179,lgbm
Leroy Sané,assists_p90,0.4633,0.4734,0.0102,lgbm
Mathys Tel,assists_p90,0.4286,0.3699,0.0586,lgbm
Sokratis Papastathopoulos,assists_p90,0.0,0.0133,0.0133,lgbm
Bernardo,assists_p90,0.0,0.0272,0.0272,lgbm
Justin Kluivert,assists_p90,0.047,0.1081,0.0611,lgbm
Mark Flekken,assists_p90,0.0274,0.0062,0.0212,lgbm
Frank Onyeka,assists_p90,0.155,0.1091,0.0459,lgbm
Pascal Groß,assists_p90,0.289,0.2652,0.0238,lgbm
Jacob Bruun Larsen,assists_p90,0.0,0.0924,0.0924,lgbm
David Datro Fofana,assists_p90,0.1024,0.1172,0.0148,lgbm
Jean-Philippe Mateta,assists_p90,0.1972,0.1482,0.0489,lgbm
Michael Olise,assists_p90,0.4235,0.4101,0.0134,lgbm
Chris Richards,assists_p90,0.043,0.0238,0.0192,lgbm
Christoph Zimmermann,assists_p90,0.0,0.0092,0.0092,lgbm
Emre Can,assists_p90,0.0922,0.1082,0.016,lgbm
Niclas Füllkrug,assists_p90,0.3255,0.2498,0.0757,lgbm
Ian Maatsen,assists_p90,0.1424,0.0816,0.0608,lgbm
Marcel Sabitzer,assists_p90,0.1377,0.1343,0.0034,lgbm
Jadon Sancho,assists_p90,0.1901,0.2127,0.0227,lgbm
Robin Koch,assists_p90,0.0,0.0195,0.0195,lgbm
Omar Marmoush,assists_p90,0.2347,0.1885,0.0462,lgbm
Nicolás González,assists_p90,0.0986,0.1378,0.0392,lgbm
Bernd Leno,assists_p90,0.0,0.0004,0.0004,lgbm
João Palhinha,assists_p90,0.0333,0.0489,0.0156,lgbm
Maximilian Wöber,assists_p90,0.1307,0.06,0.0707,lgbm
Ondrej Duda,assists_p90,0.1466,0.1368,0.0098,lgbm
Ozan Kabak,assists_p90,0.0,0.0298,0.0298,lgbm
Wout Weghorst,assists_p90,0.1366,0.1651,0.0285,lgbm
Weston McKennie,assists_p90,0.2429,0.1593,0.0835,lgbm
Mattéo Guendouzi,assists_p90,0.1141,0.0721,0.042,lgbm
Daichi Kamada,assists_p90,0.1166,0.1307,0.0141,lgbm
Kevin Danso,assists_p90,0.0,0.0166,0.0166,lgbm
Nathan Tella,assists_p90,0.2198,0.2198,0.0,lgbm
Granit Xhaka,assists_p90,0.0,0.0672,0.0672,lgbm
Nabil Bentaleb,assists_p90,0.1373,0.0612,0.0761,lgbm
Wataru Endo,assists_p90,0.0,0.0876,0.0876,lgbm
Ibrahima Konaté,assists_p90,0.0,0.0114,0.0114,lgbm
Dominik Szoboszlai,assists_p90,0.0856,0.1598,0.0742,lgbm
Sepp van den Berg,assists_p90,0.0,0.0197,0.0197,lgbm
Edimilson Fernandes,assists_p90,0.1395,0.0994,0.0401,lgbm
Brajan Gruda,assists_p90,0.1645,0.2054,0.0408,lgbm
Manuel Akanji,assists_p90,0.0,0.0299,0.0299,lgbm
Joško Gvardiol,assists_p90,0.0387,0.0729,0.0343,lgbm
Erling Haaland,assists_p90,0.1763,0.2054,0.0291,lgbm
Stefan Ortega,assists_p90,0.0,0.0034,0.0034,lgbm
Pierre-Emerick Aubameyang,assists_p90,0.2746,0.1676,0.107,lgbm
Christian Pulisic,assists_p90,0.2767,0.2128,0.0639,lgbm
Thilo Kehrer,assists_p90,0.068,0.0436,0.0244,lgbm
Joelinton,assists_p90,0.0704,0.1462,0.0759,lgbm
Taiwo Awoniyi,assists_p90,0.2591,0.1581,0.1011,lgbm
Callum Hudson-Odoi,assists_p90,0.0485,0.0831,0.0345,lgbm
Orel Mangala,assists_p90,0.0,0.0288,0.0288,lgbm
Moussa Niakhate,assists_p90,0.0,0.0153,0.0153,lgbm
Divock Origi,assists_p90,0.1485,0.1235,0.025,lgbm
Deniz Undav,assists_p90,0.4308,0.3384,0.0924,lgbm
Micky van de Ven,assists_p90,0.0,0.005,0.005,lgbm
Timo Werner,assists_p90,0.3337,0.2825,0.0512,lgbm
Brenden Aaronson,assists_p90,0.1421,0.1206,0.0215,lgbm
David Datro Fofana,assists_p90,0.0,0.0512,0.0512,lgbm
Konstantinos Mavropanos,assists_p90,0.0,0.016,0.016,lgbm
Maxence Lacroix,assists_p90,0.0381,0.0273,0.0108,lgbm
Matheus Cunha,assists_p90,0.2582,0.1537,0.1045,lgbm
Kai Havertz,assists_p90,0.144,0.1362,0.0078,lgbm
Leon Bailey,assists_p90,0.158,0.1326,0.0254,lgbm
Ian Maatsen,assists_p90,0.158,0.1725,0.0145,lgbm
Sead Kolašinac,assists_p90,0.0946,0.0721,0.0225,lgbm
Dimitris Giannoulis,assists_p90,0.1358,0.1292,0.0066,lgbm
Frank Onyeka,assists_p90,0.0348,0.04,0.0052,lgbm
Eric Dier,assists_p90,0.0615,0.0463,0.0152,lgbm
Harry Kane,assists_p90,0.3402,0.3122,0.028,lgbm
Michael Olise,assists_p90,0.5784,0.5446,0.0338,lgbm
João Palhinha,assists_p90,0.0,0.0488,0.0488,lgbm
Leroy Sané,assists_p90,0.2749,0.2728,0.0021,lgbm
Bernardo,assists_p90,0.0,0.0155,0.0155,lgbm
Tyler Adams,assists_p90,0.1374,0.0753,0.0621,lgbm
Justin Kluivert,assists_p90,0.2308,0.2168,0.014,lgbm
Sepp van den Berg,assists_p90,0.0,0.0211,0.0211,lgbm
Mark Flekken,assists_p90,0.055,0.0116,0.0434,lgbm
Kevin Schade,assists_p90,0.0785,0.1393,0.0608,lgbm
Edimilson Fernandes,assists_p90,0.0814,0.0533,0.0281,lgbm
Brajan Gruda,assists_p90,0.524,0.4511,0.0729,lgbm
Georginio Rutter,assists_p90,0.163,0.1687,0.0057,lgbm
Christopher Nkunku,assists_p90,0.1954,0.1907,0.0047,lgbm
Jadon Sancho,assists_p90,0.2041,0.1995,0.0046,lgbm
Daichi Kamada,assists_p90,0.0,0.0584,0.0584,lgbm
Maxence Lacroix,assists_p90,0.0289,0.0206,0.0082,lgbm
Jean-Philippe Mateta,assists_p90,0.068,0.1069,0.0389,lgbm
Chris Richards,assists_p90,0.0,0.0135,0.0135,lgbm
Emre Can,assists_p90,0.0,0.0141,0.0141,lgbm
Pascal Groß,assists_p90,0.3481,0.2944,0.0537,lgbm
Marcel Sabitzer,assists_p90,0.0,0.0548,0.0548,lgbm
Robin Koch,assists_p90,0.0,0.0192,0.0192,lgbm
Omar Marmoush,assists_p90,0.5594,0.424,0.1354,lgbm
Jesper Lindstrøm,assists_p90,0.0726,0.1273,0.0546,lgbm
Orel Mangala,assists_p90,0.0,0.0572,0.0572,lgbm
Bernd Leno,assists_p90,0.0263,0.0048,0.0215,lgbm
Ondrej Duda,assists_p90,0.1127,0.1066,0.0061,lgbm
Nicolás González,assists_p90,0.1029,0.1383,0.0354,lgbm
Weston McKennie,assists_p90,0.1558,0.1603,0.0045,lgbm
Mattéo Guendouzi,assists_p90,0.0826,0.1033,0.0207,lgbm
Jannik Vestergaard,assists_p90,0.0,0.0112,0.0112,lgbm
Kevin Danso,assists_p90,0.0,0.0368,0.0368,lgbm
Nathan Tella,assists_p90,0.2649,0.2372,0.0277,lgbm
Granit Xhaka,assists_p90,0.2181,0.1812,0.037,lgbm
Ibrahima Konaté,assists_p90,0.0703,0.037,0.0333,lgbm
Dominik Szoboszlai,assists_p90,0.2168,0.2458,0.029,lgbm
Moussa Niakhate,assists_p90,0.0,0.0151,0.0151,lgbm
Manuel Akanji,assists_p90,0.0,0.0226,0.0226,lgbm
Nicolás González,assists_p90,0.0,0.0149,0.0149,lgbm
Joško Gvardiol,assists_p90,0.0,0.0427,0.0427,lgbm
Erling Haaland,assists_p90,0.0987,0.1588,0.0602,lgbm
Omar Marmoush,assists_p90,0.0,0.0667,0.0667,lgbm
Stefan Ortega,assists_p90,0.0,0.0041,0.0041,lgbm
Matthijs de Ligt,assists_p90,0.0,0.0156,0.0156,lgbm
Noussair Mazraoui,assists_p90,0.0317,0.0548,0.0231,lgbm
Christian Pulisic,assists_p90,0.3269,0.2849,0.042,lgbm
Thilo Kehrer,assists_p90,0.0,0.0223,0.0223,lgbm
Joelinton,assists_p90,0.1128,0.0905,0.0223,lgbm
Callum Hudson-Odoi,assists_p90,0.082,0.1196,0.0375,lgbm
Deniz Undav,assists_p90,0.1564,0.1731,0.0167,lgbm
Kevin Danso,assists_p90,0.0,0.0165,0.0165,lgbm
Mathys Tel,assists_p90,0.0988,0.1501,0.0513,lgbm
Micky van de Ven,assists_p90,0.1773,0.0286,0.1487,lgbm
Oliver Burke,assists_p90,0.0,0.061,0.061,lgbm
Niclas Füllkrug,assists_p90,0.2278,0.2147,0.0132,lgbm
Konstantinos Mavropanos,assists_p90,0.0,0.016,0.016,lgbm
Matheus Cunha,assists_p90,0.2079,0.203,0.005,lgbm
Pierre-Emerick Aubameyang,xg_p90,0.7152,0.6545,0.0607,lgbm
Sead Kolašinac,xg_p90,0.0922,0.0656,0.0266,lgbm
Shkodran Mustafi,xg_p90,0.0317,0.0467,0.015,lgbm
Granit Xhaka,xg_p90,0.0663,0.0618,0.0045,lgbm
Kevin Danso,xg_p90,0.1466,0.0342,0.1124,lgbm
Philippe Coutinho,xg_p90,0.25,0.284,0.034,lgbm
Thiago Alcántara,xg_p90,0.1804,0.1852,0.0048,lgbm
James Rodríguez,xg_p90,0.2665,0.2381,0.0284,lgbm
Pascal Groß,xg_p90,0.1014,0.202,0.1006,lgbm
Markus Suttner,xg_p90,0.0076,0.0328,0.0252,lgbm
Manuel Akanji,xg_p90,0.0199,0.0534,0.0335,lgbm
Pierre-Emerick Aubameyang,xg_p90,1.0297,0.9255,0.1041,lgbm
Michy Batshuayi,xg_p90,0.7831,0.6737,0.1094,lgbm
Sokratis Papastathopoulos,xg_p90,0.0379,0.0541,0.0161,lgbm
Christian Pulisic,xg_p90,0.2033,0.2051,0.0018,lgbm
Jadon Sancho,xg_p90,0.2478,0.2512,0.0034,lgbm
André Schürrle,xg_p90,0.2985,0.3065,0.008,lgbm
Andriy Yarmolenko,xg_p90,0.4158,0.3797,0.036,lgbm
Sébastien Haller,xg_p90,0.2838,0.3395,0.0557,lgbm
Jetro Willems,xg_p90,0.1028,0.0821,0.0207,lgbm
Jonjoe Kenny,xg_p90,0.0057,0.0246,0.0189,lgbm
Robin Koch,xg_p90,0.0422,0.0503,0.008,lgbm
Çağlar Söyüncü,xg_p90,0.0334,0.0469,0.0135,lgbm
Niclas Füllkrug,xg_p90,0.4487,0.3899,0.0588,lgbm
Ondrej Duda,xg_p90,0.1331,0.0928,0.0403,lgbm
Lukas Rupp,xg_p90,0.1862,0.1852,0.001,lgbm
João Cancelo,xg_p90,0.0194,0.037,0.0176,lgbm
Ivan Perišić,xg_p90,0.2336,0.2554,0.0218,lgbm
Stephan Lichtsteiner,xg_p90,0.0475,0.037,0.0106,lgbm
Aleksandar Dragović,xg_p90,0.0117,0.0445,0.0328,lgbm
Leon Bailey,xg_p90,0.3251,0.2206,0.1045,lgbm
Kai Havertz,xg_p90,0.1511,0.1586,0.0074,lgbm
Bernd Leno,xg_p90,0.0,0.0049,0.0049,lgbm
Emre Can,xg_p90,0.0775,0.0758,0.0017,lgbm
Philippe Coutinho,xg_p90,0.284,0.2858,0.0018,lgbm
Sadio Mané,xg_p90,0.4356,0.3914,0.0443,lgbm
Jannik Vestergaard,xg_p90,0.0594,0.0477,0.0117,lgbm
Leroy Sané,xg_p90,0.2158,0.2768,0.061,lgbm
Moussa Niakhate,xg_p90,0.0435,0.039,0.0045,lgbm
Christopher Nkunku,xg_p90,0.3423,0.2847,0.0576,lgbm
Bernardo,xg_p90,0.04,0.0352,0.0048,lgbm
Naby Keïta,xg_p90,0.1697,0.1266,0.0431,lgbm
Ibrahima Konaté,xg_p90,0.022,0.0429,0.021,lgbm
Marcel Sabitzer,xg_p90,0.1911,0.2106,0.0195,lgbm
Timo Werner,xg_p90,0.4763,0.4451,0.0313,lgbm
Nabil Bentaleb,xg_p90,0.3116,0.0805,0.231,lgbm
Thilo Kehrer,xg_p90,0.0609,0.0376,0.0233,lgbm
Weston McKennie,xg_p90,0.0499,0.0682,0.0183,lgbm
Max Meyer,xg_p90,0.0104,0.0419,0.0315,lgbm
Maya Yoshida,xg_p90,0.0878,0.0442,0.0435,lgbm
Eric Maxim Choupo-Moting,xg_p90,0.2295,0.1854,0.0441,lgbm
Kevin Wimmer,xg_p90,0.0068,0.0359,0.0291,lgbm
Orel Mangala,xg_p90,0.0347,0.0452,0.0106,lgbm
Mike van der Hoorn,xg_p90,0.0463,0.0423,0.004,lgbm
Eric Dier,xg_p90,0.0637,0.0489,0.0148,lgbm
Harry Kane,xg_p90,0.7256,0.5955,0.1301,lgbm
Edimilson Fernandes,xg_p90,0.032,0.0707,0.0388,lgbm
Divock Origi,xg_p90,0.3294,0.3811,0.0517,lgbm
Pierre-Emerick Aubameyang,xg_p90,0.7461,0.5826,0.1636,lgbm
Mattéo Guendouzi,xg_p90,0.0251,0.0689,0.0438,lgbm
Sead Kolašinac,xg_p90,0.0191,0.0868,0.0677,lgbm
Bernd Leno,xg_p90,0.0,0.003,0.003,lgbm
Stephan Lichtsteiner,xg_p90,0.0,0.0243,0.0243,lgbm
Shkodran Mustafi,xg_p90,0.0517,0.0435,0.0082,lgbm
Sokratis Papastathopoulos,xg_p90,0.0328,0.0478,0.015,lgbm
Granit Xhaka,xg_p90,0.0721,0.0764,0.0043,lgbm
Kevin Danso,xg_p90,0.0361,0.0325,0.0036,lgbm
Philippe Coutinho,xg_p90,0.33,0.3099,0.0202,lgbm
Thiago Alcántara,xg_p90,0.071,0.0707,0.0003,lgbm
James Rodríguez,xg_p90,0.4033,0.3673,0.036,lgbm
Bernardo,xg_p90,0.0205,0.0275,0.0069,lgbm
Pascal Groß,xg_p90,0.2124,0.2052,0.0072,lgbm
Michy Batshuayi,xg_p90,0.48,0.395,0.085,lgbm
Max Meyer,xg_p90,0.1144,0.1179,0.0035,lgbm
Manuel Akanji,xg_p90,0.0204,0.0568,0.0364,lgbm
Jacob Bruun Larsen,xg_p90,0.2348,0.2524,0.0177,lgbm
Christian Pulisic,xg_p90,0.4635,0.3813,0.0822,lgbm
Jadon Sancho,xg_p90,0.256,0.23,0.026,lgbm
Sébastien Haller,xg_p90,0.5403,0.4498,0.0905,lgbm
Jetro Willems,xg_p90,0.0247,0.0975,0.0728,lgbm
Jonjoe Kenny,xg_p90,0.0114,0.0206,0.0092,lgbm
Edimilson Fernandes,xg_p90,0.0548,0.0912,0.0364,lgbm
Robin Koch,xg_p90,0.0426,0.0509,0.0083,lgbm
André Schürrle,xg_p90,0.1974,0.2162,0.0188,lgbm
Ryan Sessegnon,xg_p90,0.1565,0.1503,0.0063,lgbm
Felipe,xg_p90,0.0904,0.0536,0.0368,lgbm
Niclas Füllkrug,xg_p90,0.3076,0.3187,0.0112,lgbm
Kevin Wimmer,xg_p90,0.0107,0.0461,0.0354,lgbm
Ondrej Duda,xg_p90,0.2458,0.1515,0.0943,lgbm
Joelinton,xg_p90,0.3507,0.2638,0.0869,lgbm
Reiss Nelson,xg_p90,0.4619,0.285,0.1769,lgbm
Erik Durm,xg_p90,0.0175,0.0193,0.0018,lgbm
Ivan Perišić,xg_p90,0.3265,0.3302,0.0037,lgbm
Emre Can,xg_p90,0.1342,0.0938,0.0404,lgbm
João Cancelo,xg_p90,0.0777,0.0593,0.0184,lgbm
Leon Bailey,xg_p90,0.2351,0.2773,0.0422,lgbm
Aleksandar Dragović,xg_p90,0.0539,0.0532,0.0008,lgbm
Kai Havertz,xg_p90,0.3763,0.314,0.0623,lgbm
Naby Keïta,xg_p90,0.1295,0.1448,0.0153,lgbm
Sadio Mané,xg_p90,0.4417,0.4136,0.028,lgbm
Jean-Philippe Mateta,xg_p90,0.5002,0.4469,0.0533,lgbm
Moussa Niakhate,xg_p90,0.0484,0.0462,0.0022,lgbm
Leroy Sané,xg_p90,0.323,0.3474,0.0244,lgbm
Matheus Pereira,xg_p90,0.168,0.1439,0.0241,lgbm
Moussa Diaby,xg_p90,0.1735,0.1764,0.0028,lgbm
Thilo Kehrer,xg_p90,0.1041,0.0608,0.0433,lgbm
Eric Maxim Choupo-Moting,xg_p90,0.4713,0.4907,0.0194,lgbm
Christopher Nkunku,xg_p90,0.2024,0.2105,0.0081,lgbm
Tyler Adams,xg_p90,0.0125,0.0501,0.0377,lgbm
Matheus Cunha,xg_p90,0.4431,0.3329,0.1103,lgbm
Ibrahima Konaté,xg_p90,0.0629,0.0523,0.0107,lgbm
Marcel Sabitzer,xg_p90,0.1952,0.1841,0.0111,lgbm
Timo Werner,xg_p90,0.6277,0.5539,0.0738,lgbm
Justin Kluivert,xg_p90,0.0872,0.1702,0.0829,lgbm
Nabil Bentaleb,xg_p90,0.1758,0.0719,0.1038,lgbm
Weston McKennie,xg_p90,0.1546,0.1452,0.0095,lgbm
Jannik Vestergaard,xg_p90,0.0311,0.0396,0.0085,lgbm
Maya Yoshida,xg_p90,0.1126,0.0605,0.0521,lgbm
Nicolás González,xg_p90,0.2623,0.2759,0.0137,lgbm
Ozan Kabak,xg_p90,0.0867,0.045,0.0417,lgbm
Eric Dier,xg_p90,0.0598,0.05,0.0097,lgbm
Harry Kane,xg_p90,0.5347,0.5366,0.002,lgbm
Milot Rashica,xg_p90,0.4065,0.2657,0.1408,lgbm
Wout Weghorst,xg_p90,0.44,0.3922,0.0478,lgbm
Oliver Burke,xg_p90,0.1826,0.1864,0.0038,lgbm
Pierre-Emerick Aubameyang,xg_p90,0.4219,0.4773,0.0554,lgbm
Mattéo Guendouzi,xg_p90,0.0412,0.0652,0.024,lgbm
Sead Kolašinac,xg_p90,0.0212,0.0406,0.0194,lgbm
Bernd Leno,xg_p90,0.0,0.003,0.003,lgbm
Shkodran Mustafi,xg_p90,0.0671,0.0559,0.0112,lgbm
Reiss Nelson,xg_p90,0.1284,0.2036,0.0752,lgbm
Sokratis Papastathopoulos,xg_p90,0.0584,0.0504,0.008,lgbm
Granit Xhaka,xg_p90,0.0174,0.0536,0.0362,lgbm
Felipe,xg_p90,0.0814,0.0592,0.0222,lgbm
Stephan Lichtsteiner,xg_p90,0.0,0.0324,0.0324,lgbm
Thiago Alcántara,xg_p90,0.122,0.0809,0.041,lgbm
Philippe Coutinho,xg_p90,0.5485,0.4546,0.0939,lgbm
Ivan Perišić,xg_p90,0.306,0.3527,0.0467,lgbm
Bernardo,xg_p90,0.0663,0.0616,0.0047,lgbm
Pascal Groß,xg_p90,0.0802,0.1437,0.0635,lgbm
Callum Hudson-Odoi,xg_p90,0.1981,0.209,0.0109,lgbm
Christian Pulisic,xg_p90,0.4704,0.421,0.0494,lgbm
Max Meyer,xg_p90,0.0687,0.1339,0.0652,lgbm
Manuel Akanji,xg_p90,0.0156,0.0587,0.0431,lgbm
Emre Can,xg_p90,0.1131,0.0696,0.0434,lgbm
Erling Haaland,xg_p90,0.7451,0.7558,0.0107,lgbm
Jadon Sancho,xg_p90,0.3975,0.3357,0.0618,lgbm
Markus Suttner,xg_p90,0.0403,0.0367,0.0037,lgbm
Daichi Kamada,xg_p90,0.3062,0.2214,0.0849,lgbm
Mark Flekken,xg_p90,0.0,0.0024,0.0024,lgbm
Robin Koch,xg_p90,0.1331,0.0525,0.0806,lgbm
Matheus Cunha,xg_p90,0.3992,0.2273,0.1719,lgbm
Matthijs de Ligt,xg_p90,0.0882,0.0436,0.0446,lgbm
Çağlar Söyüncü,xg_p90,0.0623,0.0436,0.0187,lgbm
Leon Bailey,xg_p90,0.355,0.2978,0.0573,lgbm
Moussa Diaby,xg_p90,0.2592,0.2445,0.0147,lgbm
Aleksandar Dragović,xg_p90,0.0612,0.0519,0.0093,lgbm
Kai Havertz,xg_p90,0.3337,0.2875,0.0462,lgbm
Naby Keïta,xg_p90,0.1767,0.1592,0.0175,lgbm
Sadio Mané,xg_p90,0.4325,0.4065,0.0259,lgbm
Divock Origi,xg_p90,0.2259,0.3104,0.0844,lgbm
Edimilson Fernandes,xg_p90,0.0485,0.0569,0.0084,lgbm
Jean-Philippe Mateta,xg_p90,0.5043,0.453,0.0512,lgbm
Moussa Niakhate,xg_p90,0.0303,0.0481,0.0178,lgbm
João Cancelo,xg_p90,0.0447,0.0355,0.0092,lgbm
Nabil Bentaleb,xg_p90,0.012,0.0415,0.0295,lgbm
Joelinton,xg_p90,0.1845,0.3053,0.1208,lgbm
