Player,Team,Minutes,goals_per_90,player_expected_goals_per_90,player_expected_assists_per_90,player_accurate_passes,player_accurate_long_balls,player_tackles_won,player_interceptions,player_effective_clearances,player_contests_won,player_big_chances_created
Steffen Tigges,FC Köln,715,0.38,0.32,0.09,14.9,0.3,0.8,0.1,1.4,0.5,3.0
Jonas Wind,VfL Wolfsburg,2660,0.37,0.32,0.13,15.9,0.6,0.3,0.1,0.7,0.4,9.0
Michael Gregoritsch,SC Freiburg,1684,0.37,0.5,0.07,14.2,0.7,0.6,0.5,1.4,0.3,1.0
Yussuf Poulsen,RB Leipzig,1209,0.37,0.43,0.17,15.0,0.1,0.6,0.3,1.0,0.9,3.0
Jeremie Frimpong,Bayer 04 Leverkusen,2263,0.36,0.33,0.22,26.8,0.3,0.7,0.3,0.6,1.9,9.0
Rafael Santos Borre,SV Werder Bremen,989,0.36,0.22,0.18,19.6,0.9,0.6,0.2,0.9,0.6,3.0
Benedict Hollerbach,1. FC Union Berlin,1283,0.35,0.24,0.1,17.0,0.7,0.8,0.3,0.1,2.1,2.0
Eren Dinkci,1. FC Heidenheim 1846,2672,0.34,0.15,0.12,15.8,0.7,0.6,0.4,0.5,1.4,7.0
Leroy Sané,Bayern München,2142,0.34,0.46,0.4,35.3,0.9,0.3,0.3,0.1,3.9,16.0
Alassane Plea,Borussia Mönchengladbach,1925,0.33,0.33,0.19,24.7,1.6,0.3,0.1,0.3,1.0,5.0
Marco Reus,Borussia Dortmund,1612,0.33,0.36,0.21,31.9,0.7,1.4,0.3,1.0,0.4,10.0
Nathan N'Goumou,Borussia Mönchengladbach,1381,0.33,0.24,0.19,20.4,0.5,1.4,0.3,1.1,1.3,2.0
Alejandro Grimaldo,Bayer 04 Leverkusen,2785,0.32,0.18,0.36,49.2,1.1,0.8,0.7,1.1,0.6,18.0
Wout Weghorst,TSG Hoffenheim,1987,0.32,0.34,0.13,18.7,0.4,0.3,0.3,1.1,0.1,3.0
Vincenzo Grifo,SC Freiburg,2344,0.31,0.3,0.29,35.2,2.5,0.8,0.6,0.8,0.9,17.0
Jordan Pefok,Borussia Mönchengladbach,1450,0.31,0.43,0.12,13.8,0.5,0.2,0.3,1.7,0.2,7.0
Phillip Tietz,FC Augsburg,2405,0.3,0.31,0.13,12.4,0.3,0.5,0.2,1.3,0.5,3.0
Tim Skarke,SV Darmstadt,2418,0.3,0.13,0.11,21.4,1.2,0.6,0.2,0.7,1.0,2.0
Ansgar Knauff,Eintracht Frankfurt,2117,0.3,0.24,0.12,17.6,0.5,1.1,0.9,0.6,1.1,4.0
Karim Adeyemi,Borussia Dortmund,911,0.3,0.34,0.16,20.3,0.4,1.4,0.3,0.4,1.8,3.0
Florian Neuhaus,Borussia Mönchengladbach,1226,0.29,0.32,0.19,33.8,2.5,0.9,1.0,0.6,0.8,4.0
Woo-Yeong Jeong,VfB Stuttgart,618,0.29,0.26,0.23,39.3,0.7,1.3,1.0,0.7,0.6,3.0
Chris Führich,VfB Stuttgart,2594,0.28,0.23,0.32,36.5,0.8,0.7,0.2,0.2,2.5,11.0
Jan-Niklas Beste,1. FC Heidenheim 1846,2618,0.28,0.15,0.22,14.6,1.0,1.7,0.6,0.8,1.0,10.0
Julian Brandt,Borussia Dortmund,2230,0.28,0.18,0.3,40.0,2.1,0.6,0.3,0.7,1.1,18.0
Ritsu Doan,SC Freiburg,2253,0.28,0.2,0.17,19.4,0.6,1.1,0.4,1.0,2.1,4.0
Faride Alidou,FC Köln,1284,0.28,0.21,0.05,12.9,0.7,0.3,0.6,0.9,1.7,0.0
