Player,Squad,Comp,Pos,Min,Gls,xG,npxG,Ast,xAG,Sh/90,SoT/90,PrgC,PrgP,PrgR,Cmp%,KP,xA,TklW,Int,Tkl+Int,Clr,Succ%,Carries,Touches,Gls_pct,xG_pct,npxG_pct,Ast_pct,xAG_pct,Sh/90_pct,SoT/90_pct,PrgC_pct,PrgP_pct,PrgR_pct,Cmp%_pct,KP_pct,xA_pct,TklW_pct,Int_pct,Tkl+Int_pct,Clr_pct,Succ%_pct,Carries_pct,Touches_pct
Tyler Adams,Bournemouth,eng Premier League,MF,1965,0,1.6,1.6,3,1.0,0.41,0.09,14,76,10,84.4,18,0.8,50,32,115,42,22.2,663,1337,0.17615176151761516,0.540650406504065,0.540650406504065,0.7439024390243902,0.3875338753387534,0.22086720867208673,0.23577235772357724,0.3048780487804878,0.6327913279132791,0.26558265582655827,0.6869918699186992,0.6070460704607046,0.35365853658536583,0.9525745257452575,0.8875338753387534,0.943089430894309,0.6260162601626016,0.05730659025787966,0.5799457994579946,0.6639566395663956
Junior Adamu,Freiburg,de Bundesliga,FW,1545,2,5.5,5.5,2,2.4,2.1,0.64,8,14,84,63.5,17,1.9,3,12,21,20,34.5,275,534,0.6060606060606061,0.8803030303030303,0.8909090909090909,0.656060606060606,0.7257575757575757,0.7893939393939394,0.7484848484848485,0.21666666666666667,0.1,0.6878787878787879,0.05909090909090909,0.6181818181818182,0.603030303030303,0.11666666666666667,0.509090909090909,0.27424242424242423,0.3575757575757576,0.21129032258064517,0.17575757575757575,0.1696969696969697
Tosin Adarabioyo,Chelsea,eng Premier League,DF,1409,1,0.9,0.9,1,0.2,0.83,0.13,5,42,1,91.1,1,0.2,13,11,28,80,66.7,777,1330,0.44579945799457993,0.3699186991869919,0.37262872628726285,0.44986449864498645,0.14363143631436315,0.47560975609756095,0.31842818428184283,0.13685636856368563,0.33604336043360433,0.10298102981029811,0.9417344173441734,0.06504065040650407,0.12737127371273713,0.38482384823848237,0.470189701897019,0.3346883468834688,0.8428184281842819,0.8825214899713467,0.6666666666666666,0.6612466124661247
Karim Adeyemi,Dortmund,de Bundesliga,"FW,MF",1433,7,5.5,5.5,6,6.0,2.89,1.13,68,28,153,74.3,28,4.1,14,7,27,5,42.6,417,636,0.8803030303030303,0.8803030303030303,0.8909090909090909,0.9227272727272727,0.9515151515151515,0.9363636363636364,0.9181818181818182,0.9424242424242424,0.22424242424242424,0.9151515151515152,0.3787878787878788,0.8409090909090909,0.8636363636363636,0.4893939393939394,0.3242424242424242,0.36363636363636365,0.048484848484848485,0.40161290322580645,0.3484848484848485,0.2636363636363636
Simon Adingra,Brighton,eng Premier League,"FW,MF",1097,2,2.5,2.5,2,2.5,2.71,0.66,50,18,136,75.9,16,2.8,14,8,31,6,42.0,366,548,0.6029810298102981,0.6626016260162602,0.6747967479674797,0.6273712737127372,0.6991869918699187,0.9051490514905149,0.7615176151761518,0.7398373983739838,0.13279132791327913,0.8401084010840109,0.31978319783197834,0.551490514905149,0.7831978319783198,0.4146341463414634,0.3617886178861789,0.3902439024390244,0.06504065040650407,0.42263610315186245,0.24254742547425473,0.17615176151761516
Amine Adli,Leverkusen,de Bundesliga,"MF,FW",766,2,2.7,2.7,0,0.7,2.35,0.82,37,24,100,74.2,11,1.9,9,0,15,4,46.9,248,468,0.6060606060606061,0.6984848484848485,0.706060606060606,0.1712121212121212,0.31212121212121213,0.8484848484848485,0.8257575757575758,0.7606060606060606,0.19393939393939394,0.7545454545454545,0.3712121212121212,0.43787878787878787,0.603030303030303,0.27424242424242423,0.04242424242424243,0.18787878787878787,0.03636363636363636,0.5548387096774193,0.13636363636363635,0.11515151515151516
Oladapo Afolayan,St. Pauli,de Bundesliga,"FW,MF",1639,3,3.1,3.1,1,3.8,2.09,0.71,53,32,108,69.4,21,3.6,8,8,25,20,49.0,495,741,0.7318181818181818,0.740909090909091,0.7606060606060606,0.4575757575757576,0.8651515151515151,0.7833333333333333,0.7712121212121212,0.8787878787878788,0.2681818181818182,0.7772727272727272,0.1803030303030303,0.706060606060606,0.8257575757575758,0.24696969696969698,0.36363636363636365,0.3378787878787879,0.3575757575757576,0.6096774193548387,0.4621212121212121,0.3151515151515151
Emmanuel Agbadou,Wolves,eng Premier League,DF,1410,1,0.8,0.8,0,0.2,0.45,0.13,6,31,2,85.4,4,0.3,19,12,42,90,76.9,758,1172,0.44579945799457993,0.34146341463414637,0.34417344173441733,0.17344173441734417,0.14363143631436315,0.2588075880758808,0.31842818428184283,0.15582655826558264,0.22764227642276422,0.13279132791327913,0.7195121951219512,0.18834688346883469,0.17344173441734417,0.5365853658536586,0.502710027100271,0.5094850948509485,0.8658536585365854,0.9197707736389685,0.6517615176151762,0.5609756097560976
Felix Agu,Werder Bremen,de Bundesliga,DF,1751,3,1.4,1.4,0,1.8,0.46,0.21,33,43,105,79.7,20,2.5,14,21,51,48,25.7,545,1045,0.7318181818181818,0.4909090909090909,0.5,0.1712121212121212,0.6439393939393939,0.23030303030303031,0.4318181818181818,0.7181818181818181,0.38484848484848483,0.7696969696969697,0.5909090909090909,0.6757575757575758,0.7136363636363636,0.4893939393939394,0.7393939393939394,0.6606060606060606,0.6454545454545455,0.08064516129032258,0.5590909090909091,0.5515151515151515
Ola Aina,Nott'ham Forest,eng Premier League,DF,2995,2,0.6,0.6,1,1.4,0.33,0.06,67,107,67,73.5,16,2.2,42,33,88,115,45.8,749,1708,0.6029810298102981,0.26558265582655827,0.2682926829268293,0.44986449864498645,0.5067750677506775,0.16666666666666666,0.17750677506775067,0.8360433604336044,0.7669376693766937,0.5813008130081301,0.21680216802168023,0.551490514905149,0.7046070460704607,0.9092140921409214,0.8983739837398373,0.8617886178861789,0.9024390243902439,0.5501432664756447,0.6449864498644986,0.8089430894308943
Rayan Aït-Nouri,Wolves,eng Premier League,DF,3109,4,2.7,2.7,7,5.5,1.04,0.29,89,108,176,84.2,46,4.0,57,26,115,75,46.0,1129,2148,0.7710027100271003,0.6775067750677507,0.6910569105691057,0.9444444444444444,0.9214092140921409,0.5365853658536586,0.524390243902439,0.8943089430894309,0.7723577235772358,0.8997289972899729,0.6788617886178862,0.9105691056910569,0.8699186991869918,0.9769647696476965,0.8116531165311653,0.943089430894309,0.8116531165311653,0.5644699140401146,0.8970189701897019,0.926829268292683
Kristoffer Ajer,Brentford,eng Premier League,DF,1438,0,1.0,1.0,0,1.2,0.56,0.19,27,56,44,78.3,8,0.5,18,12,38,50,43.8,387,795,0.17615176151761516,0.3875338753387534,0.3902439024390244,0.17344173441734417,0.44986449864498645,0.33875338753387535,0.4146341463414634,0.521680216802168,0.4634146341463415,0.4932249322493225,0.4065040650406504,0.3075880758807588,0.23712737127371275,0.505420054200542,0.502710027100271,0.46070460704607047,0.6829268292682927,0.47277936962750716,0.27371273712737126,0.3170731707317073
Manuel Akanji,Manchester City,eng Premier League,DF,2014,0,1.6,1.6,0,0.4,0.67,0.09,46,158,7,93.6,9,1.3,12,9,28,64,100.0,1254,1881,0.17615176151761516,0.540650406504065,0.540650406504065,0.17344173441734417,0.21002710027100271,0.3902439024390244,0.23577235772357724,0.7222222222222222,0.9322493224932249,0.23170731707317074,0.991869918699187,0.34552845528455284,0.510840108401084,0.3617886178861789,0.3997289972899729,0.3346883468834688,0.7628726287262872,0.9699140401146131,0.926829268292683,0.8536585365853658
Nathan Aké,Manchester City,eng Premier League,DF,678,0,0.2,0.2,0,0.0,0.4,0.0,12,50,2,93.9,1,0.2,7,3,12,22,100.0,403,596,0.17615176151761516,0.12737127371273713,0.12737127371273713,0.17344173441734417,0.037940379403794036,0.2073170731707317,0.06639566395663957,0.2682926829268293,0.3956639566395664,0.13279132791327913,0.997289972899729,0.06504065040650407,0.12737127371273713,0.20596205962059622,0.15582655826558264,0.11924119241192412,0.3902439024390244,0.9699140401146131,0.2926829268292683,0.20596205962059622
Kevin Akpoguma,Hoffenheim,de Bundesliga,DF,2220,0,0.1,0.1,0,0.3,0.2,0.04,14,98,16,87.1,7,0.6,27,29,83,115,53.3,892,1692,0.16515151515151516,0.10151515151515152,0.10454545454545454,0.1712121212121212,0.1893939393939394,0.10151515151515152,0.16363636363636364,0.3424242424242424,0.7636363636363637,0.28484848484848485,0.8636363636363636,0.29545454545454547,0.22272727272727272,0.8272727272727273,0.8484848484848485,0.9030303030303031,0.9181818181818182,0.6983870967741935,0.8333333333333334,0.8363636363636363
Carlos Alcaraz,Everton,eng Premier League,"FW,MF",764,2,1.7,1.7,3,1.6,3.06,1.3,19,42,21,80.6,13,0.7,5,5,16,10,50.0,211,378,0.6029810298102981,0.5636856368563685,0.5636856368563685,0.7439024390243902,0.5609756097560976,0.94579945799458,0.967479674796748,0.4092140921409214,0.33604336043360433,0.34552845528455284,0.5040650406504065,0.462059620596206,0.3170731707317073,0.14092140921409213,0.23577235772357724,0.16666666666666666,0.15853658536585366,0.6848137535816619,0.07046070460704607,0.06504065040650407
Trent Alexander-Arnold,Liverpool,eng Premier League,DF,2365,3,1.9,1.9,6,7.3,1.71,0.3,51,232,94,73.5,52,7.4,50,31,103,55,45.9,1183,2252,0.7059620596205962,0.5934959349593496,0.5934959349593496,0.907859078590786,0.964769647696477,0.7262872628726287,0.5338753387533876,0.7466124661246613,0.983739837398374,0.7086720867208672,0.21680216802168023,0.9417344173441734,0.986449864498645,0.9525745257452575,0.8766937669376694,0.9105691056910569,0.7262872628726287,0.5573065902578797,0.9159891598915989,0.948509485094851
Alisson,Liverpool,eng Premier League,GK,2508,0,0.0,0.0,0,0.6,0.0,0.0,0,1,0,82.8,1,0.2,0,0,1,13,100.0,658,1011,0.17615176151761516,0.044715447154471545,0.044715447154471545,0.17344173441734417,0.2791327913279133,0.03929539295392954,0.06639566395663957,0.03929539295392954,0.04742547425474255,0.04607046070460705,0.6178861788617886,0.06504065040650407,0.12737127371273713,0.02710027100271003,0.036585365853658534,0.037940379403794036,0.23306233062330622,0.9699140401146131,0.5718157181571816,0.46883468834688347
Edson Álvarez,West Ham,eng Premier League,MF,1772,0,0.4,0.4,1,0.8,0.61,0.05,24,85,18,85.8,12,0.9,27,18,68,46,42.4,687,1239,0.17615176151761516,0.1951219512195122,0.1951219512195122,0.44986449864498645,0.33875338753387535,0.36314363143631434,0.15989159891598917,0.489159891598916,0.6761517615176151,0.3252032520325203,0.7411924119241192,0.43766937669376693,0.38346883468834686,0.7276422764227642,0.6436314363143631,0.7289972899728997,0.6476964769647696,0.4340974212034384,0.5989159891598916,0.5989159891598916
Nadiem Amiri,Mainz 05,de Bundesliga,MF,2473,7,5.5,3.9,5,6.6,2.18,0.87,50,204,64,77.0,63,9.2,23,16,66,30,47.8,1134,2093,0.8803030303030303,0.8803030303030303,0.8121212121212121,0.8924242424242425,0.9712121212121212,0.8090909090909091,0.8560606060606061,0.8454545454545455,0.9878787878787879,0.5878787878787879,0.48484848484848486,0.9848484848484849,0.990909090909091,0.7378787878787879,0.6196969696969697,0.7878787878787878,0.4984848484848485,0.5983870967741935,0.9272727272727272,0.9272727272727272
Mohamed Amoura,Wolfsburg,de Bundesliga,FW,2467,10,8.7,7.2,9,4.0,2.66,0.91,81,61,244,70.3,35,3.7,22,9,38,24,40.7,628,1106,0.943939393939394,0.9424242424242424,0.943939393939394,0.9818181818181818,0.8803030303030303,0.9090909090909091,0.8636363636363636,0.9621212121212122,0.5696969696969697,0.9848484848484849,0.2287878787878788,0.896969696969697,0.8318181818181818,0.7121212121212122,0.40454545454545454,0.4818181818181818,0.4075757575757576,0.36129032258064514,0.6393939393939394,0.5909090909090909
Joachim Andersen,Fulham,eng Premier League,DF,2583,0,1.0,1.0,0,0.5,0.66,0.14,16,112,2,82.7,4,0.5,18,34,61,188,66.7,1350,2336,0.17615176151761516,0.3875338753387534,0.3902439024390244,0.17344173441734417,0.24796747967479674,0.38482384823848237,0.33875338753387535,0.35501355013550134,0.7886178861788617,0.13279132791327913,0.6097560975609756,0.18834688346883469,0.23712737127371275,0.505420054200542,0.9092140921409214,0.6639566395663956,0.967479674796748,0.8825214899713467,0.962059620596206,0.9566395663956639
Elliot Anderson,Nott'ham Forest,eng Premier League,MF,2728,2,2.1,2.1,6,3.3,1.32,0.23,52,143,94,78.3,37,3.6,56,31,123,76,48.0,932,1831,0.6029810298102981,0.6233062330623306,0.6260162601626016,0.907859078590786,0.7913279132791328,0.6327913279132791,0.47560975609756095,0.7533875338753387,0.8997289972899729,0.7086720867208672,0.4065040650406504,0.8441734417344173,0.8401084010840109,0.9728997289972899,0.8766937669376694,0.964769647696477,0.8211382113821138,0.6303724928366762,0.8130081300813008,0.8401084010840109
André,Wolves,eng Premier League,MF,2472,0,0.4,0.4,0,0.8,0.36,0.04,10,109,11,92.9,18,0.7,55,37,128,30,50.0,912,1623,0.17615176151761516,0.1951219512195122,0.1951219512195122,0.17344173441734417,0.33875338753387535,0.1937669376693767,0.14498644986449866,0.23170731707317074,0.7764227642276422,0.2804878048780488,0.9796747967479674,0.6070460704607046,0.3170731707317073,0.9688346883468835,0.926829268292683,0.9742547425474255,0.508130081300813,0.6848137535816619,0.7994579945799458,0.7804878048780488
Robert Andrich,Leverkusen,de Bundesliga,"MF,DF",1598,2,1.3,1.3,2,0.3,1.18,0.28,8,65,17,88.4,9,1.0,12,29,53,23,40.0,526,1114,0.6060606060606061,0.4590909090909091,0.4681818181818182,0.656060606060606,0.1893939393939394,0.6090909090909091,0.5287878787878788,0.21666666666666667,0.6196969696969697,0.29848484848484846,0.9090909090909091,0.3575757575757576,0.33636363636363636,0.4166666666666667,0.8484848484848485,0.6772727272727272,0.39090909090909093,0.3338709677419355,0.5151515151515151,0.6060606060606061
Waldemar Anton,Dortmund,de Bundesliga,DF,1949,2,1.7,1.7,2,0.8,0.88,0.14,32,117,28,90.4,6,1.8,21,30,64,112,83.3,1386,2126,0.6060606060606061,0.5742424242424242,0.5803030303030303,0.656060606060606,0.34545454545454546,0.5106060606060606,0.3303030303030303,0.706060606060606,0.8469696969696969,0.36515151515151517,0.9606060606060606,0.2515151515151515,0.5666666666666667,0.6818181818181818,0.8621212121212121,0.7787878787878788,0.9121212121212121,0.9387096774193548,0.9727272727272728,0.9454545454545454
Michail Antonio,West Ham,eng Premier League,FW,836,1,2.2,2.2,1,1.6,2.05,0.43,29,18,59,60.6,9,0.9,2,0,2,2,33.3,173,296,0.44579945799457993,0.6355013550135501,0.6395663956639567,0.44986449864498645,0.5609756097560976,0.8143631436314364,0.6504065040650406,0.551490514905149,0.13279132791327913,0.559620596205962,0.02168021680216802,0.34552845528455284,0.38346883468834686,0.07588075880758807,0.036585365853658534,0.06233062330623306,0.01084010840108401,0.1991404011461318,0.02981029810298103,0.024390243902439025
Cameron Archer,Southampton,eng Premier League,FW,1441,2,5.7,4.9,0,0.5,1.75,0.62,22,14,66,81.7,5,0.7,8,2,15,11,40.5,226,398,0.6029810298102981,0.8495934959349594,0.8319783197831978,0.17344173441734417,0.24796747967479674,0.7317073170731707,0.7466124661246613,0.44986449864498645,0.10569105691056911,0.575880758807588,0.5528455284552846,0.2181571815718157,0.3170731707317073,0.23848238482384823,0.12330623306233063,0.15311653116531165,0.1910569105691057,0.37822349570200575,0.0921409214092141,0.07994579945799458
Alphonse Areola,West Ham,eng Premier League,GK,2260,0,0.0,0.0,0,0.0,0.0,0.0,0,1,0,69.6,0,0.0,2,0,2,15,,601,1049,0.17615176151761516,0.044715447154471545,0.044715447154471545,0.17344173441734417,0.037940379403794036,0.03929539295392954,0.06639566395663957,0.03929539295392954,0.04742547425474255,0.04607046070460705,0.1111111111111111,0.023035230352303523,0.03116531165311653,0.07588075880758807,0.036585365853658534,0.06233062330623306,0.28184281842818426,,0.4905149051490515,0.4905149051490515
Joe Aribo,Southampton,eng Premier League,"MF,DF",2013,3,2.7,2.7,0,1.6,0.76,0.31,36,75,65,88.8,16,1.3,33,20,67,32,42.9,745,1271,0.7059620596205962,0.6775067750677507,0.6910569105691057,0.17344173441734417,0.5609756097560976,0.43766937669376693,0.5433604336043361,0.6341463414634146,0.6205962059620597,0.5704607046070461,0.8780487804878049,0.551490514905149,0.510840108401084,0.8170731707317073,0.6897018970189702,0.7195121951219512,0.5230352303523035,0.4469914040114613,0.6368563685636857,0.6192411924119241
Adam Armstrong,Southampton,eng Premier League,"FW,MF",1248,2,3.3,2.3,2,1.2,1.8,0.5,25,21,79,80.2,9,0.6,3,3,15,8,42.9,235,377,0.6029810298102981,0.7289972899728997,0.6531165311653117,0.6273712737127372,0.44986449864498645,0.7466124661246613,0.6883468834688347,0.4986449864498645,0.16531165311653118,0.6382113821138211,0.48509485094850946,0.34552845528455284,0.2777777777777778,0.09349593495934959,0.15582655826558264,0.15311653116531165,0.11246612466124661,0.4469914040114613,0.1002710027100271,0.06233062330623306
Maximilian Arnold,Wolfsburg,de Bundesliga,MF,2356,3,0.9,0.9,5,3.5,1.03,0.46,9,128,16,77.2,45,4.4,20,24,58,70,16.7,787,1576,0.7318181818181818,0.35,0.3560606060606061,0.8924242424242425,0.8378787878787879,0.5606060606060606,0.6530303030303031,0.24242424242424243,0.8893939393939394,0.28484848484848485,0.49696969696969695,0.9318181818181818,0.8863636363636364,0.6545454545454545,0.7909090909090909,0.7303030303030303,0.7848484848484848,0.03225806451612903,0.7484848484848485,0.8090909090909091
Jann-Fiete Arp,Holstein Kiel,de Bundesliga,"FW,MF",713,2,3.8,2.2,0,1.0,2.52,1.14,14,21,66,58.6,11,1.7,10,3,16,8,43.8,158,303,0.6060606060606061,0.7909090909090909,0.6727272727272727,0.1712121212121212,0.4106060606060606,0.8787878787878788,0.9242424242424242,0.3424242424242424,0.16363636363636364,0.5984848484848485,0.012121212121212121,0.43787878787878787,0.5333333333333333,0.3106060606060606,0.1696969696969697,0.20909090909090908,0.11060606060606061,0.45161290322580644,0.022727272727272728,0.024242424242424242
Kepa Arrizabalaga,Bournemouth,eng Premier League,GK,2790,0,0.1,0.1,0,0.0,0.03,0.0,0,2,0,73.2,1,0.0,0,0,1,15,100.0,621,1087,0.17615176151761516,0.0989159891598916,0.0989159891598916,0.17344173441734417,0.037940379403794036,0.07994579945799458,0.06639566395663957,0.03929539295392954,0.06775067750677506,0.04607046070460705,0.2005420054200542,0.06504065040650407,0.03116531165311653,0.02710027100271003,0.036585365853658534,0.037940379403794036,0.28184281842818426,0.9699140401146131,0.524390243902439,0.5067750677506775
Arthur,Leverkusen,de Bundesliga,DF,752,0,0.1,0.1,1,0.4,0.12,0.0,15,25,53,78.9,2,1.0,11,9,23,29,20.8,242,508,0.16515151515151516,0.10151515151515152,0.10454545454545454,0.4575757575757576,0.22121212121212122,0.08787878787878788,0.07272727272727272,0.36666666666666664,0.20303030303030303,0.5333333333333333,0.5742424242424242,0.09848484848484848,0.33636363636363636,0.36666666666666664,0.40454545454545454,0.3151515151515151,0.48333333333333334,0.056451612903225805,0.12727272727272726,0.15454545454545454
Marco Asensio,Aston Villa,eng Premier League,MF,743,3,4.4,2.9,1,1.0,2.66,1.09,22,45,38,77.3,16,1.2,5,2,9,3,63.2,242,386,0.7059620596205962,0.7953929539295393,0.7113821138211383,0.44986449864498645,0.3875338753387534,0.8983739837398373,0.926829268292683,0.44986449864498645,0.35772357723577236,0.45934959349593496,0.37262872628726285,0.551490514905149,0.47560975609756095,0.14092140921409213,0.12330623306233063,0.10298102981029811,0.024390243902439025,0.8638968481375359,0.10298102981029811,0.07317073170731707
Noah Atubolu,Freiburg,de Bundesliga,GK,2307,0,0.0,0.0,0,0.0,0.0,0.0,0,2,0,74.5,0,0.1,0,0,0,13,,680,1198,0.16515151515151516,0.04090909090909091,0.04242424242424243,0.1712121212121212,0.03939393939393939,0.03939393939393939,0.07272727272727272,0.04090909090909091,0.06060606060606061,0.04090909090909091,0.3878787878787879,0.02727272727272727,0.05454545454545454,0.03484848484848485,0.04242424242424243,0.025757575757575757,0.21666666666666667,,0.6818181818181818,0.6393939393939394
Yasin Ayari,Brighton,eng Premier League,MF,1965,2,2.4,2.4,1,2.3,1.28,0.37,30,75,61,81.5,30,2.6,32,20,79,26,40.0,655,1233,0.6029810298102981,0.6531165311653117,0.6626016260162602,0.44986449864498645,0.6788617886178862,0.6192411924119241,0.6070460704607046,0.5718157181571816,0.6205962059620597,0.5636856368563685,0.5420054200542005,0.7886178861788617,0.7560975609756098,0.8062330623306233,0.6897018970189702,0.8062330623306233,0.4634146341463415,0.3553008595988539,0.5691056910569106,0.5962059620596206
Jordan Ayew,Leicester City,eng Premier League,"FW,MF",1638,5,3.2,2.4,0,1.1,1.7,0.44,49,46,86,74.3,16,1.5,15,12,39,19,40.6,479,798,0.8130081300813008,0.7195121951219512,0.6626016260162602,0.17344173441734417,0.4146341463414634,0.7222222222222222,0.6585365853658537,0.7344173441734417,0.3604336043360434,0.6788617886178862,0.24796747967479674,0.551490514905149,0.573170731707317,0.44579945799457993,0.502710027100271,0.47560975609756095,0.34552845528455284,0.3839541547277937,0.3604336043360434,0.31978319783197834
Leon Bailey,Aston Villa,eng Premier League,"FW,MF",1139,1,1.7,1.7,2,1.5,2.21,0.47,58,35,121,71.0,16,3.0,5,3,10,12,38.6,348,545,0.44579945799457993,0.5636856368563685,0.5636856368563685,0.6273712737127372,0.535230352303523,0.8401084010840109,0.6693766937669376,0.7777777777777778,0.2777777777777778,0.8008130081300813,0.14092140921409213,0.551490514905149,0.8008130081300813,0.14092140921409213,0.15582655826558264,0.10840108401084012,0.2140921409214092,0.3209169054441261,0.22493224932249323,0.17208672086720866
Ridle Baku,Wolfsburg,de Bundesliga,"FW,MF",1170,2,1.5,1.5,1,1.3,1.38,0.46,16,44,78,74.1,13,1.6,15,15,38,15,45.0,352,646,0.6060606060606061,0.5257575757575758,0.5348484848484848,0.4575757575757576,0.5196969696969697,0.6651515151515152,0.6530303030303031,0.396969696969697,0.3939393939393939,0.6666666666666666,0.36666666666666664,0.5166666666666667,0.5060606060606061,0.5166666666666667,0.5909090909090909,0.4818181818181818,0.2590909090909091,0.49516129032258066,0.28484848484848485,0.27121212121212124
Ridle Baku,RB Leipzig,de Bundesliga,"DF,MF",1275,2,1.4,1.4,3,1.5,1.2,0.35,21,41,97,75.2,14,1.7,19,9,33,45,66.7,383,796,0.6060606060606061,0.4909090909090909,0.5,0.7757575757575758,0.5666666666666667,0.6181818181818182,0.6045454545454545,0.5212121212121212,0.3621212121212121,0.75,0.4121212121212121,0.5515151515151515,0.5333333333333333,0.6318181818181818,0.40454545454545454,0.42272727272727273,0.6212121212121212,0.8661290322580645,0.3181818181818182,0.3575757575757576
Carlos Baleba,Brighton,eng Premier League,MF,2661,3,3.1,3.1,1,1.3,1.49,0.37,43,118,29,87.4,21,1.2,46,46,125,44,57.9,971,1697,0.7059620596205962,0.7100271002710027,0.7249322493224932,0.44986449864498645,0.481029810298103,0.6653116531165312,0.6070460704607046,0.7073170731707317,0.8184281842818428,0.3915989159891599,0.8089430894308943,0.6639566395663956,0.47560975609756095,0.926829268292683,0.9715447154471545,0.9701897018970189,0.6382113821138211,0.8137535816618912,0.8319783197831978,0.8021680216802168
Harvey Barnes,Newcastle Utd,eng Premier League,FW,1755,9,7.2,7.2,4,4.0,3.23,1.03,93,83,192,78.1,26,4.6,9,6,22,15,37.5,561,810,0.9227642276422764,0.8943089430894309,0.9037940379403794,0.8211382113821138,0.8279132791327913,0.9552845528455285,0.9024390243902439,0.9105691056910569,0.6639566395663956,0.9159891598915989,0.3915989159891599,0.7466124661246613,0.9051490514905149,0.27371273712737126,0.2791327913279133,0.2601626016260163,0.28184281842818426,0.29369627507163326,0.46612466124661245,0.33062330623306235
Calvin Bassey,Fulham,eng Premier League,DF,3074,1,1.0,1.0,0,0.1,0.41,0.12,39,116,15,89.7,3,0.4,34,20,74,118,45.5,1571,2463,0.44579945799457993,0.3875338753387534,0.3902439024390244,0.17344173441734417,0.0989159891598916,0.22086720867208673,0.2981029810298103,0.6639566395663956,0.8035230352303523,0.3048780487804878,0.9037940379403794,0.15040650406504066,0.20596205962059622,0.8292682926829268,0.6897018970189702,0.7710027100271003,0.9065040650406504,0.5300859598853869,0.983739837398374,0.9728997289972899
Maximilian Bauer,Augsburg,de Bundesliga,DF,658,0,0.2,0.2,0,0.1,0.14,0.14,4,30,7,80.9,2,0.1,8,6,20,35,,216,422,0.16515151515151516,0.13636363636363635,0.1393939393939394,0.1712121212121212,0.09545454545454546,0.09090909090909091,0.3303030303030303,0.14545454545454545,0.2515151515151515,0.1984848484848485,0.6484848484848484,0.09848484848484848,0.05454545454545454,0.24696969696969698,0.28939393939393937,0.25303030303030305,0.543939393939394,,0.09696969696969697,0.09393939393939393
Oliver Baumann,Hoffenheim,de Bundesliga,GK,2520,0,0.0,0.0,0,1.0,0.0,0.0,0,1,0,69.1,3,0.7,2,0,2,15,100.0,678,1147,0.16515151515151516,0.04090909090909091,0.04242424242424243,0.1712121212121212,0.4106060606060606,0.03939393939393939,0.07272727272727272,0.04090909090909091,0.045454545454545456,0.04090909090909091,0.16515151515151516,0.14393939393939395,0.25757575757575757,0.09696969696969697,0.04242424242424243,0.07121212121212121,0.2590909090909091,0.9741935483870968,0.6787878787878788,0.6151515151515151
Christoph Baumgartner,RB Leipzig,de Bundesliga,MF,1610,2,4.5,4.5,1,1.3,2.18,0.84,37,53,95,68.2,20,1.7,28,12,56,24,40.5,438,910,0.6060606060606061,0.8409090909090909,0.853030303030303,0.4575757575757576,0.5196969696969697,0.8090909090909091,0.8393939393939394,0.7606060606060606,0.5015151515151515,0.7333333333333333,0.14545454545454545,0.6757575757575758,0.5333333333333333,0.8515151515151516,0.509090909090909,0.7075757575757575,0.4075757575757576,0.3548387096774194,0.3712121212121212,0.45454545454545453
Adrian Beck,Heidenheim,de Bundesliga,"MF,FW",1598,4,3.3,3.3,1,1.2,2.2,0.73,37,69,83,80.1,21,1.9,17,9,45,17,53.3,553,962,0.7924242424242425,0.7575757575757576,0.7757575757575758,0.4575757575757576,0.4893939393939394,0.8166666666666667,0.7803030303030303,0.7606060606060606,0.6439393939393939,0.6818181818181818,0.6106060606060606,0.706060606060606,0.603030303030303,0.5818181818181818,0.40454545454545454,0.5924242424242424,0.30606060606060603,0.6983870967741935,0.5696969696969697,0.49242424242424243
Timo Becker,Holstein Kiel,de Bundesliga,DF,2445,0,1.4,1.4,2,0.8,0.63,0.15,28,57,38,77.4,6,1.0,33,17,70,110,46.2,588,1325,0.16515151515151516,0.4909090909090909,0.5,0.656060606060606,0.34545454545454546,0.3378787878787879,0.3484848484848485,0.6484848484848484,0.5287878787878788,0.4409090909090909,0.5015151515151515,0.2515151515151515,0.33636363636363636,0.9287878787878788,0.6484848484848484,0.8212121212121212,0.9030303030303031,0.5370967741935484,0.5954545454545455,0.703030303030303
Jan Bednarek,Southampton,eng Premier League,DF,2531,2,0.7,0.7,0,0.5,0.18,0.07,5,60,2,92.7,5,0.9,19,56,92,190,100.0,1046,2049,0.6029810298102981,0.3021680216802168,0.3048780487804878,0.17344173441734417,0.24796747967479674,0.1043360433604336,0.1951219512195122,0.13685636856368563,0.489159891598916,0.13279132791327913,0.975609756097561,0.2181571815718157,0.38346883468834686,0.5365853658536586,0.9905149051490515,0.8753387533875339,0.9715447154471545,0.9699140401146131,0.8590785907859079,0.9051490514905149
Maximilian Beier,Dortmund,de Bundesliga,"FW,MF",1591,8,7.7,7.7,5,3.3,2.38,0.74,24,33,124,70.5,24,2.5,16,7,32,14,43.1,338,618,0.906060606060606,0.9303030303030303,0.9515151515151515,0.8924242424242425,0.8227272727272728,0.8515151515151516,0.7863636363636364,0.5681818181818182,0.2787878787878788,0.8378787878787879,0.24242424242424243,0.7636363636363637,0.7136363636363636,0.5424242424242425,0.3242424242424242,0.41363636363636364,0.23484848484848486,0.4290322580645161,0.26515151515151514,0.24545454545454545
