Player,Squad,Comp,Pos,Min,Gls,xG,npxG,Ast,xAG,Sh/90,SoT/90,PrgC,PrgP,PrgR,Cmp%,KP,xA,TklW,Int,Tkl+Int,Clr,Succ%,Carries,Touches,Gls_pct,xG_pct,npxG_pct,Ast_pct,xAG_pct,Sh/90_pct,SoT/90_pct,PrgC_pct,PrgP_pct,PrgR_pct,Cmp%_pct,KP_pct,xA_pct,TklW_pct,Int_pct,Tkl+Int_pct,Clr_pct,Succ%_pct,Carries_pct,Touches_pct
Maxence Lacroix,Crystal Palace,eng Premier League,DF,3116,1,3.4,3.4,1,1.0,0.87,0.14,8,65,7,81.7,8,1.0,41,54,122,207,57.1,1030,1934,0.44579945799457993,0.7357723577235772,0.7411924119241192,0.44986449864498645,0.3875338753387534,0.494579945799458,0.33875338753387535,0.2018970189701897,0.5433604336043361,0.23170731707317074,0.5528455284552846,0.3075880758807588,0.4132791327913279,0.9024390243902439,0.986449864498645,0.9607046070460704,0.983739837398374,0.8094555873925502,0.8536585365853658,0.8753387533875339
Konrad Laimer,Bayern Munich,de Bundesliga,DF,1699,2,2.1,2.1,2,2.7,0.95,0.32,87,141,113,87.8,20,3.2,27,8,57,24,56.7,816,1421,0.6060606060606061,0.6575757575757576,0.6606060606060606,0.656060606060606,0.7515151515151515,0.5454545454545454,0.5893939393939394,0.9727272727272728,0.9242424242424242,0.7924242424242425,0.8878787878787879,0.6757575757575758,0.7863636363636364,0.8272727272727273,0.36363636363636365,0.7227272727272728,0.4075757575757576,0.7532258064516129,0.7787878787878788,0.7363636363636363
Stefan Lainer,Gladbach,de Bundesliga,DF,757,1,0.3,0.3,0,1.0,0.48,0.12,25,25,32,77.4,9,0.4,13,12,34,30,50.0,288,565,0.42727272727272725,0.16515151515151516,0.16818181818181818,0.1712121212121212,0.4106060606060606,0.25,0.2924242424242424,0.5984848484848485,0.20303030303030303,0.3939393939393939,0.5015151515151515,0.3575757575757576,0.14545454545454545,0.453030303030303,0.509090909090909,0.44393939393939397,0.4984848484848485,0.6370967741935484,0.19393939393939394,0.20606060606060606
Tariq Lamptey,Brighton,eng Premier League,DF,860,2,0.4,0.4,2,0.8,0.63,0.21,32,14,45,81.1,5,0.8,11,7,24,23,32.3,292,535,0.6029810298102981,0.1951219512195122,0.1951219512195122,0.6273712737127372,0.33875338753387535,0.37533875338753386,0.44173441734417346,0.5894308943089431,0.10569105691056911,0.5013550135501355,0.524390243902439,0.2181571815718157,0.35365853658536583,0.3346883468834688,0.3224932249322493,0.2859078590785908,0.4105691056910569,0.16045845272206305,0.15447154471544716,0.16531165311653118
Hugo Larsson,Eint Frankfurt,de Bundesliga,MF,2393,3,3.1,3.1,1,2.1,0.79,0.38,16,121,33,86.9,21,1.9,27,30,77,35,63.2,803,1478,0.7318181818181818,0.740909090909091,0.7606060606060606,0.4575757575757576,0.6954545454545454,0.45,0.6121212121212121,0.396969696969697,0.8696969696969697,0.403030303030303,0.8590909090909091,0.706060606060606,0.603030303030303,0.8272727272727273,0.8621212121212121,0.8742424242424243,0.543939393939394,0.8354838709677419,0.7666666666666667,0.7666666666666667
Roméo Lavia,Chelsea,eng Premier League,MF,797,0,0.3,0.3,1,0.7,0.23,0.0,3,31,7,91.7,7,0.4,13,16,38,10,62.5,295,493,0.17615176151761516,0.15718157181571815,0.15718157181571815,0.44986449864498645,0.31029810298102983,0.12601626016260162,0.06639566395663957,0.1043360433604336,0.22764227642276422,0.23170731707317074,0.959349593495935,0.2777777777777778,0.20596205962059622,0.38482384823848237,0.6151761517615176,0.46070460704607047,0.15853658536585366,0.8567335243553008,0.15989159891598917,0.13279132791327913
Diogo Leite,Union Berlin,de Bundesliga,DF,2546,1,1.4,1.4,2,1.0,0.64,0.28,20,116,16,78.6,13,2.4,32,57,121,162,66.7,853,1803,0.42727272727272725,0.4909090909090909,0.5,0.656060606060606,0.4106060606060606,0.346969696969697,0.5287878787878788,0.49393939393939396,0.8363636363636363,0.28484848484848485,0.5515151515151515,0.5166666666666667,0.696969696969697,0.9196969696969697,0.990909090909091,0.9848484848484849,0.9666666666666667,0.8661290322580645,0.8151515151515152,0.8696969696969697
Maxim Leitsch,Mainz 05,de Bundesliga,DF,674,1,1.2,1.2,0,0.2,0.8,0.13,4,25,5,78.1,2,0.2,4,10,22,42,0.0,173,473,0.42727272727272725,0.43636363636363634,0.44545454545454544,0.1712121212121212,0.1409090909090909,0.4636363636363636,0.31363636363636366,0.14545454545454545,0.20303030303030303,0.1712121212121212,0.5303030303030303,0.09848484848484848,0.08636363636363636,0.1409090909090909,0.44393939393939397,0.29545454545454547,0.6,0.01129032258064516,0.03333333333333333,0.12121212121212122
Mario Lemina,Wolves,eng Premier League,"MF,DF",1364,1,1.4,1.4,3,1.1,1.19,0.33,8,48,21,80.4,10,1.2,31,27,78,50,62.5,382,809,0.44579945799457993,0.497289972899729,0.4986449864498645,0.7439024390243902,0.4146341463414634,0.5840108401084011,0.5663956639566395,0.2018970189701897,0.37262872628726285,0.34552845528455284,0.4959349593495935,0.38482384823848237,0.47560975609756095,0.7913279132791328,0.8306233062330624,0.7953929539295393,0.6829268292682927,0.8567335243553008,0.2682926829268293,0.32791327913279134
Bernd Leno,Fulham,eng Premier League,GK,3420,0,0.0,0.0,1,0.1,0.0,0.0,0,0,0,81.8,2,0.1,2,0,2,11,,955,1479,0.17615176151761516,0.044715447154471545,0.044715447154471545,0.44986449864498645,0.0989159891598916,0.03929539295392954,0.06639566395663957,0.03929539295392954,0.017615176151761516,0.04607046070460705,0.5623306233062331,0.10569105691056911,0.08265582655826559,0.07588075880758807,0.036585365853658534,0.06233062330623306,0.1910569105691057,,0.8224932249322493,0.7317073170731707
Jefferson Lerma,Crystal Palace,eng Premier League,"MF,DF",2274,0,1.1,1.1,1,1.6,1.03,0.32,13,97,26,75.3,10,1.7,17,42,77,80,53.8,649,1406,0.17615176151761516,0.41192411924119243,0.4146341463414634,0.44986449864498645,0.5609756097560976,0.532520325203252,0.55420054200542,0.2859078590785908,0.7222222222222222,0.3712737127371274,0.28319783197831977,0.38482384823848237,0.6111111111111112,0.4823848238482385,0.9525745257452575,0.7859078590785907,0.8428184281842819,0.7779369627507163,0.5528455284552846,0.7059620596205962
Jamie Leweling,Stuttgart,de Bundesliga,"MF,FW",1663,2,1.6,1.6,2,3.8,1.57,0.87,55,51,164,70.5,25,3.3,6,11,27,17,50.0,540,801,0.6060606060606061,0.5484848484848485,0.5575757575757576,0.656060606060606,0.8651515151515151,0.703030303030303,0.8560606060606061,0.8878787878787879,0.4712121212121212,0.9348484848484848,0.24242424242424243,0.7833333333333333,0.7984848484848485,0.1893939393939394,0.47424242424242424,0.36363636363636365,0.30606060606060603,0.6370967741935484,0.55,0.3712121212121212
Rico Lewis,Manchester City,eng Premier League,"DF,MF",1893,1,1.4,1.4,2,0.3,0.48,0.1,39,107,78,91.5,7,1.0,19,13,43,45,42.9,865,1477,0.44579945799457993,0.497289972899729,0.4986449864498645,0.6273712737127372,0.17750677506775067,0.28319783197831977,0.25338753387533874,0.6639566395663956,0.7669376693766937,0.6233062330623306,0.9525745257452575,0.2777777777777778,0.4132791327913279,0.5365853658536586,0.5365853658536586,0.5271002710027101,0.6449864498644986,0.4469914040114613,0.7615176151761518,0.7289972899728997
Keane Lewis-Potter,Brentford,eng Premier League,"DF,FW",3093,1,3.1,3.1,3,3.2,0.81,0.41,98,98,156,77.1,26,4.9,27,21,70,76,40.6,868,1613,0.44579945799457993,0.7100271002710027,0.7249322493224932,0.7439024390243902,0.7818428184281843,0.46747967479674796,0.6287262872628726,0.9227642276422764,0.7317073170731707,0.8699186991869918,0.36449864498644985,0.7466124661246613,0.924119241192412,0.7276422764227642,0.7154471544715447,0.7479674796747967,0.8211382113821138,0.3839541547277937,0.7696476964769647,0.7750677506775068
Myles Lewis-Skelly,Arsenal,eng Premier League,DF,1369,1,0.2,0.2,0,0.4,0.2,0.07,37,71,37,91.2,8,0.5,14,7,29,27,42.9,526,905,0.44579945799457993,0.12737127371273713,0.12737127371273713,0.17344173441734417,0.21002710027100271,0.11517615176151762,0.1951219512195122,0.6422764227642277,0.6002710027100271,0.45257452574525747,0.94579945799458,0.3075880758807588,0.23712737127371275,0.4146341463414634,0.3224932249322493,0.35501355013550134,0.47289972899729,0.4469914040114613,0.41192411924119243,0.4037940379403794
Philipp Lienhart,Freiburg,de Bundesliga,DF,2770,1,0.5,0.5,0,0.8,0.26,0.03,44,138,9,86.2,6,1.0,13,36,58,124,40.0,1444,2520,0.42727272727272725,0.2196969696969697,0.22727272727272727,0.1712121212121212,0.34545454545454546,0.14242424242424243,0.15,0.8090909090909091,0.9075757575757576,0.22121212121212122,0.8272727272727273,0.2515151515151515,0.33636363636363636,0.453030303030303,0.9196969696969697,0.7303030303030303,0.9212121212121213,0.3338709677419355,0.9818181818181818,0.9848484848484849
Matthijs de Ligt,Manchester Utd,eng Premier League,DF,2123,2,2.5,2.5,0,0.3,0.76,0.38,7,55,6,89.9,6,0.3,22,33,63,96,50.0,1078,1608,0.6029810298102981,0.6626016260162602,0.6747967479674797,0.17344173441734417,0.17750677506775067,0.43766937669376693,0.6124661246612466,0.18157181571815717,0.45663956639566394,0.21002710027100271,0.907859078590786,0.24932249322493225,0.17344173441734417,0.6273712737127372,0.8983739837398373,0.6802168021680217,0.8807588075880759,0.6848137535816619,0.8699186991869918,0.7723577235772358
Victor Lindelöf,Manchester Utd,eng Premier League,DF,704,0,0.0,0.0,0,0.1,0.0,0.0,5,26,4,93.8,3,0.1,2,8,15,36,,263,452,0.17615176151761516,0.044715447154471545,0.044715447154471545,0.17344173441734417,0.0989159891598916,0.03929539295392954,0.06639566395663957,0.13685636856368563,0.1856368563685637,0.17886178861788618,0.994579945799458,0.15040650406504066,0.08265582655826559,0.07588075880758807,0.3617886178861789,0.15311653116531165,0.5704607046070461,,0.12059620596205962,0.1111111111111111
Jesper Lindstrøm,Everton,eng Premier League,FW,1239,0,2.1,2.1,1,2.0,2.03,0.73,30,25,81,69.4,19,2.0,25,12,57,17,18.6,302,625,0.17615176151761516,0.6233062330623306,0.6260162601626016,0.44986449864498645,0.6327913279132791,0.8102981029810298,0.7940379403794038,0.5718157181571816,0.17886178861788618,0.6585365853658537,0.1043360433604336,0.6287262872628726,0.6747967479674797,0.6924119241192412,0.502710027100271,0.6260162601626016,0.3170731707317073,0.045845272206303724,0.17208672086720866,0.21951219512195122
Valentino Livramento,Newcastle Utd,eng Premier League,DF,2840,0,0.3,0.3,1,2.6,0.19,0.06,83,158,119,85.4,25,2.7,36,23,77,108,44.6,1023,1964,0.17615176151761516,0.15718157181571815,0.15718157181571815,0.44986449864498645,0.7113821138211383,0.10975609756097561,0.17750677506775067,0.8875338753387534,0.9322493224932249,0.7926829268292683,0.7195121951219512,0.7303523035230353,0.7696476964769647,0.8550135501355014,0.7588075880758808,0.7859078590785907,0.8943089430894309,0.49570200573065903,0.8468834688346883,0.8834688346883469
Sean Longstaff,Newcastle Utd,eng Premier League,MF,798,0,0.6,0.6,0,0.2,0.68,0.11,4,40,22,84.5,4,0.2,16,7,34,8,28.6,248,434,0.17615176151761516,0.26558265582655827,0.2682926829268293,0.17344173441734417,0.14363143631436315,0.4024390243902439,0.2777777777777778,0.12195121951219512,0.31842818428184283,0.3509485094850949,0.6910569105691057,0.18834688346883469,0.12737127371273713,0.46612466124661245,0.3224932249322493,0.4173441734417344,0.11246612466124661,0.11318051575931232,0.1111111111111111,0.1002710027100271
Anthony Losilla,Bochum,de Bundesliga,MF,1137,0,0.1,0.1,0,0.4,0.4,0.0,3,45,11,76.6,7,0.7,16,18,48,27,20.0,223,547,0.16515151515151516,0.10151515151515152,0.10454545454545454,0.1712121212121212,0.22121212121212122,0.20454545454545456,0.07272727272727272,0.11969696969696969,0.40454545454545454,0.23787878787878788,0.4666666666666667,0.29545454545454547,0.25757575757575757,0.5424242424242425,0.6742424242424242,0.6257575757575757,0.4590909090909091,0.043548387096774194,0.10909090909090909,0.18484848484848485
Castello Lukeba,RB Leipzig,de Bundesliga,DF,1577,0,0.4,0.4,0,0.2,0.23,0.06,18,80,23,85.1,4,0.5,17,17,48,74,62.5,806,1445,0.16515151515151516,0.19393939393939394,0.2,0.1712121212121212,0.1409090909090909,0.1303030303030303,0.18484848484848485,0.44393939393939397,0.6848484848484848,0.3333333333333333,0.793939393939394,0.18636363636363637,0.18636363636363637,0.5818181818181818,0.6484848484848484,0.6257575757575757,0.796969696969697,0.8274193548387097,0.7696969696969697,0.7484848484848485
Saša Lukić,Fulham,eng Premier League,MF,2344,0,1.2,1.2,2,2.7,0.69,0.08,39,98,33,87.3,26,1.4,39,28,96,35,47.1,825,1493,0.17615176151761516,0.44173441734417346,0.4444444444444444,0.6273712737127372,0.7235772357723578,0.4132791327913279,0.21680216802168023,0.6639566395663956,0.7317073170731707,0.42276422764227645,0.7994579945799458,0.7466124661246613,0.5420054200542005,0.8902439024390244,0.8482384823848238,0.8888888888888888,0.5555555555555556,0.6045845272206304,0.7289972899728997,0.7371273712737128
