Player,Squad,Comp,Pos,Min,Gls,xG,npxG,Ast,xAG,Sh/90,SoT/90,PrgC,PrgP,PrgR,Cmp%,KP,xA,TklW,Int,Tkl+Int,Clr,Succ%,Carries,Touches
Matt Doherty,Wolves,eng Premier League,DF,2109,2,1.0,1.0,1,1.5,0.43,0.13,29,79,41,82.8,12,1.2,21,22,60,102,52.4,825,1534
Jeremy Doku,Manchester City,eng Premier League,"FW,MF",1516,3,1.3,1.3,6,4.8,1.72,0.53,213,69,286,79.1,32,3.8,22,4,35,2,53.2,796,1027
Nicolás Domínguez,Nott'ham Forest,eng Premier League,"MF,FW",1963,0,1.5,1.5,1,1.3,0.96,0.41,16,83,33,86.7,13,1.6,45,29,115,54,33.3,471,1218
Patrick Dorgu,Manchester Utd,eng Premier League,DF,842,0,0.4,0.4,0,0.7,1.07,0.21,41,34,83,81.0,12,1.3,24,4,35,23,23.1,354,602
Niklas Dorsch,Heidenheim,de Bundesliga,MF,1335,2,1.0,1.0,2,1.1,0.61,0.2,13,57,21,83.4,13,2.0,16,17,44,17,50.0,459,798
Abdoulaye Doucouré,Everton,eng Premier League,MF,2564,3,4.1,4.1,2,2.4,1.09,0.32,42,82,96,80.3,28,1.4,28,10,58,20,53.3,604,1161
Flynn Downes,Southampton,eng Premier League,MF,2151,1,0.6,0.6,0,1.1,0.42,0.13,29,66,29,90.4,15,1.4,25,32,81,51,40.0,641,1339
Radu Drăgușin,Tottenham,eng Premier League,DF,1252,0,0.1,0.1,0,0.4,0.36,0.07,7,37,2,85.2,4,0.2,6,15,25,49,0.0,623,961
Patrick Drewes,Bochum,de Bundesliga,GK,1890,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,65.7,0,0.0,0,0,0,11,,479,913
Martin Dúbravka,Newcastle Utd,eng Premier League,GK,900,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,79.6,0,0.0,0,0,0,3,,202,350
Marvin Ducksch,Werder Bremen,de Bundesliga,FW,2418,8,10.1,8.5,8,8.5,2.61,1.0,26,86,166,61.7,61,9.1,7,8,18,26,36.8,538,1105
Lewis Dunk,Brighton,eng Premier League,DF,2083,0,0.8,0.8,0,0.5,0.52,0.13,20,142,3,91.0,6,1.0,10,13,30,79,0.0,1341,2127
Jáder Durán,Aston Villa,eng Premier League,FW,638,7,4.9,4.9,0,0.2,4.37,2.12,7,13,44,70.6,4,0.3,7,0,8,13,21.4,133,263
Ederson,Manchester City,eng Premier League,GK,2320,0,0.0,0.0,4,1.5,0.0,0.0,0,2,0,87.9,4,0.2,0,1,1,11,,654,975
Johannes Eggestein,St. Pauli,de Bundesliga,FW,1853,3,4.7,3.1,4,2.1,1.65,0.49,25,43,138,73.9,24,1.3,3,0,5,8,41.2,384,713
Maximilian Eggestein,Freiburg,de Bundesliga,MF,2845,2,2.0,2.0,0,1.5,1.14,0.32,34,141,41,83.5,19,2.5,32,39,96,54,45.8,813,1757
Hugo Ekitike,Eint Frankfurt,de Bundesliga,FW,2563,15,21.6,19.3,8,6.8,4.0,1.55,93,53,215,75.5,44,5.4,12,7,23,24,43.7,633,1054
Anthony Elanga,Nott'ham Forest,eng Premier League,"FW,MF",2501,6,4.5,4.5,11,5.7,1.58,0.86,102,63,229,65.3,50,5.1,14,6,25,25,30.1,600,1115
Nico Elvedi,Gladbach,de Bundesliga,DF,2135,1,2.0,2.0,1,0.4,0.51,0.13,20,55,5,92.0,5,0.3,23,30,68,163,,953,1827
Julio Enciso,Ipswich Town,eng Premier League,"MF,FW",869,2,1.7,1.7,3,1.4,3.31,1.14,23,28,44,69.0,13,1.1,9,1,13,6,45.5,205,406
Christian Eriksen,Manchester Utd,eng Premier League,MF,1061,1,1.4,0.6,2,3.2,1.19,0.08,13,55,29,78.8,31,2.6,9,7,26,8,0.0,473,850
Patrick Erras,Holstein Kiel,de Bundesliga,DF,832,1,0.9,0.9,0,0.1,0.87,0.11,3,25,1,92.0,3,0.2,5,9,17,64,,282,622
Samuel Essende,Augsburg,de Bundesliga,FW,1636,7,4.2,4.2,2,1.3,2.42,0.72,33,21,118,64.8,11,1.4,6,0,7,11,26.9,347,564
Pervis Estupiñán,Brighton,eng Premier League,DF,2402,1,1.2,1.2,1,2.1,1.05,0.34,59,132,112,83.1,26,2.5,43,37,102,65,55.9,1023,1915
Evanilson,Bournemouth,eng Premier League,FW,2319,10,12.5,11.7,1,1.9,2.79,1.2,29,28,99,71.3,26,1.8,10,1,17,21,33.3,333,558
Eberechi Eze,Crystal Palace,eng Premier League,"MF,FW",2588,8,10.5,8.9,8,6.2,3.48,0.94,69,97,153,74.2,58,4.7,22,11,50,10,48.6,840,1414
Łukasz Fabiański,West Ham,eng Premier League,GK,1160,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,67.1,0,0.0,0,0,0,5,100.0,285,530
Wout Faes,Leicester City,eng Premier League,DF,2815,1,1.5,1.5,0,0.1,0.38,0.03,12,86,1,88.0,4,0.4,26,26,68,185,83.3,1107,1906
Bruno Fernandes,Manchester Utd,eng Premier League,MF,3018,8,9.9,7.6,10,8.5,2.77,0.78,77,325,129,76.1,91,8.0,50,26,110,35,41.8,1542,2649
Mateus Fernandes,Southampton,eng Premier League,MF,2909,2,4.0,4.0,4,3.0,1.3,0.43,76,145,108,79.9,34,3.6,48,28,117,35,45.0,897,1760
Enzo Fernández,Chelsea,eng Premier League,MF,2947,6,6.1,6.1,7,6.8,1.62,0.61,60,212,126,79.9,77,6.2,33,13,78,23,47.3,1211,2210
Kilian Fischer,Wolfsburg,de Bundesliga,DF,2297,1,0.3,0.3,0,0.5,0.24,0.04,51,110,89,78.6,12,1.0,44,19,83,98,43.5,704,1529
Mark Flekken,Brentford,eng Premier League,GK,3275,0,0.0,0.0,2,0.5,0.0,0.0,0,0,0,73.0,3,0.1,4,0,4,26,100.0,1122,1824
Phil Foden,Manchester City,eng Premier League,"MF,FW",1777,7,5.2,5.2,2,4.8,2.73,0.81,50,103,128,84.1,43,5.3,5,9,22,7,32.6,722,1139
Wesley Fofana,Chelsea,eng Premier League,DF,1172,0,0.4,0.4,0,0.4,0.23,0.0,19,32,4,90.2,6,0.2,12,14,27,55,53.3,557,933
Jonas Föhrenbach,Heidenheim,de Bundesliga,DF,1832,0,0.3,0.3,1,1.3,0.39,0.05,36,59,50,72.5,14,2.1,24,16,61,57,41.2,521,1112
Fraser Forster,Tottenham,eng Premier League,GK,630,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,84.8,0,0.0,0,0,0,7,100.0,113,228
Marco Friedl,Werder Bremen,de Bundesliga,DF,2161,0,0.5,0.5,0,0.2,0.17,0.12,4,69,1,90.2,3,0.4,42,34,96,130,75.0,1069,1769
Marvin Friedrich,Gladbach,de Bundesliga,DF,989,0,0.4,0.4,1,0.6,0.64,0.18,11,36,3,88.4,3,0.5,9,5,20,57,100.0,502,822
Jeremie Frimpong,Leverkusen,de Bundesliga,"DF,MF",2314,5,4.1,4.1,5,4.2,1.32,0.62,100,55,272,76.1,30,4.7,25,8,41,22,32.1,673,1205
Chris Führich,Stuttgart,de Bundesliga,"MF,FW",1981,2,2.9,2.9,3,3.7,1.64,0.55,114,95,202,80.5,32,6.0,10,6,21,19,47.1,782,1220
Niclas Füllkrug,West Ham,eng Premier League,FW,790,3,2.2,2.2,2,1.9,1.82,0.8,7,14,31,67.2,14,0.4,3,1,5,16,12.5,123,277
Cody Gakpo,Liverpool,eng Premier League,FW,1935,10,7.1,7.1,4,4.4,2.65,1.02,59,52,278,75.7,38,3.8,16,12,40,19,50.8,605,888
Idrissa Gana Gueye,Everton,eng Premier League,MF,3063,0,1.1,1.1,3,1.7,0.79,0.15,27,145,27,86.5,19,2.0,80,48,181,36,46.2,861,1801
Aleix García,Leverkusen,de Bundesliga,MF,1455,3,1.0,1.0,4,4.9,0.93,0.31,27,120,47,87.2,32,3.8,7,11,24,24,80.0,787,1503
Alejandro Garnacho,Manchester Utd,eng Premier League,"MF,FW",2199,6,7.3,7.3,2,4.5,3.44,1.19,141,56,290,78.9,37,2.8,18,13,43,11,29.2,840,1159
James Garner,Everton,eng Premier League,"MF,DF",1594,0,0.7,0.7,1,1.4,0.68,0.23,15,50,30,76.1,13,1.4,31,23,70,37,36.8,478,977
Lutsharel Geertruida,RB Leipzig,de Bundesliga,DF,1557,1,1.1,1.1,0,1.0,0.46,0.06,21,93,34,86.7,10,1.6,24,16,51,59,50.0,642,1266
Dennis Geiger,Hoffenheim,de Bundesliga,"MF,FW",734,0,0.2,0.2,0,0.5,0.61,0.12,12,37,21,87.3,11,0.7,11,7,31,6,50.0,259,441
Valentin Gendrey,Hoffenheim,de Bundesliga,DF,1414,1,1.1,1.1,1,1.8,0.64,0.32,24,49,86,69.9,16,2.7,12,15,45,53,27.3,363,874
Yannick Gerhardt,Wolfsburg,de Bundesliga,"MF,DF",1518,1,1.2,1.2,1,0.2,0.89,0.24,27,57,63,76.9,4,1.1,16,17,45,47,12.5,438,854
Max Geschwill,Holstein Kiel,de Bundesliga,DF,1282,1,0.9,0.9,2,0.8,0.63,0.14,6,58,16,74.3,10,0.9,21,30,56,53,40.0,379,827
Dimitris Giannoulis,Augsburg,de Bundesliga,DF,2650,1,1.1,1.1,4,4.2,0.44,0.14,60,104,164,74.7,42,5.4,32,47,94,75,35.4,845,1802
Morgan Gibbs-White,Nott'ham Forest,eng Premier League,MF,2803,7,6.3,6.3,8,5.0,1.96,0.67,69,164,137,78.3,51,4.7,22,23,66,29,40.3,923,1627
Armin Gigovic,Holstein Kiel,de Bundesliga,MF,1895,5,1.9,1.9,1,2.1,1.23,0.47,37,50,45,77.7,16,1.7,13,21,46,33,36.4,476,935
Benedikt Gimber,Heidenheim,de Bundesliga,DF,2671,0,0.7,0.7,0,0.3,0.47,0.03,7,46,8,82.5,3,0.5,46,31,103,131,50.0,865,1643
Matthias Ginter,Freiburg,de Bundesliga,DF,2561,2,2.8,2.8,1,0.7,0.84,0.14,11,113,16,82.6,9,1.5,17,19,49,146,66.7,991,1816
Jamie Gittens,Dortmund,de Bundesliga,"FW,MF",1776,8,3.6,3.6,3,2.5,2.64,1.22,113,42,180,76.5,21,4.1,19,10,41,4,45.0,627,873
Serge Gnabry,Bayern Munich,de Bundesliga,"FW,MF",1242,7,7.5,6.8,5,5.1,3.48,1.23,44,48,149,83.4,24,4.3,11,6,26,9,45.0,468,758
João Gomes,Wolves,eng Premier League,MF,2974,3,2.9,2.9,1,1.2,1.06,0.21,59,165,76,85.0,23,1.9,71,25,141,33,46.2,1059,1998
Rodrigo Gomes,Wolves,eng Premier League,"DF,FW",810,2,0.7,0.7,0,0.9,0.78,0.33,23,27,81,68.6,12,0.7,15,7,30,20,33.3,217,417
Toti Gomes,Wolves,eng Premier League,DF,2614,0,0.7,0.7,1,0.9,0.24,0.07,27,86,18,85.9,9,0.6,43,25,86,152,62.5,1205,2027
Nicolás González,Manchester City,eng Premier League,MF,760,1,0.5,0.5,0,0.1,1.07,0.24,9,50,11,92.0,1,0.5,6,8,24,21,16.7,425,713
Anthony Gordon,Newcastle Utd,eng Premier League,"FW,MF",2434,6,8.0,6.5,5,5.0,2.11,0.59,121,98,214,73.3,51,5.1,18,7,39,9,36.9,818,1267
Leon Goretzka,Bayern Munich,de Bundesliga,"MF,DF",1325,4,2.8,2.8,1,1.7,2.17,0.75,35,127,28,89.9,12,2.4,11,20,41,25,87.5,794,1373
Mario Götze,Eint Frankfurt,de Bundesliga,"MF,FW",1542,3,2.9,2.9,2,3.1,0.47,0.29,29,88,96,77.5,34,1.9,28,7,48,8,39.1,617,986
Jeffrey Gouweleeuw,Augsburg,de Bundesliga,DF,2944,1,1.7,0.9,4,2.2,0.52,0.12,24,142,19,82.6,14,3.0,28,35,85,183,58.3,1169,2061
Kamil Grabara,Wolfsburg,de Bundesliga,GK,2585,0,0.0,0.0,0,0.0,0.0,0.0,0,2,0,69.4,2,0.1,0,0,0,16,100.0,708,1224
Ryan Gravenberch,Liverpool,eng Premier League,MF,3160,0,1.1,1.1,4,3.1,0.57,0.14,70,181,55,89.2,26,3.5,35,60,129,59,45.7,1396,2343
Archie Gray,Tottenham,eng Premier League,"DF,MF",1751,0,0.0,0.0,0,0.1,0.05,0.05,7,40,17,87.4,3,0.2,8,19,35,50,53.8,878,1286
Jack Grealish,Manchester City,eng Premier League,"FW,MF",721,1,1.1,1.1,1,1.8,1.87,0.62,69,52,118,87.6,24,1.7,5,2,11,6,44.8,376,521
Jacob Greaves,Ipswich Town,eng Premier League,DF,2205,1,1.3,1.3,0,0.3,0.41,0.16,11,69,11,85.8,5,0.2,21,21,61,148,66.7,619,1404
Michael Gregoritsch,Freiburg,de Bundesliga,FW,639,2,1.8,1.8,1,0.4,2.25,0.85,6,19,36,63.3,5,0.7,2,1,5,10,57.1,94,220
Vincenzo Grifo,Freiburg,de Bundesliga,"FW,MF",2432,8,7.9,5.6,11,6.9,2.33,0.96,58,128,147,76.7,66,8.0,22,9,39,23,55.6,939,1768
Florian Grillitsch,Hoffenheim,de Bundesliga,MF,601,0,0.2,0.2,0,0.2,0.9,0.15,4,44,4,86.6,5,0.8,9,8,23,18,41.7,270,488
Álex Grimaldo,Leverkusen,de Bundesliga,DF,2636,2,2.5,2.5,7,8.1,1.5,0.44,86,160,252,81.2,73,8.6,14,16,40,43,40.0,1310,2365
Pascal Groß,Dortmund,de Bundesliga,"MF,DF",2327,0,2.4,2.4,9,5.1,1.04,0.27,41,178,122,80.7,57,6.4,28,9,53,30,33.3,1149,2178
Brajan Gruda,Brighton,eng Premier League,"MF,FW",687,1,1.2,1.2,4,2.1,1.44,0.66,22,26,57,74.5,23,1.9,8,2,18,5,43.3,202,344
Marco Grüll,Werder Bremen,de Bundesliga,"FW,MF",1181,6,4.0,4.0,1,1.8,1.91,0.76,24,38,93,76.8,11,1.5,9,3,15,10,33.3,317,495
Gonçalo Guedes,Wolves,eng Premier League,"MF,FW",995,2,3.2,3.2,4,1.3,2.44,0.72,41,40,79,74.2,14,0.9,5,5,21,4,32.1,304,484
Marc Guéhi,Crystal Palace,eng Premier League,DF,3059,3,2.0,2.0,2,1.8,0.44,0.21,22,134,10,83.5,16,2.0,34,28,89,163,80.0,1142,2131
Raphaël Guerreiro,Bayern Munich,de Bundesliga,"DF,MF",1572,4,2.9,2.9,4,2.9,1.2,0.63,39,85,126,88.7,27,4.7,12,10,29,19,50.0,820,1487
Morgan Guilavogui,St. Pauli,de Bundesliga,"FW,MF",1807,6,7.1,7.1,2,1.9,2.04,0.75,42,41,135,65.9,27,2.4,17,13,45,33,43.8,384,832
Bruno Guimarães,Newcastle Utd,eng Premier League,MF,3271,5,4.3,4.3,6,6.1,1.24,0.36,64,271,96,82.4,52,5.4,47,29,112,44,43.6,1400,2213
Serhou Guirassy,Dortmund,de Bundesliga,FW,2598,21,22.7,19.6,4,3.9,2.98,1.14,25,43,128,72.7,25,3.1,6,4,11,38,28.2,528,965
Péter Gulácsi,RB Leipzig,de Bundesliga,GK,2631,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,82.1,0,0.0,1,0,1,16,,518,994
İlkay Gündoğan,Manchester City,eng Premier League,MF,2223,1,3.2,3.2,6,3.5,1.09,0.28,64,127,96,89.5,44,4.4,13,13,38,23,41.5,1118,1892
Christian Günter,Freiburg,de Bundesliga,DF,2314,2,0.8,0.6,2,2.5,0.82,0.23,19,52,109,74.5,28,4.2,21,8,31,50,33.3,559,1304
Malo Gusto,Chelsea,eng Premier League,DF,1862,0,1.7,1.7,1,1.4,1.06,0.19,50,119,85,86.5,22,1.9,29,24,69,49,25.0,882,1595
Joško Gvardiol,Manchester City,eng Premier League,DF,3277,5,4.6,4.3,0,2.1,1.1,0.33,91,264,121,90.2,26,2.9,39,44,102,122,58.1,1997,3103
Erling Haaland,Manchester City,eng Premier League,FW,2736,22,22.0,18.8,3,3.0,3.42,1.81,24,20,124,66.9,29,2.0,6,5,16,23,36.1,310,639
Janik Haberer,Union Berlin,de Bundesliga,"MF,DF",1696,0,0.7,0.7,0,0.8,0.8,0.16,13,59,22,77.0,7,1.9,29,17,56,37,33.3,444,911
Robin Hack,Gladbach,de Bundesliga,"FW,MF",2172,4,5.4,5.4,7,3.6,2.44,0.99,51,95,141,76.2,32,3.8,17,9,31,28,39.7,684,1186
Amadou Haidara,RB Leipzig,de Bundesliga,MF,1320,0,1.4,1.4,1,0.9,1.23,0.07,7,65,24,80.2,5,1.2,17,18,48,56,58.3,505,1100
Lewis Hall,Newcastle Utd,eng Premier League,DF,2189,0,0.4,0.4,4,4.3,0.45,0.04,41,123,80,81.7,34,3.7,41,18,76,75,52.4,950,1820
Andreas Hanche-Olsen,Mainz 05,de Bundesliga,DF,1284,1,0.8,0.8,1,0.3,0.84,0.14,2,34,5,82.6,3,0.6,13,12,33,85,100.0,394,812
Phil Harres,Holstein Kiel,de Bundesliga,FW,1544,8,5.9,5.9,1,1.3,2.16,0.99,12,16,71,56.6,10,1.1,10,5,15,20,20.8,240,481
Jack Harrison,Everton,eng Premier League,FW,2076,1,3.5,3.5,0,3.7,1.26,0.3,73,51,127,62.8,33,3.1,22,10,42,35,32.0,524,948
Taylor Harwood-Bellis,Southampton,eng Premier League,DF,2825,1,1.8,1.8,0,1.0,0.64,0.25,29,125,9,87.4,14,0.7,20,30,58,141,100.0,1433,2475
Kai Havertz,Arsenal,eng Premier League,"FW,MF",1875,9,9.5,9.5,3,2.4,2.54,1.01,35,61,113,78.4,17,1.7,9,6,22,33,23.7,418,785
Jan Paul van Hecke,Brighton,eng Premier League,DF,2958,1,1.3,1.3,1,1.5,0.52,0.15,55,228,5,88.2,15,1.4,29,24,69,142,45.5,1715,2589
Hwang Hee-chan,Wolves,eng Premier League,"MF,FW",661,2,0.8,0.8,0,0.1,0.68,0.41,15,12,42,81.4,3,0.3,4,2,8,11,14.3,159,271
Dean Henderson,Crystal Palace,eng Premier League,GK,3420,0,0.0,0.0,0,0.2,0.03,0.0,0,0,0,61.3,3,0.1,1,0,2,22,,751,1308
Ramon Hendriks,Stuttgart,de Bundesliga,DF,1154,0,0.6,0.6,1,1.0,0.39,0.08,8,36,22,83.7,6,1.5,9,19,39,63,55.6,418,839
Benjamin Henrichs,RB Leipzig,de Bundesliga,DF,935,0,0.5,0.4,2,1.4,1.06,0.1,9,29,55,75.6,11,2.0,16,15,47,33,69.2,290,606
Mads Hermansen,Leicester City,eng Premier League,GK,2385,0,0.0,0.0,0,0.0,0.0,0.0,0,1,0,61.0,0,0.0,1,0,1,13,100.0,734,1147
Son Heung-min,Tottenham,eng Premier League,FW,2110,7,7.2,5.7,9,8.2,2.35,1.02,96,111,265,78.9,50,5.1,9,5,22,17,34.9,761,1134
Piero Hincapié,Leverkusen,de Bundesliga,DF,2670,2,2.9,2.9,2,3.2,0.74,0.1,52,152,72,87.9,16,3.5,40,32,84,114,29.4,1366,2456
Jack Hinshelwood,Brighton,eng Premier League,"MF,DF",1842,5,2.7,2.7,2,1.5,0.88,0.49,19,68,54,83.2,17,1.5,19,16,43,37,18.2,590,1199
George Hirst,Ipswich Town,eng Premier League,FW,661,3,2.1,2.1,1,0.3,1.91,0.95,9,13,31,56.6,4,0.3,3,2,5,10,33.3,101,188
Adam Hložek,Hoffenheim,de Bundesliga,"FW,MF",1871,8,5.6,5.6,4,3.5,2.84,1.15,54,68,102,68.5,20,3.2,10,4,26,20,51.6,429,761
Nicolas Höfler,Freiburg,de Bundesliga,MF,794,0,0.2,0.2,0,0.1,0.45,0.0,1,30,3,86.4,3,0.4,23,14,47,28,100.0,199,482
Philipp Hofmann,Bochum,de Bundesliga,FW,2277,3,5.5,5.5,3,3.3,2.13,0.75,8,53,112,63.5,26,2.6,12,4,21,33,50.0,486,938
Lucas Höler,Freiburg,de Bundesliga,"FW,MF",1867,6,7.7,6.9,4,2.9,1.64,0.82,21,47,122,65.5,22,1.7,24,7,44,36,52.9,395,854
Benedict Hollerbach,Union Berlin,de Bundesliga,"FW,MF",2540,9,7.0,7.0,1,1.6,2.69,0.85,103,68,214,65.4,26,2.3,22,2,45,13,36.5,710,1112
Lewis Holtby,Holstein Kiel,de Bundesliga,MF,1238,0,0.5,0.5,1,1.5,0.51,0.0,14,47,34,76.5,21,1.8,20,21,55,26,46.7,372,847
Gerrit Holtmann,Bochum,de Bundesliga,"DF,FW",1136,2,2.0,2.0,1,2.9,2.46,0.63,50,33,97,65.7,20,2.8,19,16,40,15,30.0,336,571
Franck Honorat,Gladbach,de Bundesliga,FW,1439,4,4.5,4.5,7,5.3,1.94,0.56,63,45,124,67.5,50,4.9,7,5,22,28,37.5,373,762
Mathias Honsak,Heidenheim,de Bundesliga,"FW,DF",1181,5,3.3,3.3,1,1.6,2.21,0.76,37,29,58,70.1,14,1.9,8,10,25,31,39.1,338,646
Timo Horn,Bochum,de Bundesliga,GK,1170,0,0.0,0.0,0,0.0,0.0,0.0,0,1,0,56.9,1,0.1,0,0,0,9,,285,535
Lukáš Hrádecký,Leverkusen,de Bundesliga,GK,2610,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,75.3,0,0.0,0,0,0,8,,538,962
Callum Hudson-Odoi,Nott'ham Forest,eng Premier League,"FW,MF",2194,5,2.5,2.5,2,2.7,1.52,0.7,130,71,189,82.0,44,2.6,14,13,35,12,58.7,641,1035
Will Hughes,Crystal Palace,eng Premier League,MF,2108,0,1.1,1.1,3,3.1,0.94,0.04,20,87,27,76.0,33,2.6,36,22,88,28,31.3,532,1203
Dean Huijsen,Bournemouth,eng Premier League,DF,2427,3,1.9,1.9,2,2.0,0.67,0.11,41,132,10,83.4,15,1.6,26,51,87,198,40.0,1118,2021
Omari Hutchinson,Ipswich Town,eng Premier League,"MF,FW",2583,3,2.9,2.9,2,3.5,1.57,0.63,97,75,159,78.0,31,2.5,13,11,43,15,37.2,779,1259
Oscar Højlund,Eint Frankfurt,de Bundesliga,MF,722,1,1.0,1.0,0,1.1,0.75,0.25,17,49,9,88.0,6,0.3,12,5,26,11,72.7,291,497
Rasmus Højlund,Manchester Utd,eng Premier League,FW,2004,4,5.3,5.3,0,1.8,1.44,0.58,28,18,101,74.7,16,1.1,1,2,5,6,27.3,308,515
Igor,Brighton,eng Premier League,DF,961,0,0.0,0.0,0,0.2,0.09,0.0,9,49,1,91.9,2,0.3,5,4,9,39,83.3,530,816
Andrej Ilic,Union Berlin,de Bundesliga,FW,937,7,4.9,4.1,0,0.3,2.59,1.06,5,13,59,57.6,6,0.2,2,5,7,6,14.3,151,302
Jackson Irvine,St. Pauli,de Bundesliga,MF,2610,0,3.2,3.0,6,3.9,1.41,0.41,19,117,58,70.6,32,2.5,28,36,92,63,39.1,464,1286
Alexander Isak,Newcastle Utd,eng Premier League,FW,2756,23,20.3,17.2,6,4.3,3.1,1.34,83,88,217,75.3,41,3.6,5,3,15,17,46.2,615,1025
Ko Itakura,Gladbach,de Bundesliga,DF,2790,3,1.6,1.6,0,0.8,0.68,0.23,23,69,5,89.0,7,1.5,29,28,68,171,52.2,1326,2170
Marko Ivezić,Holstein Kiel,de Bundesliga,DF,1657,0,0.6,0.6,0,0.2,0.38,0.0,3,40,9,86.0,4,0.3,19,27,56,103,57.1,596,1176
Alex Iwobi,Fulham,eng Premier League,"FW,MF",2981,9,4.7,4.7,6,7.0,2.05,0.88,144,213,246,75.1,59,7.0,25,14,58,29,49.5,1312,1861
Nicolas Jackson,Chelsea,eng Premier League,FW,2220,10,12.3,12.3,5,4.3,3.08,1.38,47,38,129,75.9,28,1.9,13,3,25,15,29.5,417,687
Lee Jae-sung,Mainz 05,de Bundesliga,MF,2650,7,5.3,5.3,6,5.0,1.36,0.51,28,105,165,77.5,34,4.7,21,35,77,38,36.7,699,1385
Kristijan Jakić,Augsburg,de Bundesliga,MF,2306,0,0.8,0.8,1,1.2,0.7,0.16,24,106,49,82.9,16,1.8,23,28,74,50,48.3,703,1361
Reece James,Chelsea,eng Premier League,"DF,MF",1063,1,0.4,0.4,1,0.7,0.93,0.25,7,64,12,84.0,11,1.2,9,13,23,23,41.2,486,952
Vitaly Janelt,Brentford,eng Premier League,MF,2254,1,0.8,0.8,3,2.2,0.56,0.16,17,80,38,82.5,14,2.4,22,27,65,53,25.0,651,1289
Finn Jeltsch,Stuttgart,de Bundesliga,DF,780,0,0.1,0.1,0,0.1,0.23,0.0,8,31,5,91.1,2,0.3,13,13,31,27,66.7,476,727
Fredrik Jensen,Augsburg,de Bundesliga,MF,763,0,0.7,0.7,0,0.7,1.3,0.0,16,20,58,69.5,11,0.6,7,4,11,17,53.8,190,318
Mathias Jensen,Brentford,eng Premier League,MF,862,0,0.2,0.2,2,1.7,0.63,0.1,6,61,27,74.7,16,1.7,10,8,22,13,52.9,300,573
Moritz Jenz,Mainz 05,de Bundesliga,DF,1600,0,1.6,1.6,0,0.3,0.56,0.23,1,47,3,84.3,3,0.4,20,30,66,128,40.0,510,1098
Gabriel Jesus,Arsenal,eng Premier League,FW,608,3,3.0,3.0,0,0.7,2.96,1.04,15,19,57,76.8,8,0.5,6,4,14,8,40.9,179,299
Raúl Jiménez,Fulham,eng Premier League,FW,2494,12,12.0,9.6,3,3.3,3.36,1.08,35,62,125,71.2,24,2.1,24,10,45,23,42.0,549,999
João Pedro,Brighton,eng Premier League,"FW,MF",1948,10,8.9,5.0,6,5.0,1.94,0.69,66,78,128,72.9,30,3.1,12,9,25,12,33.7,616,940
Joelinton,Newcastle Utd,eng Premier League,"MF,FW",2393,4,3.9,3.9,3,2.5,1.69,0.49,40,116,110,82.7,23,2.3,35,23,80,47,32.6,729,1360
Ben Johnson,Ipswich Town,eng Premier League,"DF,FW",1354,1,1.1,1.1,2,1.3,0.47,0.2,16,27,33,71.6,12,0.9,22,13,51,54,33.3,259,626
Brennan Johnson,Tottenham,eng Premier League,FW,2177,11,10.4,10.4,3,2.3,2.23,0.83,60,71,197,70.4,19,2.0,26,4,43,14,43.2,544,853
Sam Johnstone,Wolves,eng Premier League,GK,630,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,66.2,1,0.0,0,0,0,7,,196,306
Curtis Jones,Liverpool,eng Premier League,"MF,DF",1712,3,4.3,4.3,3,1.1,1.79,0.68,30,117,79,93.1,22,1.6,22,7,46,10,54.5,789,1288
Jorginho,Arsenal,eng Premier League,MF,704,0,0.1,0.1,0,0.4,0.26,0.0,12,48,6,86.7,3,0.6,4,7,19,2,25.0,302,522
Diogo Jota,Liverpool,eng Premier League,FW,1196,6,7.9,7.9,3,1.8,3.84,0.98,37,34,88,69.7,11,1.1,8,8,22,6,33.3,263,485
Anthony Jung,Werder Bremen,de Bundesliga,DF,1898,0,0.0,0.0,0,0.1,0.05,0.0,20,121,6,89.6,2,0.5,22,25,59,77,77.8,1044,1695
Josip Juranović,Union Berlin,de Bundesliga,"DF,MF",1159,0,0.3,0.3,1,1.8,0.47,0.16,19,52,45,64.5,27,2.7,13,7,28,42,45.8,307,709
David Jurásek,Hoffenheim,de Bundesliga,DF,619,0,0.1,0.1,1,0.9,0.73,0.29,17,22,42,69.9,7,0.9,3,6,12,17,25.0,238,499
James Justin,Leicester City,eng Premier League,DF,2912,2,1.5,1.5,2,0.8,0.77,0.19,39,91,96,78.2,14,0.8,37,46,104,141,30.0,866,1948
Pavel Kadeřábek,Hoffenheim,de Bundesliga,DF,1576,2,0.8,0.8,0,2.0,0.8,0.17,15,47,86,70.1,21,1.7,14,20,45,54,62.5,456,1016
Daichi Kamada,Crystal Palace,eng Premier League,MF,1564,0,1.1,1.1,0,1.9,1.15,0.23,25,89,56,80.2,20,1.6,29,18,65,14,36.8,485,937
