player,moving_from,moving_to,fee,date,register_country
Emmanuel Agbadou,Wolverhampton Wanderers,Beşiktaş,Undisclosed,6 February 2026,England
Jhon Arias,Wolverhampton Wanderers,Palmeiras,Undisclosed,7 February 2026,England
Onel Hernández,Unattached,Port Vale,Free,9 February 2026,England
Unattached,Port Vale,Free,,Grant Ward,England
Matt Phillips,Unattached,Stevenage,Free,13 February 2026,England
Zain Silcott-Duberry,Unattached,Sheffield Wednesday,Free,26 February 2026,England
Trent Koné-Doherty,Liverpool,Molde,Free,27 February 2026,England
Norwich City,Toronto FC,£15.5m,,Josh Sargent,England
Angus MacDonald,Unattached,Barrow,Free,5 March 2026,England
Kaiyne Woolery,Unattached,Tranmere Rovers,Free,20 March 2026,England
Ryan Watson,Unattached,Tranmere Rovers,Free,26 March 2026,England
Nathan Redmond,Unattached,Blackburn Rovers,Free,27 March 2026,England
Vito Mannone,Unattached,Crawley Town,Free,10 June 2026,England
Dipo Akinyemi,Derry City,York City,Undisclosed,15 June 2026,England
Ajax,Ipswich Town,Undisclosed,,Chuba Akpom,England
Yverdon-Sport,Blackburn Rovers,Undisclosed,,Moussa Baradji,England
Walsall,Wigan Athletic,Undisclosed,,Connor Barrett,England
Burton Albion,Bradford City,Undisclosed,,Jake Beesley,England
LASK,Aston Villa,£4m,,Modou Kéba Cissé,England
Olympiacos,Brighton & Hove Albion,£11m,,Costinha,England
Barrow,Shrewsbury Town,Undisclosed,,Isaac Fletcher,England
Barnet,Stockport County,Undisclosed,,Ryan Glover,England
Reims,Newcastle United,£18.5m,,Ewen Jaouen,England
Reims,Ipswich Town,Undisclosed,,Cédric Kipré,England
Mallorca,Southampton,Undisclosed,,Cyle Larin,England
Norwich City,Southampton,Undisclosed,,George Long,England
Benfica,Burnley,£20.8m,,Florentino Luís,England
Notts County,Oldham Athletic,Undisclosed,,Ollie Norburn,England
Boston United,York City,Undisclosed,,Frankie Maguire,England
Bayern Munich,Southampton,Undisclosed,,Daniel Peretz,England
Bradford City,Wigan Athletic,Undisclosed,,Max Power,England
Brighton & Hove Albion,Middlesbrough,Undisclosed,,Jeremy Sarmiento,England
Red Bull Salzburg,Brentford,£12m,,Jannik Schuster,England
Barnet,Cambridge United,Undisclosed,,Callum Stead,England
Copenhagen,Cardiff City,£1.5m,,Nathan Trott,England
Kilmarnock,Bolton Wanderers,Undisclosed,,David Watson,England
AIK,Brighton & Hove Albion,£21.5m,,Zadok Yohanna,England
Jenson Metcalfe,Bradford City,Millwall,Undisclosed,16 June 2026,England
Edon Pruti,Sutton United,Grimsby Town,Undisclosed,17 June 2026,England
Falkirk,West Bromwich Albion,Undisclosed,,Barney Stewart,England
Harrison Jones,Sunderland,Peterborough United,Undisclosed,18 June 2026,England
Barrow,Cheltenham Town,Undisclosed,,Charlie McCann,England
Chelsea,West Bromwich Albion,£4m,,Jimmy-Jay Morgan,England
Osasuna,Liverpool,£34.5m,,Víctor Muñoz,England
Hemel Hempstead Town,Barnet,Undisclosed,,Isiah Noel-Williams,England
Brighton & Hove Albion,Tottenham Hotspur,£52m,,Jan Paul van Hecke,England
Jack Maskell,Darlington,Barnet,Undisclosed,19 June 2026,England
Barnsley,Bradford City,Undisclosed,,Adam Phillips,England
Swansea City,Sheffield Wednesday,Undisclosed,,Ricardo Santos,England
Barnsley,Port Vale,Undisclosed,,Jackson Smith,England
Sam Field,Queens Park Rangers,Norwich City,Undisclosed,20 June 2026,England
NAC Breda,Queens Park Rangers,Undisclosed,,Boy Kemper,England
Deportivo La Guaira,West Ham United,Undisclosed,,Keiber Lamadrid,England
Bobby Clark,Red Bull Salzburg,Derby County,£6m,22 June 2026,England
Sutton United,Chesterfield,Undisclosed,,Junior Eccleston,England
Yahya Bamba,Forest Green Rovers,Newport County,Undisclosed,23 June 2026,England
Colchester United,Reading,Undisclosed,,Kyreece Lisbie,England
Southport,Accrington Stanley,Undisclosed,,Tom Moore,England
Chelmsford City,West Ham United,Free,,Jett Murphy,England
Port Vale,Cheltenham Town,Undisclosed,,Jordan Shipley,England
FC St. Pauli,Leyton Orient,Undisclosed,,Fin Stevens,England
Armando Dobra,Chesterfield,Leyton Orient,Undisclosed,24 June 2026,England
Oxford United,West Bromwich Albion,Undisclosed,,Matt Ingram,England
Collin Andeng Ndi,Southend United,Peterborough United,Undisclosed,25 June 2026,England
Sheffield United,Norwich City,Undisclosed,,Andre Brooks,England
Pogoń Szczecin,Bristol City,Undisclosed,,Sam Greenwood,England
Bayer Leverkusen,Arsenal,£34.5m,,Piero Hincapié,England
Wigan Athletic,Bristol City,Undisclosed,,Sam Tickle,England
Zak Johnson,Sunderland,York City,Undisclosed,26 June 2026,England
Newport County,Bristol Rovers,Undisclosed,,Bobby Kamwa,England
Leyton Orient,Wigan Athletic,Undisclosed,,Sonny Perkins,England
Volendam,Bristol City,Undisclosed,,Gibson Yah,England
Jonah Kusi-Asare,Bayern Munich,Fulham,Undisclosed,27 June 2026,England
La Louvière,Sheffield Wednesday,Undisclosed,,Jordi Liongola,England
Stoke City,Notts County,Undisclosed,,Darius Lipsiuc,England
St Johnstone,Walsall,Undisclosed,,Sven Sprangler,England
Rasmus Højlund,Manchester United,Napoli,£38m,29 June 2026,England
Aston Villa,Roma,£21.6m,,Donyell Malen,England
Ipswich Town,Sassuolo,Undisclosed,,Arijanet Muric,England
Brentford,Coventry City,Undisclosed,,Frank Onyeka,England
Bradford City,Burton Albion,Undisclosed,,Curtis Tilt,England
Sinclair Armstrong,Bristol City,Göztepe,Undisclosed,30 June 2026,England
Brentford,Huddersfield Town,Undisclosed,,Ethan Brierley,England
Hull City,Rangers,£6m,,Ivor Pandur,England
Burton Albion,Reading,Undisclosed,,Udoka Godwin-Malife,England
Heracles,Charlton Athletic,Undisclosed,,Ivan Mesík,England
Tamworth,Accrington Stanley,Undisclosed,,Stefan Mols,England
Hull City,Panathinaikos,£2.5m,,Aidon Shehu,England
Leeds United,Brighton & Hove Albion,£20m,,Pascal Struijk,England
Will Aimson,Wigan Athletic,Salford City,Free,1 July 2026,England
Exeter City,Bristol Rovers,Free,,Jack Aitchison,England
Brighton & Hove Albion,Gillingham,Free,,Zane Albarus,England
Barrow,Accrington Stanley,Free,,Joe Anderson,England
Exeter City,Fleetwood Town,Free,,Danny Andrew,England
Gillingham,Grimsby Town,Free,,Josh Andrews,England
Tottenham Hotspur,Crawley Town,Free,,Pele Arganese-McDermott,England
Stevenage,Barnet,Free,,Taye Ashby-Hammond,England
Ipswich Town,Doncaster Rovers,Free,,Leon Ayinde,England
Stockport County,Portsmouth,Free,,Odin Bailey,England
Stoke City,Bursaspor,Free,,Lewis Baker,England
Motherwell,Bristol Rovers,Free,,Kofi Balmer,England
Aston Villa,Benfica,£10.4m,,Enzo Barrenechea,England
Shrewsbury Town,Newport County,Free,,Harrison Biggins,England
Cambridge United,Gillingham,Free,,James Brophy,England
Bradford City,Doncaster Rovers,Free,,Neill Byrne,England
Dunfermline Athletic,Wigan Athletic,Undisclosed,,Jeremiah Chilokoa-Mullen,England
Port Vale,Swindon Town,Free,,Mitch Clark,England
Stockport County,Bradford City,Free,,Callum Connolly,England
Crewe Alexandra,Walsall,Free,,James Connolly,England
Walsall,Barnet,Free,,Brandon Comley,England
Bradford City,Grimsby Town,Free,,Andy Cook,England
Tottenham Hotspur,Port Vale,Free,,Matthew Craig,England
Chelsea,Real Madrid,£47.5m,,Marc Cucurella,England
Barnsley,Walsall,Free,,Andrew Dallas,England
Rangers,Bolton Wanderers,Free,,Ben Davies,England
Tranmere Rovers,Shrewsbury Town,Free,,Josh Davison,England
Bolton Wanderers,Port Vale,Free,,Kyle Dempsey,England
Forest Green Rovers,Newport County,Free,,Christian Doidge,England
Chesterfield,Northampton Town,Free,,Janoi Donacien,England
Portsmouth,D.C. United,Free,,Andre Dozzell,England
Burnley,Tottenham Hotspur,Free,,Martin Dúbravka,England
Harrogate Town,Crawley Town,Free,,Stephen Duke-McKenna,England
Morecambe,Exeter City,Free,,Gwion Edwards,England
Colchester United,Peterborough United,Free,,Owura Edwards,England
Derby County,Lincoln City,Free,,Callum Elder,England
Leicester City,VfB Stuttgart,Undisclosed,,Bilal El Khannouss,England
Strasbourg,Chelsea,£22m,,Emmanuel Emegha,England
Hull City,Bolton Wanderers,Undisclosed,,Akin Famewo,England
Crystal Palace,Barnet,Free,,Craig Farquhar,England
Walsall,Crawley Town,Free,,Priestley Farquharson,England
Blackpool,Huddersfield Town,Free,,Ashley Fletcher,England
Southend United,Oldham Athletic,Free,,Keenan Forson,England
Kidderminster Harriers,Grimsby Town,Free,,Joe Foulkes,England
Swansea City,Stoke City,£10m,,Ethan Galbraith,England
Cambridge United,Notts County,Free,,James Gibbons,England
Doncaster Rovers,Crewe Alexandra,Free,,Jordan Gibson,England
Charlton Athletic,Bradford City,Undisclosed,,Macaulay Gillesphey,England
Stevenage,Milton Keynes Dons,Free,,Charlie Goode,England
Oxford United,Gillingham,Free,,Will Goodwin,England
Newcastle United,Barcelona,£69.3m,,Anthony Gordon,England
Walsall,Exeter City,Free,,Josh Gordon,England
Rochdale,Stockport County,Free,,Kyron Gordon,England
Motherwell,Gillingham,Free,,Liam Gordon,England
Millwall,Plymouth Argyle,Free,,Wes Harding,England
Burton Albion,Plymouth Argyle,Free,,Alex Hartridge,England
Plymouth Argyle,Wycombe Wanderers,Free,,Conor Hazard,England
Everton,Cambridge United,Free,,Isaac Heath,England
West Ham United,Sparta Prague,Free,,Krisztián Hegyi,England
Arsenal,Werder Bremen,Free,,Karl Hein,England
Chesterfield,Harrogate Town,Free,,Bailey Hobson,England
Blackpool,Doncaster Rovers,Free,,James Husband,England
Sheffield Wednesday,Stoke City,Undisclosed,,Svante Ingelsson,England
Rennes,Liverpool,£55m,,Jérémy Jacquet,England
Leyton Orient,Bristol Rovers,Free,,Tom James,England
Fulham,Wolverhampton Wanderers,Free,,Raúl Jiménez,England
Bolton Wanderers,Luton Town,Free,,George Johnston,England
Cheltenham Town,Shrewsbury Town,Free,,Arkell Jude-Boyd,England
Sheffield Wednesday,Wisła Płock,Undisclosed,,Olaf Kobacki,England
Liverpool,Real Madrid,Free,,Ibrahima Konaté,England
Dundee,Charlton Athletic,Undisclosed,,Billy Koumetio,England
Bradford City,Bristol Rovers,Free,,Ciarán Kelly,England
Heart of Midlothian,Oxford United,Free,,Frankie Kent,England
Bromley,Salford City,Free,,Sam Long,England
Exeter City,Stevenage,Free,,Josh Magennis,England
Doncaster Rovers,Northampton Town,Free,,James Maxwell,England
Newcastle United,York City,Free,,Charlie McArthur,England
Dundee,Bradford City,Free,,Jon McCracken,England
Grimsby Town,Chesterfield,Free,,George McEachran,England
Northampton Town,Barnsley,Free,,Cameron McGeehan,England
Barnsley,Mansfield Town,Free,,David McGoldrick,England
Fleetwood Town,York City,Free,,Zech Medley,England
Burton Albion,Port Vale,Free,,Jasper Moon,England
Oxford United,Swindon Town,Free,,Stephan Negru,England
Sunderland,Rangers,Free,,Dan Neil,England
Luton Town,AFC Wimbledon,Free,,Zack Nelson,England
Gillingham,Oldham Athletic,Free,,Elliott Nevitt,England
Huddersfield Town,Preston North End,Undisclosed,,Lee Nicholls,England
Exeter City,Blackpool,Free,,Ilmari Niskanen,England
Tranmere Rovers,Newport County,Free,,Cameron Norman,England
Wycombe Wanderers,Salford City,Free,,Will Norris,England
Barnsley,Stockport County,Free,,Eoghan O'Connell,England
Everton,Doncaster Rovers,Free,,Francis Okoronkwo,England
Atalanta,Chelsea,£43m,,Marco Palestra,England
Birmingham City,Shrewsbury Town,Free,,Byron Pendleton,England
Rotherham United,Salford City,Free,,Joe Powell,England
Cambridge United,Bristol Rovers,Free,,Ben Purrington,England
Rotherham United,Colchester United,Free,,Sean Raggett,England
Colchester United,York City,Free,,Arthur Read,England
Scunthorpe United,Notts County,Free,,Callum Roberts,England
Liverpool,Tottenham Hotspur,Free,,Andy Robertson,England
Chelsea,Ipswich Town,Undisclosed,,Frankie Runham,England
Sunderland,Karpaty Lviv,"£600,000",,Nazariy Rusyn,England
Crewe Alexandra,Notts County,Free,,Max Sanders,England
Fulham,Stevenage,Free,,Olly Sanderson,England
Blackpool,Newport County,Free,,Dan Sassi,England
Tranmere Rovers,Northampton Town,Free,,Harvey Saunders,England
Bristol Rovers,Tranmere Rovers,Free,,Joel Senior,England
Wigan Athletic,AFC Wimbledon,Free,,Steven Sessegnon,England
Tranmere Rovers,Bristol Rovers,Free,,Richard Smallwood,England
Bournemouth,Tottenham Hotspur,Free,,Marcos Senesi,England
Barnet,York City,Free,,Mark Shelton,England
Manchester City,Real Madrid,Free,,Bernardo Silva,England
Sutton United,Walsall,Free,,Lewis Simper,England
Brighton & Hove Albion,Tranmere Rovers,Free,,Jacob Slater,England
Motherwell,Sheffield Wednesday,Free,,Callum Slattery,England
Girona,Birmingham City,Undisclosed,,Jhon Solís,England
Braga,Stoke City,Undisclosed,,Djibril Soumaré,England
Norwich City,Leyton Orient,Free,,Tony Springett,England
Exeter City,Cheltenham Town,Free,,Pierce Sweeney,England
Wolverhampton Wanderers,Plymouth Argyle,Free,,James Storer,England
Stevenage,AFC Wimbledon,Free,,Dan Sweeney,England
Burton Albion,Rotherham United,Free,,Fábio Tavares,England
Charlton Athletic,Stevenage,Free,,Terry Taylor,England
Swansea City,Fleetwood Town,Free,,Josh Thomas,England
Milton Keynes Dons,Cheltenham Town,Free,,Joe Tomlinson,England
Newcastle United,Wolverhampton Wanderers,Free,,Kieran Trippier,England
Tottenham Hotspur,Bahia,Undisclosed,,Alejo Véliz,England
Fleetwood Town,Swindon Town,Free,,Matty Virtue,England
Sirius,Swansea City,Undisclosed,,Leo Walta,England
Walsall,Peterborough United,Free,,Evan Weir,England
Stevenage,Plymouth Argyle,Free,,Harvey White,England
Crewe Alexandra,Barnet,Free,,Zac Williams,England
Red Bull Salzburg,Swansea City,Undisclosed,,Moussa Yeo,England
Jacob Brown,Luton Town,Reading,Free,2 July 2026,England
Rangers,Hull City,Undisclosed,,Jack Butland,England
West Ham United,Tottenham Hotspur,£85m,,Mateus Fernandes,England
Dundee,Stoke City,Undisclosed,,Luke Graham,England
Middlesbrough,Everton,£16m,,Hayden Hackney,England
Peterborough United,Rochdale,Undisclosed,,Cian Hayes,England
Oldham Athletic,Colchester United,Free,,Jake Leake,England
Peterborough United,Salford City,Undisclosed,,Abraham Odoh,England
Brackley Town,Shrewsbury Town,Free,,Jack Price,England
Leyton Orient,Chesterfield,Free,,Jack Simpson,England
Manchester City,Barnsley,Undisclosed,,Isaac Smith,England
Liverpool,Bolton Wanderers,Undisclosed,,Luca Stephenson,England
Venezia,Brighton & Hove Albion,£4.3m,,Michael Svoboda,England
Aston Villa,Sheffield Wednesday,Undisclosed,,Sil Swinkels,England
Milton Keynes Dons,Fleetwood Town,Undisclosed,,Kane Thompson-Sommers,England
Chelsea,Brentford,Undisclosed,,Joseph Wheeler-Henry,England
Nathan Aké,Manchester City,Fenerbahçe,£7m,3 July 2026,England
Bromley,Crawley Town,Free,,Jude Arthurs,England
AFC Wimbledon,Cambridge United,Free,,Patrick Bauer,England
Watford,Leyton Orient,Undisclosed,,Nathan Baxter,England
Luton Town,Milton Keynes Dons,Free,,Cohen Bramall,England
Excelsior,Huddersfield Town,Free,,Ilias Bronkhorst,England
Leicester City,Bradford City,Undisclosed,,Henry Cartwright,England
Queens Park Rangers,Wycombe Wanderers,Free,,Steve Cook,England
Middlesbrough,Birmingham City,Free,,Dael Fry,England
West Bromwich Albion,Wigan Athletic,Undisclosed,,Akeel Higgins,England
Millwall,Salford City,Undisclosed,,Macaulay Langstaff,England
Charlton Athletic,Gillingham,Free,,Lennon MacLorg,England
Oxford United,Middlesbrough,Free,,Myles Peart-Harris,England
West Bromwich Albion,Bristol City,Free,,Jed Wallace,England
Azeem Abdulai,Leyton Orient,Hibernian,Undisclosed,4 July 2026,England
Middlesbrough,Milton Keynes Dons,Free,,Daniel Barlaser,England
Notts County,Burton Albion,Undisclosed,,Matthew Dennis,England
Hull City,Luton Town,Undisclosed,,Kasey Palmer,England
Lincoln City,Kilmarnock,Undisclosed,,Erik Ring,England
Manchester City,1. FC Köln,Undisclosed,,Jahmai Simpson-Pusey,England
FC Halifax Town,Shrewsbury Town,Free,,Jay Turner-Cooke,England
Christy Grogan,Stockport County,Derry City,Undisclosed,5 July 2026,England
Sunderland,Rennes,£22m,,Eliezer Mayenda,England
Chelsea,Horsens,Free,,Jimi Tauriainen,England
TSG Hoffenheim,Newcastle United,£42m,,Bazoumana Touré,England
Giorgi Chakvetadze,Watford,Udinese,Undisclosed,6 July 2026,England
Chelsea,Everton,£18m,,Tyrique George,England
Wolverhampton Wanderers,Chesterfield,Undisclosed,,Alfie Pond,England
SC Freiburg,Everton,£17.3m,,Merlin Röhl,England
KV Mechelen,Millwall,Undisclosed,,Mathis Servais,England
Newcastle United,Tottenham Hotspur,£92.5m,,Sandro Tonali,England
Jaidon Anthony,Burnley,Brentford,£15m,7 July 2026,England
Tottenham Hotspur,Preston North End,Undisclosed,,Alfie Devine,England
Dundee,Colchester United,Free,,Paul Digby,England
Dundalk,Portsmouth,Undisclosed,,Eoin Kenny,England
Burton Albion,Helsingborgs,Undisclosed,,Julian Larsson,England
Milton Keynes Dons,Rotherham United,Free,,Aaron Nemane,England
Emile Acquah,Dundee,Notts County,Undisclosed,8 July 2026,England
Ross County,Oldham Athletic,Undisclosed,,Noah Chilvers,England
Toulouse,Ipswich Town,Undisclosed,,Emersonn,England
Northampton Town,Aberdeen,Free,,Nesta Guinness-Walker,England
Nottingham Forest,San Jose Earthquakes,Free,,Angus Gunn,England
South Shields,Rochdale,Undisclosed,,Will Jenkins,England
Sporting CP,Chelsea,£40m,,Geovany Quenda,England
Fulham,Leeds United,Free,,Harry Wilson,England
Barry Bannan,Millwall,Sheffield Wednesday,Undisclosed,9 July 2026,England
Bristol Rovers,Bromley,Undisclosed,,Kamil Conteh,England
Milton Keynes Dons,Rochdale,Free,,Laurence Maguire,England
Leeds United,Arsenal,Free,,Illan Meslier,England
Celta Vigo,Crystal Palace,Free,,Óscar Mingueza,England
Hapoel Jerusalem,Chesterfield,Free,,Ruel Sotiriou,England
Ajax,Newcastle United,£23m,,Sean Steur,England
Salford City,Accrington Stanley,Free,,Cole Stockton,England
Bristol City,Millwall,Free,,Mark Sykes,England
Motherwell,Queens Park Rangers,Undisclosed,,Calum Ward,England
West Ham United,Brentford,Free,,Callum Wilson,England
Ossama Ashley,Salford City,Rotherham United,Free,10 July 2026,England
Sheffield Wednesday,Manchester City,Undisclosed,,Pierce Charles,England
Maccabi Haifa,Bristol City,Undisclosed,,Lisav Eissat,England
Wycombe Wanderers,Bromley,Free,,Shamal George,England
Queens Park Rangers,Leyton Orient,Free,,Isaac Hayden,England
Harrogate Town,Bromley,Undisclosed,,Chanse Headman,England
Walsall,Rotherham United,Free,,Jamie Jellis,England
Hull City,Middlesbrough,Undisclosed,,Kyle Joseph,England
Peterborough United,Bromley,Free,,Jacob Mendy,England
Oxford United,Jagiellonia Białystok,Undisclosed,,Nik Prelec,England
Bristol Rovers,Walsall,Undisclosed,,Jed Ward,England
Luton Town,Wycombe Wanderers,Undisclosed,,Cauley Woodrow,England
Bradley Collins,Coventry City,Bristol City,Free,11 July 2026,England
Bristol Rovers,Melbourne Victory,Free,,Tom Lockyer,England
Bristol City,Sheffield Wednesday,Free,,Joe Lumley,England
Leicester City,Manchester City,£10m,,Jeremy Monga,England
Standard Liège,Wolverhampton Wanderers,Undisclosed,,Rafiki Saïd,England
Burnley,Coventry City,Undisclosed,,Loum Tchaouna,England
Wealdstone,Bromley,Undisclosed,,Deon Woodman,England
Lluc Castell,Espanyol,Burnley,Undisclosed,12 July 2026,England
Victor Adeboyejo,Mansfield Town,Bromley,Free,13 July 2026,England
Burton Albion,Emmen,Undisclosed,,Jack Cooper-Love,England
Swindon Town,Oldham Athletic,Free,,Ryan Delaney,England
Chelsea,Manchester United,£48m,,Andrey Santos,England
Fredrikstad,Portsmouth,Undisclosed,,Rocco Robert Shein,England
Preston North End,Mansfield Town,Free,,Michael Smith,England
Cardiff City,Milton Keynes Dons,Free,,Ryan Wintle,England
Elliot Bonds,Fleetwood Town,Salford City,Undisclosed,14 July 2026,England
Wrexham,Fleetwood Town,Free,,Andy Cannon,England
Queens Park Rangers,Plymouth Argyle,Undisclosed,,Murphy Cooper,England
Leeds United,Manchester United,Free,,Karl Darlow,England
Telstar,Barnsley,Undisclosed,,Tyrese Noslin,England
Elche,Bournemouth,£25.7m,,Álvaro Rodríguez,England
West Bromwich Albion,St Mirren,Undisclosed,,Eseosa Sule,England
Southampton,Derby County,Free,,Charlie Taylor,England
Aston Villa,Manchester United,£35m,,Youri Tielemans,England
Wycombe Wanderers,AFC Wimbledon,Undisclosed,,James Tilley,England
Tottenham Hotspur,Brighton & Hove Albion,£46m,,Luka Vušković,England
Elkan Baggott,Ipswich Town,Millwall,Undisclosed,15 July 2026,England
Aston Villa,Southampton,£9m,,Lewis Dobbin,England
Lille,Sunderland,Free,,Thomas Meunier,England
Leicester City,Barnsley,Undisclosed,,Amani Richards,England
Leicester City,Wycombe Wanderers,Free,,Silko Thomas,England
Arsenal,Beşiktaş,£15.3m,,Leandro Trossard,England
Leicester City,Cagliari,Undisclosed,,Harry Winks,England
Aurèle Amenda,Eintracht Frankfurt,Coventry City,£17m,16 July 2026,England
Ipswich Town,Leicester City,Free,,Conor Chaplin,England
Brighton & Hove Albion,Paris FC,Undisclosed,,Diego Coppola,England
Luton Town,Auxerre,Undisclosed,,Christ Makosso,England
Southampton,Leicester City,Free,,Alex McCarthy,England
Aston Villa,Vitória,Undisclosed,,Yeimar Mosquera,England
Sunderland,Le Havre,Undisclosed,,Timothée Pembélé,England
Leeds United,Young Boys,Undisclosed,,Isaac Schmidt,England
Udinese,Watford,Undisclosed,,Omar Haktab Traoré,England
Rochdale,Accrington Stanley,Free,,David Tutonda,England
Barnsley,Port Vale,Free,,Max Watters,England
Newcastle United,Crewe Alexandra,Free,,Joe White,England
Shelbourne,Stockport County,Undisclosed,,Harry Wood,England
Danny Anisjko,Nottingham Forest,Chesterfield,Free,17 July 2026,England
Newport County,Notts County,Undisclosed,,Matt Baker,England
Queens Park Rangers,Basel,Undisclosed,,Žan Celar,England
Burnley,RB Leipzig,£27.3m,,Maxime Estève,England
Manchester City,1. FC Köln,£8m,,Reigan Heskey,England
Wigan Athletic,York City,Free,,Jack Hunt,England
Gillingham,Chesterfield,Free,,Remeao Hutton,England
SC Freiburg,Aston Villa,£52m,,Johan Manzambi,England
Rotherham United,Cheltenham Town,Free,,Shaun McWilliams,England
Sassuolo,Leeds United,£34.1m,,Tarik Muharemović,England
Shrewsbury Town,Exeter City,Free,,Taylor Perry,England
Aston Villa,Inverness Caledonian Thistle,Free,,Kerr Smith,England
Buxton,Walsall,Undisclosed,,Tai Sodje,England
Birmingham City,Philadelphia Union,Undisclosed,,Kai Wagner,England
Gbemi Arubi,Dundalk,Burton Albion,Undisclosed,18 July 2026,England
Karlan Grant,West Bromwich Albion,Charlton Athletic,Free,19 July 2026,England
Millwall,Sheffield Wednesday,Free,,Billy Mitchell,England
Matt Doherty,Wolverhampton Wanderers,Sheffield United,Free,20 July 2026,England
Wolverhampton Wanderers,Aston Villa,£38m,,João Gomes,England
Bristol Rovers,Doncaster Rovers,Undisclosed,,Isaac Hutchinson,England
Tottenham Hotspur,Manchester United,£8m,,Tynan Thompson,England
Plymouth Argyle,Bristol City,Undisclosed,,Lorent Tolaj,England
Karoy Anderson,Charlton Athletic,Blackpool,Undisclosed,21 July 2026,England
Fleetwood Town,Tranmere Rovers,Free,,Jordan Davies,England
Leicester City,Ipswich Town,£20m,,Abdul Fatawu,England
Birmingham City,LA Galaxy,Undisclosed,,Kyōgo Furuhashi,England
Fiorentina,Queens Park Rangers,Free,,Tariq Lamptey,England
Unattached,Walsall,Free,,Ryan Leak,England
Stockport County,Leyton Orient,Undisclosed,,Joseph Olowu,England
Aston Villa,Chelsea,£117m,,Morgan Rogers,England
Excelsior,Huddersfield Town,Undisclosed,,Derensili Sanches Fernandes,England
Brentford,Wigan Athletic,Free,,Ryan Trevitt,England
Volendam,Ipswich Town,Undisclosed,,Kayne van Oevelen,England
Manchester City,Northampton Town,Undisclosed,,Matty Warhurst,England
Maribor,Hull City,Undisclosed,,Óscar Zambrano,England
Filip Bilbija,SC Paderborn,Derby County,Free,22 July 2026,England
Manchester United,Inter Miami,Free,,Casemiro,England
Watford,Aris Thessaloniki,Undisclosed,,Tom Dele-Bashiru,England
Fulham,Ipswich Town,Undisclosed,,Issa Diop,England
Motherwell,Swansea City,Undisclosed,,Elijah Just,England
Tottenham Hotspur,Middlesbrough,£10m,,Will Lankshear,England
Milton Keynes Dons,Northampton Town,Free,,Connor Lemonheigh-Evans,England
Elliot Anderson,Nottingham Forest,Manchester City,£116m,23 July 2026,England
Wigan Athletic,Chelsea,Undisclosed,,Harrison Bettoni,England
Casa Pia,Bolton Wanderers,Free,,Gaizka Larrazabal,England
Millwall,Charlton Athletic,Free,,Danny McNamara,England
Almería,Portsmouth,£3m,,Marko Milovanović,England
Charlton Athletic,Plymouth Argyle,Undisclosed,,Alex Mitchell,England
RB Leipzig,Nottingham Forest,Free,,Xaver Schlager,England
Newcastle United,Hull City,Free,,Matt Targett,England
Club Brugge,Arsenal,£34m,,Christos Tzolis,England
Aladji Bamba,Monaco,Newcastle United,£34m,24 July 2026,England
NAC Breda,Portsmouth,Undisclosed,,Daniel Bielica,England
Unattached,Crawley Town,Free,,Malcolm Ebiowei,England
Harrogate Town,Notts County,Undisclosed,,Jack Evans,England
Glacis United,Crawley Town,Free,,Klaudio Krasniqi,England
Wolverhampton Wanderers,Maccabi Haifa,Undisclosed,,Nigel Lonwijk,England
Sporting CP,Hull City,Free,,Hidemasa Morita,England
Rotherham United,Milton Keynes Dons,Undisclosed,,Sam Nombe,England
West Ham United,Al Hilal,£55m,,Crysencio Summerville,England
Ipswich Town,West Bromwich Albion,Free,,Conor Townsend,England
Harrogate Town,Rochdale,Free,,Sam Waller,England
Andrei Coubiș,Universitatea Cluj,Lincoln City,Undisclosed,25 July 2026,England
Crystal Palace,Crawley Town,Free,,Jackson Izquierdo,England
Celtic,Ipswich Town,£10m,,Daizen Maeda,England
Burton Albion,Stevenage,Undisclosed,,Terence Vancooten,England
Millenic Alli,Luton Town,Charlton Athletic,Undisclosed,26 July 2026,England
Leeds United,New England Revolution,Undisclosed,,Jack Harrison,England
Peterborough United,Millwall,Undisclosed,,Kyrell Lisbie,England
Fraser Bryden,Crusaders,Chesterfield,Undisclosed,27 July 2026,England
Charlton Athletic,Novi Pazar,Undisclosed,,Kaheim Dixon,England
Watford,Tranmere Rovers,Free,,Tom Ince,England
Burnley,Tranmere Rovers,Free,,Jack McEvilly,England
Lincoln City,Bromley,Undisclosed,,JJ McKiernan,England
Derby County,Stockport County,Free,,Ben Osborn,England
Aldershot Town,Tranmere Rovers,Free,,Olly Scott,England
VPS,Notts County,Undisclosed,,Luka Smyth,England
Jake Batty,Swindon Town,Fleetwood Town,Free,28 July 2026,England
Wellington Phoenix,Portsmouth,Undisclosed,,Luke Brooke-Smith,England
Bray Wanderers,Grimsby Town,Undisclosed,,Cian Doyle,England
Rodez,West Bromwich Albion,Undisclosed,,Nolan Galves,England
York City,Tranmere Rovers,Free,,Harrison Male,England
Preston North End,Fleetwood Town,Free,,Noah Mawene,England
Doncaster Rover,Salford City,Undisclosed,,Luke Molyneux,England
Huddersfield Town,Crawley Town,Free,,Omari Mrisho,England
Lille,Burnley,Undisclosed,,Ugo Raghouber,England
Union Saint-Gilloise,Ipswich Town,Undisclosed,,Kjell Scherpen,England
