player,moving_from,moving_to,fee,date,register_country
Noah Madsen,Maritimo,Holstein Kiel,fromMaritimo,Summer 2026,Germany
Guillermo Balzi,Newell's Old Boys,Holstein Kiel,"fromNewell's Old Boys, previously on loan atLevadiakos",Summer 2026,Germany
Giorgi Kvilitaia,Metz,Holstein Kiel,fromMetz,Summer 2026,Germany
Gyan de Regt,Excelsior,Holstein Kiel,fromExcelsior,Summer 2026,Germany
Moritz Reimers,Hamburger SV II,Holstein Kiel,fromHamburger SV II,Summer 2026,Germany
Taisei Abe,V-Varen Nagasaki,Holstein Kiel,"on loan fromV-Varen Nagasaki, previously on loan atLuzern",Summer 2026,Germany
Hiroki Sekine,Reims,Holstein Kiel,on loan fromReims,Summer 2026,Germany
Ben Schmit,Eintracht Trier,Holstein Kiel,fromEintracht Trier,Summer 2026,Germany
Marco Komenda,Holstein Kiel,Arka Gdynia,toArka Gdynia,Summer 2026,Germany
Umut Tohumcu,Holstein Kiel,TSG Hoffenheim,loan return toTSG Hoffenheim,Summer 2026,Germany
Aldin Jakupović,Holstein Kiel,Bravo,on loan toBravo,Summer 2026,Germany
Jonas Krumrey,Holstein Kiel,VfL Osnabrück,on loan toVfL Osnabrück,Summer 2026,Germany
Stefan Schwab,Holstein Kiel,SV Ried,toSV Ried,Summer 2026,Germany
Marcus Müller,Holstein Kiel,Wehen Wiesbaden,on loan toWehen Wiesbaden,Summer 2026,Germany
Niklas Niehoff,Holstein Kiel,SCR Altach,on loan toSCR Altach,Summer 2026,Germany
Tyler Doğan,Holstein Kiel,TSV Steinbach,toTSV Steinbach,Summer 2026,Germany
Mladen Cvjetinović,Holstein Kiel,1. FC Saarbrücken,"on loan to1. FC Saarbrücken, previously on loan atEnergie Cottbus",Summer 2026,Germany
Luca Prasse,Holstein Kiel,SV Meppen,"on loan toSV Meppen, previously on loan atFSV Zwickau",Summer 2026,Germany
Tymoteusz Puchacz,Holstein Kiel,Sabah,"toSabah, previously on loan",Summer 2026,Germany
Max Geschwill,Holstein Kiel,Rot-Weiss Essen,"toRot-Weiss Essen, previously on loan at1. FC Magdeburg",Summer 2026,Germany
Louis Köster,Holstein Kiel,Alemannia Aachen,"toAlemannia Aachen, previously on loan atVfL Bochum II",Summer 2026,Germany
Mael Corboz,Arminia Bielefeld,Grenoble,toGrenoble,Summer 2026,Germany
Semir Telalović,Arminia Bielefeld,1. FC Nürnberg,loan return to1. FC Nürnberg,Summer 2026,Germany
Justin Lukas,Arminia Bielefeld,FC Gütersloh,toFC Gütersloh,Summer 2026,Germany
Noah Sarenren Bazee,Arminia Bielefeld,Waldhof Mannheim,toWaldhof Mannheim,Summer 2026,Germany
Max Lippert,Arminia Bielefeld,1. FC Köln II,"to1. FC Köln II, previously on loan",Summer 2026,Germany
Mika Schroers,Arminia Bielefeld,Alemannia Aachen,"toAlemannia Aachen, previously on loan",Summer 2026,Germany
Julian Kania,Arminia Bielefeld,De Graafschap,"toDe Graafschap, previously on loan atVfL Osnabrück",Summer 2026,Germany
Anselmo García MacNulty,PEC Zwolle,1. FC Magdeburg,fromPEC Zwolle,Summer 2026,Germany
Paul Jaeckel,Preußen Münster,1. FC Magdeburg,fromPreußen Münster,Summer 2026,Germany
Emmanuel Iyoha,Fortuna Düsseldorf,1. FC Magdeburg,fromFortuna Düsseldorf,Summer 2026,Germany
Roko Šimić,Cardiff City,1. FC Magdeburg,"on loan fromCardiff City, previously on loan atKarlsruher SC",Summer 2026,Germany
Tony Reitz,Borussia Dortmund II,1. FC Magdeburg,fromBorussia Dortmund II,Summer 2026,Germany
Lee Chung-hyun,Bucheon,1. FC Magdeburg,on loan fromBucheon,Summer 2026,Germany
Kevin Manthey,Werder Bremen II,1. FC Magdeburg,fromWerder Bremen II,Summer 2026,Germany
Torben Müsel,Rot-Weiss Essen,1. FC Magdeburg,fromRot-Weiss Essen,Summer 2026,Germany
Yoon Do-young,Brighton & Hove Albion,1. FC Magdeburg,"on loan fromBrighton & Hove Albion, previously on loan atDordrecht",Summer 2026,Germany
Laurin Ulrich,1. FC Magdeburg,VfB Stuttgart,loan return toVfB Stuttgart,Summer 2026,Germany
Maximilian Breunig,1. FC Magdeburg,1. FC Heidenheim,loan return to1. FC Heidenheim,Summer 2026,Germany
Noah Pesch,1. FC Magdeburg,Borussia Mönchengladbach,loan return toBorussia Mönchengladbach,Summer 2026,Germany
Alexander Ahl Holmström,1. FC Magdeburg,OB,toOB,Summer 2026,Germany
Connor Krempicki,1. FC Magdeburg,Borussia Dortmund II,toBorussia Dortmund II,Summer 2026,Germany
Silas Gnaka,1. FC Magdeburg,ML Vitebsk,toML Vitebsk,Summer 2026,Germany
Aleksa Marušić,1. FC Magdeburg,Radnički 1923,toRadnički 1923,Summer 2026,Germany
Philipp Hercher,1. FC Magdeburg,Wehen Wiesbaden,toWehen Wiesbaden,Summer 2026,Germany
Max Geschwill,1. FC Magdeburg,Holstein Kiel,loan return toHolstein Kiel,Summer 2026,Germany
Robert Leipertz,1. FC Magdeburg,Greifswalder FC,toGreifswalder FC,Summer 2026,Germany
Yann Sturm,SC Freiburg II,Eintracht Braunschweig,"fromSC Freiburg II, previously on loan atFC Ingolstadt",Summer 2026,Germany
Maximilian Entrup,LASK,Eintracht Braunschweig,fromLASK,Summer 2026,Germany
Samuele Di Benedetto,VfB Stuttgart II,Eintracht Braunschweig,fromVfB Stuttgart II,Summer 2026,Germany
Arlet Junior Zé,Basel,Eintracht Braunschweig,"fromBasel, previously on loan atMidtjylland",Summer 2026,Germany
Tristan Wagner,Greifswalder FC,Eintracht Braunschweig,fromGreifswalder FC,Summer 2026,Germany
