player,team,league,position,age,minutes,goals,assists,xg,xag,npxg,shots_p90,shots_on_target_p90,prog_carries,prog_passes,prog_receptions,key_passes,xa,pass_completion_pct,tackles_won,interceptions,clearances,carries,touches
Omar Traoré,Heidenheim,Bundesliga,DF,26.0,2616,0,1,0.5,1.6,0.5,0.55,0.1,103,117,115,20,3.3,70.7,26,21,66,922,1712
Kevin Trapp,Eint Frankfurt,Bundesliga,GK,34.0,2295,0,0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0.0,73.2,0,0,13,642,1001
Philipp Treu,St. Pauli,Bundesliga,"MF,DF",23.0,2881,0,2,1.2,2.5,1.2,0.59,0.12,58,105,117,22,2.8,80.0,42,19,87,825,1867
Christopher Trimmel,Union Berlin,Bundesliga,"DF,MF",37.0,1740,0,3,0.2,2.1,0.2,0.47,0.16,18,73,45,35,3.2,60.5,25,18,92,365,979
Kieran Trippier,Newcastle Utd,Premier League,DF,33.0,1309,0,3,0.1,1.4,0.1,0.28,0.0,26,117,58,22,1.5,82.5,21,12,49,609,1388
Leandro Trossard,Arsenal,Premier League,FW,29.0,2546,8,7,7.2,6.1,7.2,2.55,0.74,80,101,226,41,4.1,74.5,20,9,18,828,1278
Kostas Tsimikas,Liverpool,Premier League,DF,28.0,837,0,1,0.4,2.1,0.4,0.43,0.22,17,76,43,16,2.3,84.1,20,11,20,368,741
Axel Tuanzebe,Ipswich Town,Premier League,DF,26.0,1710,0,1,0.2,0.3,0.2,0.21,0.0,10,61,15,5,0.3,83.8,19,23,56,402,971
Tuta,Eint Frankfurt,Bundesliga,"DF,MF",25.0,2274,2,1,1.1,0.3,1.1,0.51,0.2,11,78,12,4,0.7,87.7,27,40,135,1007,1772
Destiny Udogie,Tottenham,Premier League,DF,21.0,1924,0,1,0.3,1.5,0.3,0.23,0.05,54,121,94,16,1.2,87.2,47,22,36,758,1376
Manuel Ugarte Ribeiro,Manchester Utd,Premier League,MF,23.0,1785,1,2,1.0,1.1,1.0,0.96,0.2,16,61,20,10,0.7,87.9,49,27,17,668,1161
Lesley Ugochukwu,Southampton,Premier League,MF,20.0,1655,1,1,0.9,1.0,0.9,0.54,0.05,29,49,20,14,0.6,85.0,24,14,23,479,879
Lukas Ullrich,Gladbach,Bundesliga,DF,20.0,1903,1,2,0.9,1.8,0.9,0.38,0.09,31,39,71,8,1.9,76.1,16,23,74,531,1073
Deniz Undav,Stuttgart,Bundesliga,"FW,MF",28.0,1726,9,3,11.7,3.6,11.7,3.91,1.62,31,70,141,26,3.8,73.2,10,3,10,469,797
Dayot Upamecano,Bayern Munich,Bundesliga,DF,25.0,1759,2,0,1.2,0.5,1.2,0.67,0.31,17,137,4,7,1.2,93.9,22,34,45,1440,2101
Jonas Urbig,Bayern Munich,Bundesliga,GK,20.0,720,0,0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0.1,81.1,0,0,9,201,310
Can Uzun,Eint Frankfurt,Bundesliga,"MF,FW",18.0,675,4,1,3.0,1.1,3.0,3.6,1.47,11,42,45,14,1.1,79.9,4,1,3,265,395
Josha Vagnoman,Stuttgart,Bundesliga,"DF,MF",23.0,1834,1,1,1.5,2.1,1.5,0.74,0.29,24,47,96,22,2.2,80.4,14,14,57,541,1105
Siebe Van Der Heyden,St. Pauli,Bundesliga,"DF,MF",26.0,872,1,0,1.7,0.0,1.7,0.31,0.21,10,28,26,2,0.2,79.3,10,17,43,265,602
Virgil van Dijk,Liverpool,Premier League,DF,33.0,3330,3,1,2.2,0.7,2.2,0.73,0.22,22,198,6,12,1.0,91.6,20,56,190,1856,3301
Jamie Vardy,Leicester City,Premier League,FW,37.0,2823,9,4,11.2,3.0,9.6,1.79,0.73,29,22,120,19,2.6,66.3,13,5,24,285,586
Nikola Vasilj,St. Pauli,Bundesliga,GK,28.0,2969,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0.2,73.6,0,0,22,909,1493
Denis Vavro,Wolfsburg,Bundesliga,DF,28.0,2461,2,0,1.4,0.2,1.4,0.91,0.22,9,96,3,7,0.5,86.9,13,37,234,1036,1901
Miloš Veljković,Werder Bremen,Bundesliga,DF,28.0,1029,0,1,0.6,0.2,0.6,0.17,0.09,9,64,2,3,0.6,86.7,5,2,47,460,738
Joël Veltman,Brighton,Premier League,DF,32.0,1697,0,0,0.5,0.5,0.5,0.32,0.05,32,85,34,6,1.3,80.2,29,19,66,548,1133
Micky van de Ven,Tottenham,Premier League,DF,23.0,1015,0,2,0.6,1.2,0.6,0.53,0.18,8,51,1,2,0.7,90.9,6,10,39,620,895
Bart Verbruggen,Brighton,Premier League,GK,21.0,3240,0,1,0.0,0.0,0.0,0.0,0.0,0,2,0,1,0.0,76.9,0,0,29,955,1406
Arthur Vermeeren,RB Leipzig,Bundesliga,MF,19.0,1572,0,2,0.4,0.9,0.4,0.23,0.06,14,77,20,12,1.3,86.1,19,23,25,536,1109
Yorbe Vertessen,Union Berlin,Bundesliga,"MF,FW",23.0,718,1,0,1.3,1.6,1.3,3.38,0.63,18,16,42,15,1.8,66.2,3,3,6,194,342
Jannik Vestergaard,Leicester City,Premier League,DF,31.0,1391,0,0,0.1,0.1,0.1,0.19,0.13,3,32,2,3,0.1,90.7,10,16,74,672,1092
Guglielmo Vicario,Tottenham,Premier League,GK,27.0,2160,0,0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0.0,87.4,0,1,14,661,928
Kevin Vogt,Union Berlin,Bundesliga,DF,32.0,1367,1,0,0.8,0.0,0.0,0.0,0.0,11,70,2,2,0.3,88.1,8,9,75,560,1030
Hauke Wahl,St. Pauli,Bundesliga,DF,30.0,2970,0,0,0.9,0.5,0.9,0.33,0.12,30,142,10,9,1.6,86.6,27,31,170,1040,2096
Kyle Walker,Manchester City,Premier League,DF,34.0,970,0,0,0.1,0.4,0.1,0.46,0.19,12,64,11,7,1.3,87.7,10,3,13,499,892
Kyle Walker-Peters,Southampton,Premier League,DF,27.0,2918,0,2,0.8,2.8,0.8,0.62,0.19,114,139,144,24,2.3,88.2,29,19,90,1271,2022
Christian Walton,Ipswich Town,Premier League,GK,28.0,630,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,69.4,0,0,2,143,272
Aaron Wan-Bissaka,West Ham,Premier League,DF,26.0,3154,2,5,1.2,3.5,1.2,0.46,0.14,110,149,167,33,2.8,81.1,49,66,125,1092,2256
Paul Wanner,Heidenheim,Bundesliga,"MF,FW",18.0,1771,3,2,3.7,1.3,2.9,1.22,0.25,28,64,65,20,1.8,73.1,27,4,20,496,935
James Ward-Prowse,West Ham,Premier League,MF,29.0,1039,1,1,1.6,1.9,1.6,1.13,0.43,11,54,9,20,1.8,88.2,14,8,15,427,849
Ollie Watkins,Aston Villa,Premier League,FW,28.0,2598,16,8,15.3,3.3,13.8,2.84,1.25,55,31,165,24,2.1,72.4,7,8,15,409,695
Adam Webster,Brighton,Premier League,DF,29.0,887,0,0,0.2,0.5,0.2,0.51,0.1,8,63,2,3,0.3,87.7,6,20,41,476,824
Julian Weigl,Gladbach,Bundesliga,MF,28.0,2881,0,2,0.7,1.1,0.7,0.59,0.19,11,122,9,11,1.9,88.3,25,48,86,1061,2075
Timon Weiner,Holstein Kiel,Bundesliga,GK,25.0,2250,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,68.8,0,0,17,540,1068
Nelson Weiper,Mainz 05,Bundesliga,"FW,MF",19.0,704,3,2,4.1,1.9,4.1,2.81,1.53,12,13,62,10,0.7,67.1,4,2,5,149,311
Mitchell Weiser,Werder Bremen,Bundesliga,"DF,MF",30.0,2868,5,9,5.4,4.7,5.4,1.35,0.47,65,125,200,42,5.4,73.9,40,22,61,990,1949
Noah Weißhaupt,St. Pauli,Bundesliga,"FW,MF",22.0,1160,1,0,2.1,1.8,2.1,1.4,0.31,42,33,94,18,1.8,62.3,4,2,8,306,509
Danny Welbeck,Brighton,Premier League,FW,33.0,2115,10,4,9.6,1.4,8.8,2.51,0.98,21,47,95,23,1.4,84.9,16,5,14,448,726
Adam Wharton,Crystal Palace,Premier League,MF,20.0,1318,0,2,0.4,3.0,0.4,0.89,0.34,14,107,11,26,2.2,75.6,14,20,27,430,872
Ben White,Arsenal,Premier League,DF,26.0,1198,0,2,0.5,1.4,0.5,0.68,0.15,23,59,42,10,1.4,83.8,14,16,44,394,813
Mats Wieffer,Brighton,Premier League,"DF,MF",24.0,1015,1,3,0.8,1.6,0.8,0.8,0.35,18,62,23,16,1.0,85.1,34,17,28,483,867
Neco Williams,Nott'ham Forest,Premier League,DF,23.0,2594,1,3,2.3,1.6,2.3,1.28,0.24,68,89,103,18,1.5,75.5,57,31,137,650,1565
Joe Willock,Newcastle Utd,Premier League,"MF,FW",24.0,1086,0,2,1.6,2.1,1.6,1.49,0.25,38,41,86,22,0.9,82.6,17,6,7,325,533
Harry Wilson,Fulham,Premier League,"FW,MF",27.0,1162,6,1,4.2,1.1,4.2,3.33,1.32,22,51,96,20,1.2,73.3,14,7,10,342,598
Patrick Wimmer,Wolfsburg,Bundesliga,"MF,FW",23.0,1770,3,4,3.7,2.9,3.7,2.08,0.51,46,91,75,24,3.4,65.7,35,32,15,504,920
Jonas Wind,Wolfsburg,Bundesliga,"FW,MF",25.0,1966,9,3,5.7,4.2,4.0,1.74,0.5,17,100,94,34,4.7,70.6,6,6,15,450,810
Harry Winks,Leicester City,Premier League,MF,28.0,1538,0,2,0.2,1.2,0.2,0.59,0.23,19,101,11,17,1.5,87.1,11,9,20,696,1158
Florian Wirtz,Leverkusen,Bundesliga,"MF,FW",21.0,2351,10,12,9.4,7.0,6.1,2.83,1.34,131,176,309,57,9.4,78.3,20,10,6,1217,2096
Yoane Wissa,Brentford,Premier League,FW,27.0,2919,19,4,18.5,2.6,18.5,2.77,1.26,60,67,154,27,1.8,76.5,12,8,21,550,925
Dani de Wit,Bochum,Bundesliga,"MF,FW",26.0,1153,2,1,2.1,0.5,2.1,1.56,0.55,5,33,37,10,0.5,72.0,17,12,23,244,558
Maximilian Wittek,Bochum,Bundesliga,DF,28.0,2706,0,0,1.4,4.4,1.4,1.36,0.23,47,141,83,46,6.2,70.6,42,27,89,769,1882
Marius Wolf,Augsburg,Bundesliga,DF,29.0,2144,1,3,0.7,3.2,0.7,0.5,0.08,36,117,95,45,4.4,68.5,16,24,51,627,1427
Nick Woltemade,Stuttgart,Bundesliga,"FW,MF",22.0,1622,12,2,10.2,4.6,8.0,2.55,1.28,31,52,141,37,3.4,70.6,7,1,15,470,788
Jeong Woo-yeong,Union Berlin,Bundesliga,"MF,FW",24.0,1263,3,2,2.8,1.7,2.8,1.78,0.43,32,63,93,18,2.1,75.3,7,11,11,386,621
Chris Wood,Nott'ham Forest,Premier League,FW,32.0,2959,20,3,13.4,2.6,11.0,1.98,0.97,14,42,94,22,1.5,64.3,5,5,29,376,770
Nathan Wood-Gordon,Southampton,Premier League,DF,22.0,773,0,0,0.2,0.0,0.2,0.23,0.0,2,17,0,1,0.0,93.3,8,5,39,313,564
Luke Woolfenden,Ipswich Town,Premier League,DF,25.0,1187,0,0,0.0,0.0,0.0,0.08,0.0,7,15,0,0,0.0,88.3,6,19,76,368,694
Granit Xhaka,Leverkusen,Bundesliga,MF,31.0,2888,2,7,0.9,4.4,0.9,0.65,0.09,42,318,72,50,5.1,89.7,26,12,52,1611,3052
Yehor Yarmoliuk,Brentford,Premier League,MF,20.0,1450,0,0,0.6,0.9,0.6,0.56,0.12,15,63,47,9,0.9,87.0,28,13,33,520,960
Ryan Yates,Nott'ham Forest,Premier League,MF,26.0,1915,2,1,2.3,1.2,2.3,1.55,0.42,18,53,16,18,0.5,81.5,21,26,61,425,1041
Leny Yoro,Manchester Utd,Premier League,DF,18.0,1165,0,0,0.7,0.1,0.7,0.39,0.08,19,52,4,2,0.2,92.4,11,18,43,614,894
Ashley Young,Everton,Premier League,DF,39.0,1875,1,3,0.3,2.3,0.3,0.29,0.14,24,90,32,26,2.9,70.9,33,25,64,487,1194
Illia Zabarnyi,Bournemouth,Premier League,DF,21.0,3109,0,1,1.3,0.7,1.3,0.35,0.03,27,140,4,12,0.8,82.1,36,41,182,1282,2062
David Zec,Holstein Kiel,Bundesliga,DF,24.0,1541,2,0,1.2,0.5,1.2,0.64,0.29,3,34,2,8,0.3,87.7,10,17,93,527,1049
Robin Zentner,Mainz 05,Bundesliga,GK,29.0,2880,0,0,0.0,0.3,0.0,0.03,0.0,0,2,0,3,0.2,62.9,1,0,31,751,1287
Cedric Zesiger,Augsburg,Bundesliga,DF,26.0,1221,0,2,1.2,1.3,1.2,0.74,0.15,4,40,7,7,1.1,78.6,7,21,96,398,771
Michael Zetterer,Werder Bremen,Bundesliga,GK,29.0,3060,0,0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0.1,78.2,0,1,10,1000,1391
Joshua Zirkzee,Manchester Utd,Premier League,"FW,MF",23.0,1402,3,1,4.8,1.5,4.8,1.8,0.71,14,44,69,12,1.1,71.2,8,6,8,327,587
Budu Zivzivadze,Heidenheim,Bundesliga,FW,30.0,958,2,3,1.7,1.5,1.7,2.07,0.85,11,20,43,12,1.4,69.3,11,3,7,185,332
Martin Ødegaard,Arsenal,Premier League,MF,25.0,2325,3,8,4.8,5.4,4.0,1.86,0.58,92,258,154,63,6.7,82.5,11,6,6,1174,1694
