player,team,league,position,age,minutes,goals,assists,xg,xag,npxg,shots_p90,shots_on_target_p90,prog_carries,prog_passes,prog_receptions,key_passes,xa,pass_completion_pct,tackles_won,interceptions,clearances,carries,touches
Carlos Baleba,Brighton,Premier League,MF,20.0,2661,3,1,3.1,1.3,3.1,1.49,0.37,43,118,29,21,1.2,87.4,46,46,44,971,1697
Harvey Barnes,Newcastle Utd,Premier League,FW,26.0,1755,9,4,7.2,4.0,7.2,3.23,1.03,93,83,192,26,4.6,78.1,9,6,15,561,810
Calvin Bassey,Fulham,Premier League,DF,24.0,3074,1,0,1.0,0.1,1.0,0.41,0.12,39,116,15,3,0.4,89.7,34,20,118,1571,2463
Maximilian Bauer,Augsburg,Bundesliga,DF,24.0,658,0,0,0.2,0.1,0.2,0.14,0.14,4,30,7,2,0.1,80.9,8,6,35,216,422
Oliver Baumann,Hoffenheim,Bundesliga,GK,34.0,2520,0,0,0.0,1.0,0.0,0.0,0.0,0,1,0,3,0.7,69.1,2,0,15,678,1147
Christoph Baumgartner,RB Leipzig,Bundesliga,MF,24.0,1610,2,1,4.5,1.3,4.5,2.18,0.84,37,53,95,20,1.7,68.2,28,12,24,438,910
Adrian Beck,Heidenheim,Bundesliga,"MF,FW",27.0,1598,4,1,3.3,1.2,3.3,2.2,0.73,37,69,83,21,1.9,80.1,17,9,17,553,962
Timo Becker,Holstein Kiel,Bundesliga,DF,27.0,2445,0,2,1.4,0.8,1.4,0.63,0.15,28,57,38,6,1.0,77.4,33,17,110,588,1325
Jan Bednarek,Southampton,Premier League,DF,28.0,2531,2,0,0.7,0.5,0.7,0.18,0.07,5,60,2,5,0.9,92.7,19,56,190,1046,2049
Maximilian Beier,Dortmund,Bundesliga,"FW,MF",21.0,1591,8,5,7.7,3.3,7.7,2.38,0.74,24,33,124,24,2.5,70.5,16,7,14,338,618
Stefan Bell,Mainz 05,Bundesliga,DF,32.0,1436,0,1,0.8,1.0,0.8,0.75,0.19,8,38,5,5,0.7,78.6,12,28,107,415,952
Jean-Ricner Bellegarde,Wolves,Premier League,"MF,FW",26.0,1677,2,7,1.5,3.8,1.5,1.18,0.27,52,43,89,27,2.8,79.3,24,10,18,528,843
Ramy Bensebaini,Dortmund,Bundesliga,DF,29.0,2022,1,6,1.3,3.2,1.3,0.89,0.09,26,128,58,15,2.3,86.1,25,33,86,941,1766
Rodrigo Bentancur,Tottenham,Premier League,MF,27.0,1645,2,0,1.3,0.4,1.3,1.2,0.27,28,100,34,10,1.0,87.9,22,40,38,764,1302
Sander Berge,Fulham,Premier League,MF,26.0,2224,0,0,0.4,0.6,0.4,0.12,0.04,29,124,9,18,0.6,91.5,30,21,38,804,1384
Lucas Bergvall,Tottenham,Premier League,MF,18.0,1212,0,1,0.7,0.6,0.7,0.89,0.15,33,49,31,11,0.8,87.4,19,24,22,531,885
Bernardo,Bochum,Bundesliga,DF,29.0,1782,0,0,0.7,0.7,0.7,0.4,0.1,14,100,14,4,1.7,73.7,28,26,103,630,1249
Alexander Bernhardsson,Holstein Kiel,Bundesliga,"FW,MF",25.0,1263,7,2,4.1,1.3,4.1,1.92,1.0,25,33,72,17,1.2,60.5,15,5,25,264,520
Victor Bernth Kristiansen,Leicester City,Premier League,DF,21.0,2482,0,1,0.3,1.4,0.3,0.11,0.0,40,70,78,18,1.7,77.4,51,42,75,816,1614
Matúš Bero,Bochum,Bundesliga,MF,28.0,2565,5,2,4.0,3.7,3.0,1.09,0.42,29,143,111,54,3.8,67.9,35,17,35,736,1619
Beto,Everton,Premier League,FW,26.0,1534,8,0,8.2,1.2,8.2,2.87,1.35,15,16,77,12,0.5,58.2,6,4,24,267,520
Tom Bischof,Hoffenheim,Bundesliga,"MF,FW",19.0,2559,5,2,2.2,3.6,2.2,1.79,0.63,47,138,102,50,4.8,78.7,53,30,53,962,1951
Yves Bissouma,Tottenham,Premier League,MF,27.0,1408,2,0,0.6,0.3,0.6,0.7,0.26,15,75,3,6,0.6,88.6,31,18,40,610,1039
Leonardo Bittencourt,Werder Bremen,Bundesliga,MF,30.0,982,2,1,1.6,1.6,1.6,2.47,0.82,19,64,38,14,1.9,84.0,9,15,11,530,801
Myron Boadu,Bochum,Bundesliga,FW,23.0,1042,9,1,7.7,1.1,6.9,2.33,1.12,12,18,70,11,1.6,71.3,1,1,4,179,287
Victor Boniface,Leverkusen,Bundesliga,FW,23.0,1008,8,1,7.8,1.1,7.1,4.46,1.52,26,23,61,10,1.0,70.2,4,0,5,207,400
Sebastiaan Bornauw,Wolfsburg,Bundesliga,DF,25.0,788,2,1,1.2,0.5,1.2,0.91,0.34,3,21,1,1,0.1,81.8,6,12,36,206,428
Carlo Boukhalfa,St. Pauli,Bundesliga,MF,25.0,1646,2,0,1.5,1.1,1.5,1.15,0.22,10,41,44,11,1.1,71.3,11,12,25,290,651
Jarrod Bowen,West Ham,Premier League,"FW,MF",27.0,2973,13,8,8.6,6.8,7.8,2.6,1.09,109,91,212,51,6.5,71.7,26,16,25,741,1252
Conor Bradley,Liverpool,Premier League,DF,21.0,754,0,2,0.7,1.4,0.7,1.19,0.36,35,33,39,7,1.4,83.8,10,4,31,369,663
Julian Brandt,Dortmund,Bundesliga,MF,28.0,2303,5,10,4.8,8.5,4.8,1.76,0.59,61,149,199,61,6.6,78.8,11,14,13,869,1455
Jarrad Branthwaite,Everton,Premier League,DF,22.0,2511,0,1,1.2,0.7,1.2,0.36,0.11,10,66,2,3,0.6,82.1,20,27,191,747,1520
James Bree,Southampton,Premier League,DF,26.0,1075,0,1,0.1,0.9,0.1,0.33,0.08,13,34,43,10,0.7,83.5,14,9,29,363,694
Nathan Broadhead,Ipswich Town,Premier League,"MF,FW",26.0,702,2,0,1.7,0.7,1.7,1.67,1.03,20,14,33,7,1.1,78.1,4,4,5,174,317
David Brooks,Bournemouth,Premier League,"FW,MF",27.0,960,2,0,2.5,1.9,2.5,2.34,1.13,35,35,83,20,2.0,75.4,6,5,9,342,545
Moritz Broschinski,Bochum,Bundesliga,"FW,MF",23.0,1390,1,3,4.2,1.8,4.2,2.46,0.71,37,20,130,13,1.5,63.4,14,1,18,322,552
Nathaniel Brown,Eint Frankfurt,Bundesliga,"DF,MF",21.0,1947,3,6,2.2,5.1,2.2,0.6,0.23,45,63,119,39,4.6,80.7,42,15,55,600,1174
Santiago Bueno,Wolves,Premier League,DF,25.0,1687,0,0,0.4,0.0,0.4,0.32,0.16,1,28,1,0,0.1,88.0,21,15,70,555,1025
Marius Bülter,Hoffenheim,Bundesliga,"FW,DF",31.0,1729,7,2,3.7,3.1,3.7,1.93,0.78,57,35,155,22,3.4,67.2,10,4,14,511,774
Facundo Buonanotte,Leicester City,Premier League,"FW,MF",19.0,1523,5,2,3.9,3.1,3.9,2.13,0.71,39,54,74,24,2.3,76.4,32,12,14,479,874
Cameron Burgess,Ipswich Town,Premier League,DF,28.0,1541,0,2,1.1,0.5,1.1,0.58,0.12,2,42,4,7,0.4,80.9,12,14,128,430,982
Jonathan Burkardt,Mainz 05,Bundesliga,FW,24.0,2109,18,2,14.8,3.1,13.2,2.99,1.19,32,42,157,20,2.7,72.5,8,1,14,447,788
Oliver Burke,Werder Bremen,Bundesliga,FW,27.0,908,5,0,4.1,1.7,4.1,3.47,1.19,22,15,88,14,1.1,59.9,4,2,6,246,440
Dan Burn,Newcastle Utd,Premier League,DF,32.0,3330,1,1,2.0,0.9,2.0,0.62,0.19,12,75,14,9,1.1,88.4,24,27,197,1346,2386
Wes Burns,Ipswich Town,Premier League,"FW,DF",29.0,926,0,1,0.5,1.6,0.5,0.68,0.1,38,8,65,10,1.2,60.5,11,10,13,216,350
Marnon Busch,Heidenheim,Bundesliga,"DF,MF",29.0,1396,0,1,0.4,1.1,0.4,0.84,0.19,22,63,43,12,1.8,72.7,17,13,65,495,1030
Anthony Caci,Mainz 05,Bundesliga,DF,27.0,2684,1,7,3.1,6.6,3.1,1.07,0.4,45,133,152,50,7.9,71.8,40,27,47,960,1973
Moisés Caicedo,Chelsea,Premier League,"MF,DF",22.0,3351,1,2,0.8,3.0,0.8,0.54,0.08,43,215,37,30,2.8,89.7,73,49,60,1409,2579
Tom Cairney,Fulham,Premier League,MF,33.0,628,2,0,0.8,1.1,0.8,1.58,0.57,18,53,33,11,1.2,90.7,5,4,3,456,683
Jens Cajuste,Ipswich Town,Premier League,MF,24.0,1959,1,1,0.7,0.8,0.7,0.55,0.05,26,59,20,13,0.7,82.6,22,28,33,481,1017
Riccardo Calafiori,Arsenal,Premier League,DF,22.0,983,2,1,0.9,0.3,0.9,0.92,0.55,22,54,29,6,0.7,85.6,19,9,25,308,653
Dominic Calvert-Lewin,Everton,Premier League,FW,27.0,1609,3,1,6.7,0.6,6.7,2.8,1.06,23,20,112,7,0.7,62.6,7,7,23,280,520
Emre Can,Dortmund,Bundesliga,"DF,MF",30.0,2105,3,0,2.0,0.7,0.4,0.3,0.04,20,116,12,8,1.4,89.5,28,20,89,1405,2156
Diego Carlos,Aston Villa,Premier League,DF,31.0,830,0,0,0.6,0.0,0.6,0.43,0.11,3,34,0,0,0.1,88.6,3,5,36,419,674
Casemiro,Manchester Utd,Premier League,MF,32.0,1494,1,0,1.9,2.3,1.9,1.93,0.6,4,84,28,22,2.0,78.8,50,14,51,660,1250
Matty Cash,Aston Villa,Premier League,DF,26.0,2070,1,1,0.5,1.1,0.5,0.57,0.26,48,42,90,10,1.3,77.5,32,23,70,595,1186
Timothy Castagne,Fulham,Premier League,DF,28.0,1649,0,1,0.4,1.2,0.4,0.44,0.16,17,62,67,9,0.6,81.8,29,22,83,547,1164
Julian Chabot,Stuttgart,Bundesliga,DF,26.0,2269,3,1,2.0,0.5,1.8,0.75,0.12,7,108,5,6,0.8,89.9,24,38,135,1354,2239
El Chadaille Bitshiabu,RB Leipzig,Bundesliga,DF,19.0,1130,0,0,0.3,0.4,0.3,0.4,0.24,4,69,2,5,0.6,84.4,18,13,97,516,1058
Fares Chaïbi,Eint Frankfurt,Bundesliga,"MF,FW",21.0,1013,1,3,2.6,2.9,2.6,2.22,0.53,20,52,73,24,2.9,65.8,9,10,32,288,588
Trevoh Chalobah,Crystal Palace,Premier League,DF,25.0,1060,3,0,1.2,0.4,1.2,0.93,0.34,11,34,6,4,0.3,79.0,16,19,57,278,594
Trevoh Chalobah,Chelsea,Premier League,DF,25.0,910,0,1,0.8,1.2,0.8,0.69,0.2,4,37,2,3,0.3,90.0,7,10,48,426,774
Conor Chaplin,Ipswich Town,Premier League,"MF,FW",27.0,857,1,1,1.5,0.7,1.5,1.68,0.32,13,29,23,8,0.6,73.7,5,4,3,179,390
Anrie Chase,Stuttgart,Bundesliga,DF,20.0,734,0,0,0.1,0.0,0.1,0.61,0.0,6,28,2,0,0.5,91.9,4,9,35,334,622
Arthur Chaves,Hoffenheim,Bundesliga,DF,23.0,2185,1,0,0.8,0.1,0.8,0.41,0.08,10,57,13,5,0.4,82.1,36,37,136,740,1513
Ryan Christie,Bournemouth,Premier League,MF,29.0,2117,2,3,1.8,3.5,1.8,1.4,0.51,34,137,44,41,3.0,79.3,33,30,51,726,1376
Jack Clarke,Ipswich Town,Premier League,"FW,MF",23.0,1181,0,4,1.2,2.3,1.2,1.3,0.15,39,44,57,28,1.2,76.8,20,7,29,311,553
Alexis Claude-Maurice,Augsburg,Bundesliga,"MF,FW",26.0,2109,9,2,4.7,1.2,4.7,2.52,0.94,59,61,102,21,1.9,82.9,26,15,8,619,994
Conor Coady,Leicester City,Premier League,DF,31.0,1714,1,0,0.4,0.1,0.4,0.11,0.11,3,32,0,1,0.5,91.1,9,13,71,789,1210
Nathan Collins,Brentford,Premier League,DF,23.0,3420,2,3,2.5,1.8,2.5,0.45,0.16,32,127,18,10,1.6,85.9,24,34,226,1289,2435
Nnamdi Collins,Eint Frankfurt,Bundesliga,DF,20.0,1489,1,1,0.8,1.0,0.8,0.3,0.12,30,63,42,2,1.2,86.3,24,16,74,623,1107
Levi Colwill,Chelsea,Premier League,DF,21.0,3149,2,1,1.9,1.1,1.9,0.49,0.11,14,131,12,14,1.2,89.3,34,33,118,1621,2904
Kingsley Coman,Bayern Munich,Bundesliga,FW,28.0,1282,5,4,4.3,3.3,4.3,3.09,1.19,66,45,215,32,4.2,84.3,12,8,15,606,934
Sirlord Conteh,Heidenheim,Bundesliga,"FW,MF",28.0,892,1,1,2.1,2.6,2.1,1.31,0.5,29,19,75,14,1.4,70.5,5,1,8,195,301
Lewis Cook,Bournemouth,Premier League,"MF,DF",27.0,2978,1,3,0.9,4.1,0.9,0.42,0.12,33,158,52,48,3.8,77.2,42,41,70,825,1900
Danny da Costa,Mainz 05,Bundesliga,DF,31.0,2006,0,1,0.1,0.6,0.1,0.22,0.04,21,109,22,10,1.3,78.4,23,27,95,813,1451
Vladimír Coufal,West Ham,Premier League,DF,31.0,1067,0,0,0.3,0.7,0.3,0.59,0.17,26,39,33,8,1.0,78.6,15,8,39,298,736
Yan Couto,Dortmund,Bundesliga,"DF,FW",22.0,895,0,0,0.3,0.9,0.3,0.6,0.2,46,68,83,12,2.3,81.1,16,10,32,483,849
Aaron Cresswell,West Ham,Premier League,DF,34.0,824,0,0,0.2,1.3,0.2,0.55,0.0,6,36,4,9,1.9,82.6,7,8,37,291,687
Marc Cucurella,Chelsea,Premier League,DF,26.0,2988,5,1,2.8,2.1,2.8,0.72,0.33,35,118,117,19,2.4,87.7,45,28,95,944,2244
Matheus Cunha,Wolves,Premier League,"MF,FW",25.0,2597,15,6,8.6,7.7,8.6,3.81,1.52,112,144,161,56,5.3,71.6,22,17,23,904,1561
Tomáš Čvančara,Gladbach,Bundesliga,FW,23.0,831,2,0,3.8,0.9,3.8,2.6,0.97,15,23,50,6,0.5,71.5,1,5,17,185,336
Finn Dahmen,Augsburg,Bundesliga,GK,26.0,1710,0,0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0.1,69.4,0,0,9,479,811
Thomas Dähne,Holstein Kiel,Bundesliga,GK,30.0,810,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,77.0,0,0,7,234,432
Patson Daka,Leicester City,Premier League,"FW,MF",25.0,736,1,0,1.3,0.1,1.3,1.83,0.49,11,8,36,1,0.1,72.1,10,1,12,141,252
Diogo Dalot,Manchester Utd,Premier League,DF,25.0,2814,0,3,2.0,2.0,2.0,0.8,0.16,62,103,168,26,2.5,80.5,40,37,72,1126,1983
Mikkel Damsgaard,Brentford,Premier League,"MF,FW",24.0,2911,2,10,2.8,8.4,2.8,1.08,0.22,73,234,137,63,7.0,72.4,44,27,31,1076,1883
Kevin Danso,Tottenham,Premier League,DF,25.0,842,0,0,0.4,0.1,0.4,0.75,0.32,11,19,1,2,0.1,86.5,5,6,71,448,676
Bence Dárdai,Wolfsburg,Bundesliga,MF,18.0,1304,1,1,1.0,1.0,1.0,0.76,0.07,5,39,24,11,1.0,80.2,14,12,28,287,595
Alphonso Davies,Bayern Munich,Bundesliga,DF,23.0,1560,1,2,1.2,1.6,1.2,0.98,0.17,81,120,140,27,2.2,89.7,17,13,22,895,1463
Ben Davies,Tottenham,Premier League,DF,31.0,1331,0,0,0.3,0.2,0.3,0.34,0.07,14,52,6,2,0.5,87.6,11,12,81,664,1186
Leif Davis,Ipswich Town,Premier League,DF,24.0,2743,1,2,1.0,4.9,1.0,0.52,0.07,52,59,137,61,4.7,71.6,27,25,77,708,1562
Craig Dawson,Wolves,Premier League,DF,34.0,971,0,0,0.5,0.0,0.5,0.46,0.09,6,20,5,2,0.1,86.6,3,9,52,390,671
Kevin De Bruyne,Manchester City,Premier League,"MF,FW",33.0,1702,4,7,5.1,8.0,5.1,3.01,0.79,51,157,150,57,6.7,75.9,9,7,10,812,1368
Bobby De Cordova-Reid,Leicester City,Premier League,FW,31.0,744,1,2,0.8,1.2,0.8,0.85,0.36,14,15,48,6,0.2,70.4,4,0,10,174,272
Liam Delap,Ipswich Town,Premier League,FW,21.0,2593,12,2,9.3,1.9,7.8,2.29,1.01,61,30,110,21,1.4,61.3,8,2,28,445,682
Ermedin Demirović,Stuttgart,Bundesliga,FW,26.0,1855,15,1,14.1,1.9,12.4,3.11,1.31,20,31,115,18,1.7,70.3,7,3,12,305,582
Sepp van den Berg,Brentford,Premier League,DF,22.0,2586,0,0,2.0,0.8,2.0,0.7,0.21,12,79,28,6,0.5,85.4,24,21,134,737,1605
Amad Diallo,Manchester Utd,Premier League,"MF,FW",22.0,1901,8,6,4.7,4.9,4.7,2.23,0.8,109,60,200,49,4.2,83.8,31,11,19,782,1207
Rúben Dias,Manchester City,Premier League,DF,27.0,2271,0,0,1.5,0.3,1.5,0.83,0.28,43,160,8,5,1.2,93.5,11,20,71,1775,2499
Luis Díaz,Liverpool,Premier League,FW,27.0,2399,13,5,12.0,5.0,12.0,2.66,1.13,108,110,293,56,4.5,84.2,26,7,7,780,1184
Tyler Dibling,Southampton,Premier League,"FW,MF",18.0,1874,2,0,2.5,1.5,2.5,1.34,0.43,69,64,96,20,1.5,81.3,20,8,16,558,868
Eric Dier,Bayern Munich,Bundesliga,DF,30.0,1463,2,1,1.1,0.1,1.1,0.55,0.31,12,73,1,3,1.2,93.8,11,20,77,944,1591
Lucas Digne,Aston Villa,Premier League,DF,31.0,2351,0,4,0.8,4.7,0.8,0.5,0.11,23,57,142,36,4.0,74.9,38,25,89,683,1527
Eren Dinkçi,Freiburg,Bundesliga,"MF,FW",22.0,1196,0,3,1.1,2.2,1.1,1.05,0.23,33,35,71,23,1.2,75.4,13,7,7,269,552
Issa Diop,Fulham,Premier League,DF,27.0,1339,0,0,0.5,0.1,0.5,0.34,0.13,6,25,3,3,0.1,87.5,12,9,72,533,903
Ritsu Doan,Freiburg,Bundesliga,"FW,MF",26.0,2862,10,7,6.6,3.7,6.6,1.92,0.66,64,130,178,27,5.9,71.8,42,14,47,827,1537
Danilho Doekhi,Union Berlin,Bundesliga,DF,26.0,3060,1,1,2.6,1.4,2.6,0.94,0.12,13,96,14,13,0.9,78.3,24,44,169,883,1654
Matt Doherty,Wolves,Premier League,DF,32.0,2109,2,1,1.0,1.5,1.0,0.43,0.13,29,79,41,12,1.2,82.8,21,22,102,825,1534
Jeremy Doku,Manchester City,Premier League,"FW,MF",22.0,1516,3,6,1.3,4.8,1.3,1.72,0.53,213,69,286,32,3.8,79.1,22,4,2,796,1027
Nicolás Domínguez,Nott'ham Forest,Premier League,"MF,FW",26.0,1963,0,1,1.5,1.3,1.5,0.96,0.41,16,83,33,13,1.6,86.7,45,29,54,471,1218
Patrick Dorgu,Manchester Utd,Premier League,DF,19.0,842,0,0,0.4,0.7,0.4,1.07,0.21,41,34,83,12,1.3,81.0,24,4,23,354,602
Niklas Dorsch,Heidenheim,Bundesliga,MF,26.0,1335,2,2,1.0,1.1,1.0,0.61,0.2,13,57,21,13,2.0,83.4,16,17,17,459,798
Abdoulaye Doucouré,Everton,Premier League,MF,31.0,2564,3,2,4.1,2.4,4.1,1.09,0.32,42,82,96,28,1.4,80.3,28,10,20,604,1161
Flynn Downes,Southampton,Premier League,MF,25.0,2151,1,0,0.6,1.1,0.6,0.42,0.13,29,66,29,15,1.4,90.4,25,32,51,641,1339
Radu Drăgușin,Tottenham,Premier League,DF,22.0,1252,0,0,0.1,0.4,0.1,0.36,0.07,7,37,2,4,0.2,85.2,6,15,49,623,961
Patrick Drewes,Bochum,Bundesliga,GK,31.0,1890,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,65.7,0,0,11,479,913
Martin Dúbravka,Newcastle Utd,Premier League,GK,35.0,900,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,79.6,0,0,3,202,350
Marvin Ducksch,Werder Bremen,Bundesliga,FW,30.0,2418,8,8,10.1,8.5,8.5,2.61,1.0,26,86,166,61,9.1,61.7,7,8,26,538,1105
Lewis Dunk,Brighton,Premier League,DF,32.0,2083,0,0,0.8,0.5,0.8,0.52,0.13,20,142,3,6,1.0,91.0,10,13,79,1341,2127
Jáder Durán,Aston Villa,Premier League,FW,20.0,638,7,0,4.9,0.2,4.9,4.37,2.12,7,13,44,4,0.3,70.6,7,0,13,133,263
Ederson,Manchester City,Premier League,GK,30.0,2320,0,4,0.0,1.5,0.0,0.0,0.0,0,2,0,4,0.2,87.9,0,1,11,654,975
Johannes Eggestein,St. Pauli,Bundesliga,FW,26.0,1853,3,4,4.7,2.1,3.1,1.65,0.49,25,43,138,24,1.3,73.9,3,0,8,384,713
Maximilian Eggestein,Freiburg,Bundesliga,MF,27.0,2845,2,0,2.0,1.5,2.0,1.14,0.32,34,141,41,19,2.5,83.5,32,39,54,813,1757
Hugo Ekitike,Eint Frankfurt,Bundesliga,FW,22.0,2563,15,8,21.6,6.8,19.3,4.0,1.55,93,53,215,44,5.4,75.5,12,7,24,633,1054
Anthony Elanga,Nott'ham Forest,Premier League,"FW,MF",22.0,2501,6,11,4.5,5.7,4.5,1.58,0.86,102,63,229,50,5.1,65.3,14,6,25,600,1115
Nico Elvedi,Gladbach,Bundesliga,DF,27.0,2135,1,1,2.0,0.4,2.0,0.51,0.13,20,55,5,5,0.3,92.0,23,30,163,953,1827
Julio Enciso,Ipswich Town,Premier League,"MF,FW",20.0,869,2,3,1.7,1.4,1.7,3.31,1.14,23,28,44,13,1.1,69.0,9,1,6,205,406
Christian Eriksen,Manchester Utd,Premier League,MF,32.0,1061,1,2,1.4,3.2,0.6,1.19,0.08,13,55,29,31,2.6,78.8,9,7,8,473,850
Patrick Erras,Holstein Kiel,Bundesliga,DF,29.0,832,1,0,0.9,0.1,0.9,0.87,0.11,3,25,1,3,0.2,92.0,5,9,64,282,622
Samuel Essende,Augsburg,Bundesliga,FW,26.0,1636,7,2,4.2,1.3,4.2,2.42,0.72,33,21,118,11,1.4,64.8,6,0,11,347,564
Pervis Estupiñán,Brighton,Premier League,DF,26.0,2402,1,1,1.2,2.1,1.2,1.05,0.34,59,132,112,26,2.5,83.1,43,37,65,1023,1915
Evanilson,Bournemouth,Premier League,FW,24.0,2319,10,1,12.5,1.9,11.7,2.79,1.2,29,28,99,26,1.8,71.3,10,1,21,333,558
Eberechi Eze,Crystal Palace,Premier League,"MF,FW",26.0,2588,8,8,10.5,6.2,8.9,3.48,0.94,69,97,153,58,4.7,74.2,22,11,10,840,1414
Łukasz Fabiański,West Ham,Premier League,GK,39.0,1160,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,67.1,0,0,5,285,530
Wout Faes,Leicester City,Premier League,DF,26.0,2815,1,0,1.5,0.1,1.5,0.38,0.03,12,86,1,4,0.4,88.0,26,26,185,1107,1906
Bruno Fernandes,Manchester Utd,Premier League,MF,29.0,3018,8,10,9.9,8.5,7.6,2.77,0.78,77,325,129,91,8.0,76.1,50,26,35,1542,2649
Mateus Fernandes,Southampton,Premier League,MF,20.0,2909,2,4,4.0,3.0,4.0,1.3,0.43,76,145,108,34,3.6,79.9,48,28,35,897,1760
Enzo Fernández,Chelsea,Premier League,MF,23.0,2947,6,7,6.1,6.8,6.1,1.62,0.61,60,212,126,77,6.2,79.9,33,13,23,1211,2210
Kilian Fischer,Wolfsburg,Bundesliga,DF,23.0,2297,1,0,0.3,0.5,0.3,0.24,0.04,51,110,89,12,1.0,78.6,44,19,98,704,1529
Mark Flekken,Brentford,Premier League,GK,31.0,3275,0,2,0.0,0.5,0.0,0.0,0.0,0,0,0,3,0.1,73.0,4,0,26,1122,1824
Phil Foden,Manchester City,Premier League,"MF,FW",24.0,1777,7,2,5.2,4.8,5.2,2.73,0.81,50,103,128,43,5.3,84.1,5,9,7,722,1139
Wesley Fofana,Chelsea,Premier League,DF,23.0,1172,0,0,0.4,0.4,0.4,0.23,0.0,19,32,4,6,0.2,90.2,12,14,55,557,933
Jonas Föhrenbach,Heidenheim,Bundesliga,DF,28.0,1832,0,1,0.3,1.3,0.3,0.39,0.05,36,59,50,14,2.1,72.5,24,16,57,521,1112
Fraser Forster,Tottenham,Premier League,GK,36.0,630,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,84.8,0,0,7,113,228
Marco Friedl,Werder Bremen,Bundesliga,DF,26.0,2161,0,0,0.5,0.2,0.5,0.17,0.12,4,69,1,3,0.4,90.2,42,34,130,1069,1769
Marvin Friedrich,Gladbach,Bundesliga,DF,28.0,989,0,1,0.4,0.6,0.4,0.64,0.18,11,36,3,3,0.5,88.4,9,5,57,502,822
Jeremie Frimpong,Leverkusen,Bundesliga,"DF,MF",23.0,2314,5,5,4.1,4.2,4.1,1.32,0.62,100,55,272,30,4.7,76.1,25,8,22,673,1205
Chris Führich,Stuttgart,Bundesliga,"MF,FW",26.0,1981,2,3,2.9,3.7,2.9,1.64,0.55,114,95,202,32,6.0,80.5,10,6,19,782,1220
Niclas Füllkrug,West Ham,Premier League,FW,31.0,790,3,2,2.2,1.9,2.2,1.82,0.8,7,14,31,14,0.4,67.2,3,1,16,123,277
Cody Gakpo,Liverpool,Premier League,FW,25.0,1935,10,4,7.1,4.4,7.1,2.65,1.02,59,52,278,38,3.8,75.7,16,12,19,605,888
Idrissa Gana Gueye,Everton,Premier League,MF,34.0,3063,0,3,1.1,1.7,1.1,0.79,0.15,27,145,27,19,2.0,86.5,80,48,36,861,1801
Aleix García,Leverkusen,Bundesliga,MF,27.0,1455,3,4,1.0,4.9,1.0,0.93,0.31,27,120,47,32,3.8,87.2,7,11,24,787,1503
Alejandro Garnacho,Manchester Utd,Premier League,"MF,FW",20.0,2199,6,2,7.3,4.5,7.3,3.44,1.19,141,56,290,37,2.8,78.9,18,13,11,840,1159
James Garner,Everton,Premier League,"MF,DF",23.0,1594,0,1,0.7,1.4,0.7,0.68,0.23,15,50,30,13,1.4,76.1,31,23,37,478,977
Lutsharel Geertruida,RB Leipzig,Bundesliga,DF,24.0,1557,1,0,1.1,1.0,1.1,0.46,0.06,21,93,34,10,1.6,86.7,24,16,59,642,1266
Dennis Geiger,Hoffenheim,Bundesliga,"MF,FW",26.0,734,0,0,0.2,0.5,0.2,0.61,0.12,12,37,21,11,0.7,87.3,11,7,6,259,441
Valentin Gendrey,Hoffenheim,Bundesliga,DF,24.0,1414,1,1,1.1,1.8,1.1,0.64,0.32,24,49,86,16,2.7,69.9,12,15,53,363,874
Yannick Gerhardt,Wolfsburg,Bundesliga,"MF,DF",30.0,1518,1,1,1.2,0.2,1.2,0.89,0.24,27,57,63,4,1.1,76.9,16,17,47,438,854
Max Geschwill,Holstein Kiel,Bundesliga,DF,23.0,1282,1,2,0.9,0.8,0.9,0.63,0.14,6,58,16,10,0.9,74.3,21,30,53,379,827
Dimitris Giannoulis,Augsburg,Bundesliga,DF,28.0,2650,1,4,1.1,4.2,1.1,0.44,0.14,60,104,164,42,5.4,74.7,32,47,75,845,1802
Morgan Gibbs-White,Nott'ham Forest,Premier League,MF,24.0,2803,7,8,6.3,5.0,6.3,1.96,0.67,69,164,137,51,4.7,78.3,22,23,29,923,1627
Armin Gigovic,Holstein Kiel,Bundesliga,MF,22.0,1895,5,1,1.9,2.1,1.9,1.23,0.47,37,50,45,16,1.7,77.7,13,21,33,476,935
Benedikt Gimber,Heidenheim,Bundesliga,DF,27.0,2671,0,0,0.7,0.3,0.7,0.47,0.03,7,46,8,3,0.5,82.5,46,31,131,865,1643
Matthias Ginter,Freiburg,Bundesliga,DF,30.0,2561,2,1,2.8,0.7,2.8,0.84,0.14,11,113,16,9,1.5,82.6,17,19,146,991,1816
Jamie Gittens,Dortmund,Bundesliga,"FW,MF",19.0,1776,8,3,3.6,2.5,3.6,2.64,1.22,113,42,180,21,4.1,76.5,19,10,4,627,873
